"Year","State","Event","Mark.Boys","Mark.Girls"
1985,"Alaska","100m","11.00000000","12.90000000"
1985,"Alaska","400m","50.60000000","59.60000000"
1985,"Alaska","800m","1:49.2","2:21.9"
1985,"Alaska","High Jump","6'4""","5'4"""
1986,"Alaska","100m","11.10000000","12.60000000"
1986,"Alaska","400m","49.60000000","59.20000000"
1986,"Alaska","800m","1:56.2","2:18.6"
1986,"Alaska","High Jump","6'4""","5'2"""
1987,"Alaska","100m","10.90000000","12.80000000"
1987,"Alaska","400m","50.40000000","59.00000000"
1987,"Alaska","800m","1:56.6","2:19.7"
1987,"Alaska","High Jump","6'4""","5'"
1988,"Alaska","100m","10.80000000","12.60000000"
1988,"Alaska","400m","49.90000000","59.30000000"
1988,"Alaska","800m","1:58.2","2:17.1"
1988,"Alaska","High Jump","6'3""","5'1"""
1989,"Alaska","100m","11.20000000","12.30000000"
1989,"Alaska","400m","48.00000000","57.40000000"
1989,"Alaska","800m","1:56.5","2:22.2"
1989,"Alaska","High Jump","6'4""","5'1"""
1990,"Alaska","100m","11.00000000","12.60000000"
1990,"Alaska","400m","49.20000000","58.00000000"
1990,"Alaska","800m","1:58.5","2:19.0"
1990,"Alaska","High Jump","6'5""","5'2"""
1991,"Alaska","100m","11.20000000","12.80000000"
1991,"Alaska","400m","49.30000000","60.60000000"
1991,"Alaska","800m","1:57.1","2:19.0"
1991,"Alaska","High Jump","6'2""","5'3"""
1992,"Alaska","100m","10.90000000","12.40000000"
1992,"Alaska","400m","50.60000000","60.70000000"
1992,"Alaska","800m","1:57.2","2:18.9"
1992,"Alaska","High Jump","6'6""","5'4"""
1993,"Alaska","100m","10.95000000","12.50000000"
1993,"Alaska","400m","50.38000000","60.27000000"
1993,"Alaska","800m","1:55.38","2:21.20"
1993,"Alaska","High Jump","6'6""","5'2"""
1994,"Alaska","100m","11.09000000","12.91000000"
1994,"Alaska","400m","49.70000000","57.85000000"
1994,"Alaska","800m","1:56.24","2:17.60"
1994,"Alaska","High Jump","6'6""","5'2"""
1995,"Alaska","100m","10.90000000","12.96000000"
1995,"Alaska","400m","49.69000000","58.59000000"
1995,"Alaska","800m","1:57.30","2:22.19"
1995,"Alaska","High Jump","6'4""","5'3"""
1996,"Alaska","100m","11.39000000","12.87000000"
1996,"Alaska","400m","50.31000000","59.30000000"
1996,"Alaska","800m","1:59.17","2:19.31"
1996,"Alaska","High Jump","6'6""","5'4"""
1997,"Alaska","100m","11.00000000","12.87000000"
1997,"Alaska","400m","50.24000000","59.35000000"
1997,"Alaska","800m","1:58.94","2:21.70"
1997,"Alaska","High Jump","6'3""","5'2"""
1998,"Alaska","100m","11.49000000","12.83000000"
1998,"Alaska","400m","49.39000000","58.39000000"
1998,"Alaska","800m","1:57.78","2:17.55"
1998,"Alaska","High Jump","6'3""","5'1"""
1999,"Alaska","100m","11.32000000","12.79000000"
1999,"Alaska","400m","50.58000000","58.08000000"
1999,"Alaska","800m","1:59.56","2:17.67"
1999,"Alaska","High Jump","6'1""","5'3"""
2000,"Alaska","100m","10.94000000","12.30000000"
2000,"Alaska","400m","50.76000000","58.88000000"
2000,"Alaska","800m","1:58.89","2:15.55"
2000,"Alaska","High Jump","6'2""","5'3"""
2001,"Alaska","100m","11.18000000","12.34000000"
2001,"Alaska","400m","50.68000000","57.94000000"
2001,"Alaska","800m","1:58.57","2:19.01"
2001,"Alaska","High Jump","6""5""","5'3"""
2002,"Alaska","100m","11.06000000","12.42000000"
2002,"Alaska","400m","50.97000000","57.74000000"
2002,"Alaska","800m","2:00.52","2:15.75"
2002,"Alaska","High Jump","6'3""","5'4"""
2003,"Alaska","100m","11.31000000","12.39000000"
2003,"Alaska","400m","50.48000000","59.93000000"
2003,"Alaska","800m","1:58.71","2:14.56"
2003,"Alaska","High Jump","6'3""","5'3"""
