"Year","Class","Name","Gender","Mark","Event","State"
"1988","4A","Jovennie McDuffie, Oak Ridge (Orlando), 11.94","Girls"," 11.94","100m","Florida"
"1988","3A","Diane Hodges, Jones (Orlando), 12.14","Girls"," 12.14","100m","Florida"
"1988","2A","Nicole Armstrong, Interlachen, 12.25","Girls"," 12.25","100m","Florida"
"1988","A","Dorothy Brooks, Hawthorne, 12.1","Girls"," 12.1","100m","Florida"
"1989","4A","Yolanda Hobbs, Miami Northwestern, 12.1","Girls"," 12.1","100m","Florida"
"1989","3A","Zundra Feagin, Cocoa, 11.4","Girls"," 11.4","100m","Florida"
"1989","2A","Deborah Fead, Madison County (Madison), 12.53","Girls"," 12.53","100m","Florida"
"1989","A","Roslyn McKinnie, Graceville, 12.44","Girls"," 12.44","100m","Florida"
"1990","4A","Sheryl Covington, Winter Haven, 11.84","Girls"," 11.84","100m","Florida"
"1990","3A","Zundra Feagin, Cocoa, 11.62","Girls"," 11.62","100m","Florida"
"1990","2A","Felicia Fabin, Clay (Green Cove Springs), 12.41","Girls"," 12.41","100m","Florida"
"1990","A","Roslyn McKinnie, Graceville, 12.37","Girls"," 12.37","100m","Florida"
"1991","4A","Nathasia Caines, Oak Ridge (Orlando), 12.37","Girls"," 12.37","100m","Florida"
"1991","3A","Zundra Feagin, Cocoa, 11.79","Girls"," 11.79","100m","Florida"
"1991","2A","Kembala Parkins, Bolles (Jacksonville), 12.7","Girls"," 12.7","100m","Florida"
"1991","A","Kelly Rouse, Summit Christian (West Palm Beach), 12.6","Girls"," 12.6","100m","Florida"
"1992","4A","Sabrina Herring-Kelly, St. Petersburg, 12.0","Girls"," 12.0","100m","Florida"
"1992","3A","Danialle Leach, St. Thomas Aquinas (Fort Lauderdale), 11.92","Girls"," 11.92","100m","Florida"
"1992","2A","Daryl Monroe, Shanks (Quincy), 12.80","Girls"," 12.80","100m","Florida"
"1992","A","Aisha Grant, Westminster Academy (Fort Lauderdale), 12.2","Girls"," 12.2","100m","Florida"
"1993","4A","Sabrina Herring, St. Petersburg, 11.98","Girls"," 11.98","100m","Florida"
"1993","3A","Doinne Turner, Ribault (Jacksonville), 12.37","Girls"," 12.37","100m","Florida"
"1993","2A","Julienne Audelin, Archbishop Curley (Miami), 12.46","Girls"," 12.46","100m","Florida"
"1993","A","Alisha Grant, Westminster Academy (Fort Lauderdale), 12.68","Girls"," 12.68","100m","Florida"
"1994","5A","W. Nelson, Coconut Creek, 12.16","Girls"," 12.16","100m","Florida"
"1994","4A","Julie O’Neal, Southeast (Bradenton), 12.17","Girls"," 12.17","100m","Florida"
"1994","3A","Nicole Patrick, Eastside (Gainesville), 12.4","Girls"," 12.4","100m","Florida"
"1994","2A","Tara Gilmore, Episcopal (Jacksonville), 12.7","Girls"," 12.7","100m","Florida"
"1994","A","Shannon Henry, Graceville, 12.73","Girls"," 12.73","100m","Florida"
"1995","6A","Tiffany Cook, Dr. Phillips (Orlando), 12.15","Girls"," 12.15","100m","Florida"
"1995","5A","Yolanda Brown-Moore, Buchholz (Gainesville), 12.08","Girls"," 12.08","100m","Florida"
"1995","4A","Tasha Allen, Paxon (Jacksonville), 12.31","Girls"," 12.31","100m","Florida"
"1995","3A","Latara Ross, Newberry, 12.16","Girls"," 12.16","100m","Florida"
"1995","2A","Julian Reynolds, Benjamin (North Palm Beach), 12.34","Girls"," 12.34","100m","Florida"
"1996","6A","Autoya Hampton, Miami Central, 12.17","Girls"," 12.17","100m","Florida"
"1996","5A","Tina Luke, Armwood (Seffner), 12.15","Girls"," 12.15","100m","Florida"
"1996","4A","Natasha Booker, Ribault (Jacksonville), 12.38","Girls"," 12.38","100m","Florida"
"1996","3A","Yashena Thompson, Pahokee, 12.46","Girls"," 12.46","100m","Florida"
"1996","2A","Latrika Allen, FAMU (Tallahassee), 12.88","Girls"," 12.88","100m","Florida"
"1997","6A","Shaunta Pelham, Lincoln (Tallahassee), 11.72","Girls"," 11.72","100m","Florida"
"1997","5A","Artrice Ball, Ed White (Jacksonville), 12.35","Girls"," 12.35","100m","Florida"
"1997","4A","Delilah Dillard, Suncoast (Riviera Beach), 11.95","Girls"," 11.95","100m","Florida"
"1997","3A","Yashena Thompson, Pahokee, 12.42","Girls"," 12.42","100m","Florida"
"1997","2A","Tahesia Harrigan, FAMU (Tallahassee), 11.84","Girls"," 11.84","100m","Florida"
"1998","6A","Duchese Williams, Miami Southridge, 12.28","Girls"," 12.28","100m","Florida"
"1998","5A","Tiffany Wright, St. Thomas Aquinas (Fort Lauderdale), 12.04","Girls"," 12.04","100m","Florida"
"1998","4A","Erica Whipple, Suncoast (Riviera Beach), 11.54","Girls"," 11.54","100m","Florida"
"1998","3A","Arden Ramsey, Bolles (Jacksonville), 12.58","Girls"," 12.58","100m","Florida"
"1998","2A","Tahesia Harrigan, FAMU (Tallahassee), 11.99","Girls"," 11.99","100m","Florida"
"1999","6A","Ebony Shotwell, Miami Southridge, 11.84","Girls"," 11.84","100m","Florida"
"1999","5A","Sanya Richards, St. Thomas Aquinas (Fort Lauderdale), 11.87","Girls"," 11.87","100m","Florida"
"1999","4A","Erica Whipple, Suncoast (Riviera Beach), 11.94","Girls"," 11.94","100m","Florida"
"1999","3A","Arden Ramsey, Bolles (Jacksonville), 12.50","Girls"," 12.50","100m","Florida"
"1999","2A","Tahesia Harrigan, FAMU (Tallahasssee), 12.31","Girls"," 12.31","100m","Florida"
"2000","4A","Erica Whipple, Palm Beach Lakes, 11.78","Girls"," 11.78","100m","Florida"
"2000","3A","Sanya Richards, St. Thomas Aquinas (Fort Lauderdale), 11.84","Girls"," 11.84","100m","Florida"
"2000","2A","Shavonda Benjamin, Rockledge, 11.83","Girls"," 11.83","100m","Florida"
"2000","A","Tahesia Harrigan, FAMU (Tallahassee), 11.93","Girls"," 11.93","100m","Florida"
"2001","4A","Erica Whipple, Palm Beach Lakes, 11.51","Girls"," 11.51","100m","Florida"
"2001","3A","Sanya Richards, St. Thomas Aquinas (Fort Lauderdale), 11.96","Girls"," 11.96","100m","Florida"
"2001","2A","Valquisha Morris, Suncoast (Riviera Beach), 12.19","Girls"," 12.19","100m","Florida"
"2001","A","Shantrell Moss, Pompano Beach, 12.56","Girls"," 12.56","100m","Florida"
"2002","4A","Jekevia Patterson, Vero Beach, 11.91","Girls"," 11.91","100m","Florida"
"2002","3A","Sanya Richards, St. Thomas Aquinas (Fort Lauderdale), 11.60","Girls"," 11.60","100m","Florida"
"2002","2A","Valquisha Morris, Suncoast (Riviera Beach), 12.02","Girls"," 12.02","100m","Florida"
"2002","A","Dominique McLeggan, Westminster Academy (Fort Lauderdale), 12.04","Girls"," 12.04","100m","Florida"
"2003","4A","Angela Pressey, Lake Mary, 12.13","Girls"," 12.13","100m","Florida"
"2003","3A","Nicole Marcus, Godby (Tallahassee), 12.06","Girls"," 12.06","100m","Florida"
"2003","2A","Shantrell Moss, Pompano Beach, 12.24","Girls"," 12.24","100m","Florida"
"2003","A","Alexia Dexter, Upperroom (Lauderhill), 12.45","Girls"," 12.45","100m","Florida"
"2004","4A","Lauren Austin, Oak Ridge (Orlando), 11.68","Girls"," 11.68","100m","Florida"
"2004","3A","Tawanna Meadows, Rutherford (Springfield), 12.07","Girls"," 12.07","100m","Florida"
"2004","2A","Lecia Brown, Suncoast (Riviera Beach), 12.03","Girls"," 12.03","100m","Florida"
"2004","1A","Valerie Flournoy, P.K. Yonge (Gainesville), 12.86","Girls"," 12.86","100m","Florida"
"2005","4A","Barbara Pierre, Oak Ridge (Orlando), 11.81","Girls"," 11.81","100m","Florida"
"2005","3A","Ashley Dukes, Nova (Davie), 12.18","Girls"," 12.18","100m","Florida"
"2005","2A","Lecia Brown, Suncoast (Riviera Beach), 11.67","Girls"," 11.67","100m","Florida"
"2005","1A","Valerie Flournoy, P.K. Yonge (Gainesville), 12.42","Girls"," 12.42","100m","Florida"
"2006","4A","Danille Nolton, Miami Northwestern, 11.69","Girls"," 11.69","100m","Florida"
"2006","3A","Shataya Hendricks, St. Thomas Aquinas (Fort Lauderdale), 11.53","Girls"," 11.53","100m","Florida"
"2006","2A","Scottesha Miller, Atlantic (Port Orange), 11.69","Girls"," 11.69","100m","Florida"
"2006","1A","Amanda Martorana, St. Johns Country Day (Orange Park), 12.45","Girls"," 12.45","100m","Florida"
"2007","4A","Madison McNary, Palm Harbor University, 12.1","Girls"," 12.1","100m","Florida"
"2007","3A","Shataya Hendricks, St. Thomas Aquinas (Fort Lauderdale), 11.77","Girls"," 11.77","100m","Florida"
"2007","2A","Lauren Smith, Rickards (Tallahassee), 12.11","Girls"," 12.11","100m","Florida"
"2007","1A","Kayla Parker, Port St. Joe, 12.43","Girls"," 12.43","100m","Florida"
"2008","4A","Sheila Paul, Boyd Anderson (Lauderdale Lakes), 12.21","Girls"," 12.21","100m","Florida"
"2008","3A","Tatianna Fisher, Oak Ridge (Orlando), 12.12","Girls"," 12.12","100m","Florida"
"2008","2A","Octavious Freeman, Lake Wales, 12.04","Girls"," 12.04","100m","Florida"
"2008","1A","Kayla Parker, Port St. Joe, 12.09","Girls"," 12.09","100m","Florida"
"2009","4A","Tynia Gaither, Osceola (Kissimmee), 11.88","Girls"," 11.88","100m","Florida"
"2009","3A","Robin Reynolds, Miami Jackson, 11.56","Girls"," 11.56","100m","Florida"
"2009","2A","Octavious Freeman, Lake Wales, 11.95","Girls"," 11.95","100m","Florida"
"2009","1A","Kayla Parker, Port St. Joe, 12.15","Girls"," 12.15","100m","Florida"
