,,10
,2A,"Houston McTear, Baker, 10.0"
,A,"Theryl Brown, Liberty County (Bristol), 10.8"
1977,4A,"Cyril Wyatt, Oak Ridge (Orlando), 09.6"
,3A,"Ron Nelson, Rockledge, 09.9"
,2A,"Leroy Love, Pahokee, 10.0"
,A,"Charles Weaver, FAMU (Tallahassee), 10.3"
1978,4A,"Javaro Sims, Lake Worth, 09.6"
,3A,"Donald Frost, Shanks (Quincy), 09.8"
,2A,"Sam McIver, Taylor (Pierson), 10.3"
,A,"Chris Corbett, Moore Haven, 10.5"
1979,4A,"Walter Monroe, Robinson (Tampa), 09.7"
,3A,"Richard Ryles, North Shore (West Palm"
,,"Beach), 09.9"
,2A,"Julius Hamilton, Frostproof, 09.8"
,A,"Chris Corbett, Moore Haven, 10.51"
1980,4A,"Walter Monroe, Robinson (Tampa), 09.94"
,3A,"Ollie Anderson, Bayshore (Bradenton),"
,,09.76
,2A,"Claude Magee, Clermont, 10.45"
,A,"Leon Hamilton, Frostproof, 10.53"
1981,4A,"Fred Johnson, Ribault (Jacksonville), 09.8"
,3A,"Robert Leach, Godby (Tallahassee), 09.9"
,2A,"Keith Ross, Newberry, 10.1"
,A,"Dexter Bovie, Greensboro, 10.1"
1982,4A,"Ernest Polk, Sarasota, 09.8"
,3A,"Edwin Williams, Lake Wales, 09.8"
,2A,"Keith Ross, Newberry, 10.0"
,A,"Anthony Coleman, Hastings, 10.4"
1983,4A,"Emerson Williams, Mainland (Daytona"
,,"Beach), 09.6"
,3A,"Brent Fullwood, St. Cloud, 09.9"
,2A,"Carlton Scott, Chiefland, 10.0"
,A,"James Aldrich, Mount Dora Bible, 10.2"
1984,4A,"Sam Smith, Apopka, 09.7"
,3A,"Arthur Blake, Haines City, 09.5"
,2A,"Raymond Green, P.K. Yonge (Gainesville),"
,,10.1
,A,"Kenneth Perry, FAMU (Tallahassee), 09.9"
1985,4A,"Stacy Simmons, Dunedin, 09.6"
,3A,"Walter Watkins, St. Thomas Aquinas (Fort"
,,"Lauderdale), 09.7"
,2A,"Derrick Williams, Havana, 09.9"
