,,12.5
1988,4A,"Jovennie McDuffie, Oak Ridge (Orlando),"
,,11.94
,3A,"Diane Hodges, Jones (Orlando), 12.14"
,2A,"Nicole Armstrong, Interlachen, 12.25"
,A,"Dorothy Brooks, Hawthorne, 12.1"
1989,4A,"Yolanda Hobbs, Miami Northwestern, 12.1"
,3A,"Zundra Feagin, Cocoa, 11.4"
,2A,"Deborah Fead, Madison County (Madison),"
,,12.53
,A,"Roslyn McKinnie, Graceville, 12.44"
1990,4A,"Sheryl Covington, Winter Haven, 11.84"
,3A,"Zundra Feagin, Cocoa, 11.62"
,2A,"Felicia Fabin, Clay (Green Cove Springs),"
,,12.41
,A,"Roslyn McKinnie, Graceville, 12.37"
1991,4A,"Nathasia Caines, Oak Ridge (Orlando),"
,,12.37
,3A,"Zundra Feagin, Cocoa, 11.79"
,2A,"Kembala Parkins, Bolles (Jacksonville), 12.7"
,A,"Kelly Rouse, Summit Christian (West Palm"
,,"Beach), 12.6"
1992,4A,"Sabrina Herring-Kelly, St. Petersburg, 12.0"
,3A,"Danialle Leach, St. Thomas Aquinas (Fort"
,,"Lauderdale), 11.92"
,2A,"Daryl Monroe, Shanks (Quincy), 12.80"
,A,"Aisha Grant, Westminster Academy (Fort"
,,"Lauderdale), 12.2"
1993,4A,"Sabrina Herring, St. Petersburg, 11.98"
,3A,"Doinne Turner, Ribault (Jacksonville), 12.37"
,2A,"Julienne Audelin, Archbishop Curley"
,,"(Miami), 12.46"
,A,"Alisha Grant, Westminster Academy (Fort"
,,"Lauderdale), 12.68"
1994,5A,"W. Nelson, Coconut Creek, 12.16"
,4A,"Julie O’Neal, Southeast (Bradenton), 12.17"
,3A,"Nicole Patrick, Eastside (Gainesville), 12.4"
,2A,"Tara Gilmore, Episcopal (Jacksonville),"
,,12.7
,A,"Shannon Henry, Graceville, 12.73"
1995,6A,"Tiffany Cook, Dr. Phillips (Orlando), 12.15"
,5A,"Yolanda Brown-Moore, Buchholz"
,,"(Gainesville), 12.08"
,4A,"Tasha Allen, Paxon (Jacksonville), 12.31"
,3A,"Latara Ross, Newberry, 12.16"
,2A,"Julian Reynolds, Benjamin (North Palm"
,,"Beach), 12.34"
1996,6A,"Autoya Hampton, Miami Central, 12.17"
,5A,"Tina Luke, Armwood (Seffner), 12.15"
,4A,"Natasha Booker, Ribault (Jacksonville),"
,,12.38
,3A,"Yashena Thompson, Pahokee, 12.46"
,2A,"Latrika Allen, FAMU (Tallahassee), 12.88"
1997,6A,"Shaunta Pelham, Lincoln (Tallahassee),"
,,11.72
,5A,"Artrice Ball, Ed White (Jacksonville), 12.35"
,4A,"Delilah Dillard, Suncoast (Riviera Beach),"
,,11.95
,3A,"Yashena Thompson, Pahokee, 12.42"
,2A,"Tahesia Harrigan, FAMU (Tallahassee), 11.84"
1998,6A,"Duchese Williams, Miami Southridge, 12.28"
,5A,"Tiffany Wright, St. Thomas Aquinas (Fort"
,,"Lauderdale), 12.04"
,4A,"Erica Whipple, Suncoast (Riviera Beach),"
,,11.54
,3A,"Arden Ramsey, Bolles (Jacksonville), 12.58"
,2A,"Tahesia Harrigan, FAMU (Tallahassee), 11.99"
1999,6A,"Ebony Shotwell, Miami Southridge, 11.84"
,5A,"Sanya Richards, St. Thomas Aquinas (Fort"
,,"Lauderdale), 11.87"
,4A,"Erica Whipple, Suncoast (Riviera Beach),"
,,11.94
,3A,"Arden Ramsey, Bolles (Jacksonville), 12.50"
,2A,"Tahesia Harrigan, FAMU (Tallahasssee),"
,,12.31
2000,4A,"Erica Whipple, Palm Beach Lakes, 11.78"
,3A,"Sanya Richards, St. Thomas Aquinas (Fort"
,,"Lauderdale), 11.84"
,2A,"Shavonda Benjamin, Rockledge, 11.83"
,A,"Tahesia Harrigan, FAMU (Tallahassee), 11.93"
2001,4A,"Erica Whipple, Palm Beach Lakes, 11.51"
,3A,"Sanya Richards, St. Thomas Aquinas (Fort"
,,"Lauderdale), 11.96"
,2A,"Valquisha Morris, Suncoast (Riviera Beach),"
,,12.19
,A,"Shantrell Moss, Pompano Beach, 12.56"
2002,4A,"Jekevia Patterson, Vero Beach, 11.91"
,3A,"Sanya Richards, St. Thomas Aquinas (Fort"
,,"Lauderdale), 11.60"
,2A,"Valquisha Morris, Suncoast (Riviera Beach),"
,,12.02
,A,"Dominique McLeggan, Westminster"
,,"Academy (Fort Lauderdale), 12.04"
2003,4A,"Angela Pressey, Lake Mary, 12.13"
,3A,"Nicole Marcus, Godby (Tallahassee), 12.06"
,2A,"Shantrell Moss, Pompano Beach, 12.24"
,A,"Alexia Dexter, Upperroom (Lauderhill),"
,,12.45
2004,4A,"Lauren Austin, Oak Ridge (Orlando), 11.68"
,3A,"Tawanna Meadows, Rutherford"
,,"(Springfield), 12.07"
,2A,"Lecia Brown, Suncoast (Riviera Beach),"
,,12.03
,1A,"Valerie Flournoy, P.K. Yonge (Gainesville),"
,,12.86
2005,4A,"Barbara Pierre, Oak Ridge (Orlando), 11.81"
,3A,"Ashley Dukes, Nova (Davie), 12.18"
,2A,"Lecia Brown, Suncoast (Riviera Beach),"
,,11.67
,1A,"Valerie Flournoy, P.K. Yonge (Gainesville),"
,,12.42
2006,4A,"Danille Nolton, Miami Northwestern, 11.69"
,3A,"Shataya Hendricks, St. Thomas Aquinas"
,,"(Fort Lauderdale), 11.53"
,2A,"Scottesha Miller, Atlantic (Port Orange),"
,,11.69
,1A,"Amanda Martorana, St. Johns Country Day"
,,"(Orange Park), 12.45"
2007,4A,"Madison McNary, Palm Harbor University,"
,,12.1
,3A,"Shataya Hendricks, St. Thomas Aquinas"
,,"(Fort Lauderdale), 11.77"
,2A,"Lauren Smith, Rickards (Tallahassee), 12.11"
,1A,"Kayla Parker, Port St. Joe, 12.43"
2008,4A,"Sheila Paul, Boyd Anderson (Lauderdale"
,,"Lakes), 12.21"
,3A,"Tatianna Fisher, Oak Ridge (Orlando), 12.12"
,2A,"Octavious Freeman, Lake Wales, 12.04"
,1A,"Kayla Parker, Port St. Joe, 12.09"
2009,4A,"Tynia Gaither, Osceola (Kissimmee), 11.88"
,3A,"Robin Reynolds, Miami Jackson, 11.56"
,2A,"Octavious Freeman, Lake Wales, 11.95"
,1A,"Kayla Parker, Port St. Joe, 12.15"
2010,4A,"Tynia Gaither, Osceola (Kissimmee), 11.58"
,3A,"Robin Reynolds, Miami Jackson, 11.79"
,2A,"Octavious Freeman, Lake Wales, 11.39"
,1A,"Kayla Parker, Port St. Joe, 12.23"
2011,4A,"Tynia Gaither, Osceola (Kissimmee), 11.41"
,3A,"Robin Reynolds, Miami Jackson, 11.67"
,2A,"Octavious Freeman, Lake Wales, 11.77"
,1A,"Mychae Williams, Graceville, 12.59"
2012,4A,"Shayla Sanders, Boyd Anderson"
,,"(Lauderdale Lakes), 11.63"
,3A,"Tristie Johnson, Ed White (Jacksonville),"
,,11.86
,2A,"Robin Reynolds, Miami Jackson, 11.79"
,1A,"Daryth Gayles, Holy Trinity (Melbourne),"
,,12.59
2013,4A,"Kali Davis-White, Boyd Anderson"
,,"(Lauderdale Lakes), 11.70"
,3A,"Kaylin Whitney, East Ridge (Clermont),"
,,11.79
,2A,"Deanna Hill, Lake Highland Prep (Orlando),"
,,11.72
,1A,"Assata Trader, Shorecrest Prep (St."
,,"Petersburg), 12.12"
1975,"Chandra Cheeseborough, Ribault",
,"(Jacksonville), 11.30",
1976 4A,"Chandra Cheeseborough, Ribault",
,"(Jacksonville), 11.0",
3A,"Rena Baker, Rockledge, 11.2",
2A,"Rose Wilkins, Ely (Pompano Beach), 11.5",
A,"Julie Braswell, St. John’s Country Day",
,"(Orange Park), 11.5",
1977 4A,"Chandra Cheeseborough, Ribault",
,"(Jacksonville), 10.3",
3A,"Brenda Robbins, Dillard (Fort Lauderdale),",
,10.9,
2A,"Christine Harris, Mount Dora, 11.3",
A,"Barbara Manito, St. Brendan (Miami), 11.8",
1978 4A,"Cornelia Jackson, Miami Northwestern,",
,11.1,
3A,"Brenda Robins, Dillard (Fort Lauderdale),",
,11.1,
2A,"Christine Harris, Mount Dora, 11.1",
A,"Vicki Wolfe, Atlantic Christian (Miami), 11.7",
1979 4A,"Cornelia Jackson, Miami Northwestern,",
,11,
3A,"Cefornia Polk, DeSoto County (Arcadia),",
,11.3,
2A,"Jackie McCloud, Hamilton County (Jasper),",
,11.1,
A,"Robin Miller, Mount Dora Bible, 12.13",
1980 4A,"Senerchia Gray, DeLand, 11.35",
3A,"Cefornia Polk, DeSoto County (Arcadia),",
,11.26,
2A,"Mary Goff, Palmetto, 11.43",
A,"Tresa Cleveland, Trinity Prep (Winter Park),",
,12.04,
1981 4A,"Wanda Fort, Hialeah Miami Lakes, 10.7",
3A,"Cefornia Polk, DeSoto County (Arcadia),",
,10.9,
2A,"Jackie Morris, Williston, 11.5",
A,"Lisa Marie Pearson, Florida School for the",
,"Deaf (St. Augustine), 11.7",
1982 4A,"Michelle Finn, Oak Ridge (Orlando), 10.9",
3A,"Lois White, Atlantic (Delray Beach), 11.0",
2A,"Debra McCaskell, Flagler Palm Coast, 11.6",
A,"Lisa Marie Pearson, Florida School for the",
,"Deaf (St. Augustine), 11.4",
1983 4A,"Michelle Finn, Oak Ridge (Orlando), 10.9",
3A,"Tiffany McDaniel, Madison County",
,"(Madison), 11.1",
2A,"Karen Joseph, Pahokee, 11.7",
A,"Kara Hutchinson, Maclay (Tallahassee), 12.3",
1984 4A,"Angela Curry, Evans (Orlando), 10.7",
3A,"Tracy Cofield, Leon (Tallahassee), 11.1",
2A,"Tiffany McDaniel, Madison County",
,"(Madison), 11.5",
A,"Kara Hutchinson, Maclay (Tallahassee), 11.6",
1985 4A,"Angela Curry, Evans (Orlando), 10.8",
3A,"Angela Polite, Suwannee (Live Oak), 10.9",
2A,"Kanyon Singletary, Hamilton County",
,"(Jasper), 11.5",
A,"Patsey Bowie, FAMU (Tallahassee), 11.5",
100-Meter Dash,,
1986 4A,"Caroline Williams, Palm Beach Gardens,",
,12.23,
3A,"Angela Polite, Suwannee (Live Oak), 11.78",
2A,"Kanyon Singletary, Hamilton County",
,"(Jasper), 12.34",
A,"Roslyn McKinnie, Graceville, 12.50",
1987 4A,"Caroline Williams, Palm Beach Gardens,",
,11.9,
3A,"Angela Polite, Suwannee (Live Oak), 11.72",
2A,"Kanyon Singletary, Hamilton County",
,"(Jasper), 12.31",
A,"Stacy Johnson, Trinity Prep (Winter Park),",
2014,4A,"Kaylin Whitney, East Ridge (Clermont),"
,,11.48
,3A,"Jadzia Beasley, Lincoln (Tallahassee), 11.78"
,2A,"Deanna Hill, Lake Highland Prep (Orlando),"
,,11.94
,1A,"Teahna Daniels, First Academy (Orlando),"
,,11.74
2015,4A,"Krystal Sparling, St. Thomas Aquinas (Fort"
,,"Lauderdale), 11:46"
