Year,Event,Class,Name,School,Mark
2020,Season cancelled due to the Corona Virus pandemic.,Season cancelled due to the Corona Virus pandemic.,Season cancelled due to the Corona Virus pandemic.,Season cancelled due to the Corona Virus pandemic.,Season cancelled due to the Corona Virus pandemic.
2019,"4x100m
			Relay",7A,"Jada Alston, Jalea Alston,
			Ashton Lindley, Mekenze Kelly",Campbell Spartans,46.13
,,6A,"Jayda Daniels, A'Bravion Felder,
			Destiny Nash, Gabrielle Webster",Bradwell Institute Tigers,47.74
,,5A,"Trinity Price, Trinity Rossum,
			Kimberly Harris, Phoenix Armistead",Buford Wolves,46.25
,,4A,"Joy Scott, Kimora Cook,
			Derica Price, Ilene Soleyn",Chapel Hill Panthers,47.7
,,3A,"Chloe Fair, Jasmine Jones,
			Danielle Jones, Simone Roberts",Greater Atlanta Christian Spartans,47.54
,,2A,"Ja'Lexus Burden, Emerson Brown,
			Madelyn Dias, Tykeya Gray",Elbert County Blue Devils,48.55
,,1A,"Secoriah Danner, Lyneisha Watts,
			Vernesia Lester, Tycoriah Danner",Washington-Wilkes Tigers,49.19
,,1A-P,"Angel Ferary, Bella Ferary,
			Renee Dockins, Lia Sanchez",Mt. Paran Eagles,49.08
,"1600m
			Run",7A,Brynne Sumner,Woodstock Wolverines,04:53.4
,,6A,Kayla Gholar,Richmond Hill Wildcats,05:06.4
,,5A,Kayla Rose,McIntosh Chiefs,05:02.3
,,4A,Maggie Yankovich,St. Pius X Golden Lions,05:02.9
,,3A,Haley Hooper,Lovett Lions,05:06.3
,,2A,Austin Perez,Bleckley County Royals,05:26.7
,,1A,Gracie O'Neal,Gordon Lee Trojans,05:16.1
,,1A-P,Cara Joyce,Atlanta Internatiional Eagles,04:57.9
,"400m
			Dash",7A,Mekenze Kelley,Campbell Spartans,53.65
,,6A,Dae' Nitra Hester,New Manchester Jaguars,55.57
,,5A,Kimberly Harris,Buford Wolves,53.28
,,4A,Gabrielle Grissom,Sandy Creek Patriots,55.65
,,3A,Chloe Fair,Greater Atlanta Christian Spartans,56.63
,,2A,Mecca Jackson,Washington County Hawks,58.64
,,1A,Febbie King,Marion County Eagles,58.45
,,1A-P,Jessica Woods,Mt. Vernon Mustangs,57.71
,"100m
			Dash",7A,Jazmine Hobson,Shiloh Generals,11.65
,,6A,Keyeria White,Valdosta Wildcats,12.02
,,5A,Lashanti Williams,Clarke Central Gladiators,11.88
,,4A,Talaya Lewis,Richmond Academy Muskateers,11.99
,,3A,Aubrey Guyden,Cedar Grove Saints,12.05
,,2A,Emerson Brown,Elbert County Blue Devils,12.15
,,1A,Tycoriah Danner,Washington-Wilkes Tigers,12.32
,,1A-P,Synclailr Savage,North Cobb Christian Eagles,12.11
,"100m
			Intermediate
			Hurdles",7A,Elasia Campbell,Walton Raiders,14.03
,,6A,Olivia Brown,Effingham County Rebels,13.96
,,5A,Darci Khan,Stockbridge Tigers,13.76
,,4A,Chastity Pickett,Westover Patriots,14.27
,,3A,Jasmine Jones,Greater Atlanta Christian Spartans,14.12
,,2A,Ikeria Hamilton,East Laurens Falcons,15.4
,,1A,Addison Sturdivant,Gordon Lee Trojans,16.05
,,1A-P,Renee Dockins,Mt. Paran Eagles,15.09
,"800m
			Run",7A,Brynne Sumner,Woodstock Wolverines,02:09.9
,,6A,Riley Perlakowski,Harrison Hoyas,02:13.2
,,5A,Emoni Colelman,Miller Grove Wolverines,02:15.9
,,4A,Gabrielle Grissom,Sandy Creek Patriots,02:14.9
,,3A,Camielle MIlledge,Monroe (Albany) Tornadoes,02:19.8
,,2A,Ella Stoudenmire,Oglethorpe County Patriots,02:23.0
,,1A,D'Aisha Stephens,Georgia Military College Bulldogs,02:28.2
,,1A-P,Cara Joyce,Atlanta Internatiional Eagles,02:12.8
,"200m
			Dash",7A,Jazmine Hobson,Shiloh Generals,24.08
,,6A,Alexis Williams,Lovejoy Wildcats,23.8
,,5A,Kimberly Harris,Buford Wolves,23.63
,,4A,Talaya Lewis,Richmond Academy Muskateers,24.86
,,3A,Jasmine Jones,Greater Atlanta Christian Spartans,24.05
,,2A,Mecca Jackson,Washington County Hawks,25.4
,,1A,Brandy Mackey,Telfair County Trojans,25.66
,,1A-P,Synclailr Savage,North Cobb Christian Eagles,24.97
,"300m
			Low
			Hurdles",7A,Ashton Lindley,Campbell Spartans,41.46
,,6A,Kennedy R. Crawford,Alexander Cougars,43.56
,,5A,Niya Benton-Andrews,Jackson (ATL) Jaguars,41.38
,,4A,Chastity Pickett,Westover Patriots,42.03
,,3A,Chloe Fair,Greater Atlanta Christian Spartans,43.83
,,2A,Brianna McRae,Dublin Irish,47.65
,,1A,Addison Sturdivant,Gordon Lee Trojans,47.61
,,1A-P,Jessicka Woods,Mt. Vernon Mustangs,43.88
,"3200m
			Run",7A,Ellie Hall,Marietta Blue Devils,10:40.8
,,6A,Ashley Sechrest,Cambridge Bears,11;12.22
,,5A,Mackenzie Walls,Veterans Warhawks,10:55.9
,,4A,Hannah Miniutti,Blessed Trinity Titans,11:09.9
,,3A,Kaylee Bandy,Coahulla Creek Colts,11:36.2
,,2A,Zoe Sanchez,Union County Panthers,11:52.0
,,1A,Gracie O'Neal,Gordon Lee Trojans,11:27.5
,,1A-P,Erin Feagans,Landmark Christian War Eagles,10:49.4
,"4x400m
			Relay",7A,"Jaleah Alston, Makylah Jones,
			Mekenze Kelley, Ashton Lindley",Campbell Spartans,03:45.3
,,6A,"Taviana Williams, Jazzmin Taylor,
			Tomisin John, Kennedy R. Crawford",Alexander Cougars,03:52.9
,,5A,"Trinity Price, Trinity Rossum,
			Kimberly Harris, Britiney Johnson",Buford Wolves,03:44.3
,,4A,"Joy Scott, Kimora Cook,
			Zaria White, Ilene Soleyn",Chapel Hill Panthers,03:56.3
,,3A,"Jasmine Jones, Chole Fair,
			Maya McFadden, Simone Roberts",Greater Atlanta Christian Spartans,03:55.1
,,2A,"Morgan McGarity, Jayla Jones,
			Katie Wadsworth, Ella Stoudenmire",Oglethorpe County Patriots,04:09.5
,,1A,"India Wells, Paige White,
			Kendeasha Swinson, Brandy Mackey",Telfair County Trojans,04:10.0
,,1A-P,"Reagan Mahoney, Rachael Sarelius,
			Tahlia Pemberton, Cara Joyce",Atlanta International Eagles,04:01.1
,High Jump,7A,Elasia Campbell,Walton Raiders,"5' 10"""
,,6A,Jazzmin Taylor,Alexander Cougars,"5' 8"""
,,5A,Cornesha Cannady,Ware County Gators,"5' 4"""
,,4A,Jada Blanton,Luella Lions,"5' 6"""
,,3A,JoJo Smith,Jefferson Dragons,"5' 2"""
,,2A,Megan Kent,Model Blue Devils,"5' 4"""
,,1A,Kaylee Brown,Gordon Lee Trojans,"5' 4"""
,,1A-P,Savannah Samuel,St. Francis Knights,"5' 4"""
,"Long
			Jump",7A,Skye Gross,Parkview Panthers,"18' 11"""
,,6A,Shatara Johnson,Drew Titans,"19' 10"""
,,5A,LaShanti Williams,Clarke Central Gladiators,"19' 11"""
,,4A,Jada Grant,LaGrange Grangers,"18' 9.5"""
,,3A,Jasmine Jones,Greater Atlanta Christian Spartans,"20' 2.25"""
,,2A,Myesha Hall,Vidalia Indians,"17' 8"""
,,1A,Tycoriah Danner,Washington-Wilkes TIgers,"18' 6.5"""
,,1A-P,Synclair Savage,North Cobb Christian Eagles,"19' 3.5"""
,"Triple
			Jump",7A,Morgan Bentley,Brookwood Broncos,"39' 6.5"""
,,6A,Janaya Jones,Forest Park Panthers,"39' 4"""
,,5A,Jahlia Evans,Rome Wolves,"38' 10.5"""
,,4A,Qua'Neshia Hamilton,Burke County Bears,"38' 1.5"""
,,3A,Taliyah Carter,Cook Hornets,"37' 8.25"""
,,2A,Ikeria Hamilton,East Laurens Falcons,"37' 8"""
,,1A,Katelyn Bennett,Lincoln County Red Devils,"34' 10.25"""
,,1A-P,Jasmine Akins,Calvary Day Cavaliers,"39' 10.5"""
,"Pole
			Vault",7A,Kelsey Worthington,North Gwinnett Bulldogs,"12' 0"""
,,6A,Brianna Bailey,Winder-Barrow Bulldoggs,"12' 0"""
,,5A,Payton Phillips,Carrollton Trojans,"13' 2.25"""
,,4A,Journey Gurley,Madison County Red Raiders,"12' 6"""
,,3A,Anna Moore,Jefferrson Dragons,"11' 4"""
,,2A,Ellie Gretchell,Model Blue Devils,"11' 0"""
,,1A,Kaylee Brown,Gordon Lee Trojans,"10' 9"""
,,1A-P,MacKenzie Gignilliat,Walker Wolverines,"10' 0"""
,"Shot
			Put",7A,Mia Anderson,Mill Creek Hawks,"42' 3.75"""
,,6A,Janae Profit,Dunwoody Wildcats,"43' 9.25"""
,,5A,Hannah Jackson,Kell Longhorns,"46' 9.75"""
,,4A,Kassidy Amerson-Fox,Chapel Hill Panthers,"40' 3"""
,,3A,Ellie Isaacs,Jefferson Dragons,"40' 3.5"""
,,2A,Shakira Ardister,Elbert County Blue Devils,"39' 2"""
,,1A,Kenjanai Brown,Pelham Hornets,"42' 0.5"""
,,1A-P,Jada Farrell,Holy Innocents' Golden Bears,"41' 11"""
,Discus,7A,Jamila Otieno,Wheeler Wildcats,"135' 00"""
