"State","Year","Event","Gender","Class","Mark","text","Rank"
"Georgia",2019,"1600m","Girls","7A","04:53.4",NA,NA
"Georgia",2019,"1600m","Girls","6A","05:06.4",NA,NA
"Georgia",2019,"1600m","Girls","5A","05:02.3",NA,NA
"Georgia",2019,"1600m","Girls","4A","05:02.9",NA,NA
"Georgia",2019,"1600m","Girls","3A","05:06.3",NA,NA
"Georgia",2019,"1600m","Girls","2A","05:26.7",NA,NA
"Georgia",2019,"1600m","Girls","1A","05:16.1",NA,NA
"Georgia",2019,"1600m","Girls","1A-P","04:57.9",NA,NA
"Georgia",2019,"100m","Girls","7A","11.65",NA,NA
"Georgia",2019,"100m","Girls","6A","12.02",NA,NA
"Georgia",2019,"100m","Girls","5A","11.88",NA,NA
"Georgia",2019,"100m","Girls","4A","11.99",NA,NA
"Georgia",2019,"100m","Girls","3A","12.05",NA,NA
"Georgia",2019,"100m","Girls","2A","12.15",NA,NA
"Georgia",2019,"100m","Girls","1A","12.32",NA,NA
"Georgia",2019,"100m","Girls","1A-P","12.11",NA,NA
"Georgia",2019,"800m","Girls","7A","02:09.9",NA,NA
"Georgia",2019,"800m","Girls","6A","02:13.2",NA,NA
"Georgia",2019,"800m","Girls","5A","02:15.9",NA,NA
"Georgia",2019,"800m","Girls","4A","02:14.9",NA,NA
"Georgia",2019,"800m","Girls","3A","02:19.8",NA,NA
"Georgia",2019,"800m","Girls","2A","02:23.0",NA,NA
"Georgia",2019,"800m","Girls","1A","02:28.2",NA,NA
"Georgia",2019,"800m","Girls","1A-P","02:12.8",NA,NA
"Georgia",2019,"High Jump","Girls","7A","5' 10""",NA,NA
"Georgia",2019,"High Jump","Girls","6A","5' 8""",NA,NA
"Georgia",2019,"High Jump","Girls","5A","5' 4""",NA,NA
"Georgia",2019,"High Jump","Girls","4A","5' 6""",NA,NA
"Georgia",2019,"High Jump","Girls","3A","5' 2""",NA,NA
"Georgia",2019,"High Jump","Girls","2A","5' 4""",NA,NA
"Georgia",2019,"High Jump","Girls","1A","5' 4""",NA,NA
"Georgia",2019,"High Jump","Girls","1A-P","5' 4""",NA,NA
"Georgia",2019,"Pole Vault","Girls","7A","12' 0""",NA,NA
"Georgia",2019,"Pole Vault","Girls","6A","12' 0""",NA,NA
"Georgia",2019,"Pole Vault","Girls","5A","13' 2.25""",NA,NA
"Georgia",2019,"Pole Vault","Girls","4A","12' 6""",NA,NA
"Georgia",2019,"Pole Vault","Girls","3A","11' 4""",NA,NA
"Georgia",2019,"Pole Vault","Girls","2A","11' 0""",NA,NA
"Georgia",2019,"Pole Vault","Girls","1A","10' 9""",NA,NA
"Georgia",2019,"Pole Vault","Girls","1A-P","10' 0""",NA,NA
"Georgia",2018,"1600m","Girls","7A","04:50.1",NA,NA
"Georgia",2018,"1600m","Girls","6A","05:04.6",NA,NA
"Georgia",2018,"1600m","Girls","5A","05:04.0",NA,NA
"Georgia",2018,"1600m","Girls","4A","05:03.7",NA,NA
"Georgia",2018,"1600m","Girls","3A","04:50.3",NA,NA
"Georgia",2018,"1600m","Girls","2A","05:35.8",NA,NA
"Georgia",2018,"1600m","Girls","1A","05:20.6",NA,NA
"Georgia",2018,"1600m","Girls","1A-P","04:56.3",NA,NA
"Georgia",2018,"100m","Girls","7A","11.69",NA,NA
"Georgia",2018,"100m","Girls","6A","11.75",NA,NA
"Georgia",2018,"100m","Girls","5A","11.78",NA,NA
"Georgia",2018,"100m","Girls","4A","11.92",NA,NA
"Georgia",2018,"100m","Girls","3A","11.97",NA,NA
"Georgia",2018,"100m","Girls","2A","12.09",NA,NA
"Georgia",2018,"100m","Girls","1A","12.15",NA,NA
"Georgia",2018,"100m","Girls","1A-P","12.2",NA,NA
"Georgia",2018,"800m","Girls","7A","02:13.4",NA,NA
"Georgia",2018,"800m","Girls","6A","02:12.2",NA,NA
"Georgia",2018,"800m","Girls","5A","02:12.5",NA,NA
"Georgia",2018,"800m","Girls","4A","02:16.8",NA,NA
"Georgia",2018,"800m","Girls","3A","02:11.2",NA,NA
"Georgia",2018,"800m","Girls","2A","02:24.6",NA,NA
"Georgia",2018,"800m","Girls","1A","02:23.1",NA,NA
"Georgia",2018,"800m","Girls","1A-P","02:12.8",NA,NA
"Georgia",2018,"High Jump","Girls","7A","5' 6""",NA,NA
"Georgia",2018,"High Jump","Girls","6A","5' 6""",NA,NA
"Georgia",2018,"High Jump","Girls","5A","5' 4""",NA,NA
"Georgia",2018,"High Jump","Girls","4A","5' 7""",NA,NA
"Georgia",2018,"High Jump","Girls","3A","5' 4""",NA,NA
