100-yard dash,1972-73,,Mike McFarland,Chicago (Parker),:09.5
,1973-74,,Joe Stewart,Evanston (Twp.),:09.7
,1974-75,A,Neil Johnson,Prophetstown,:09.77
,1974-75,AA,Marvin Edmonds,East St. Louis (Sr.),:09.37
,1975-76,A,Steve Safranski,Granville (Putnam County),:09.95
,1975-76,AA,Tim Graf,Joliet (East),:09.54
,1976-77,A,Mike Simpson,Casey,:10.02
,1976-77,AA,George Carter,Chicago Heights (Bloom Twp.),:09.61
,1977-78,A,Mike Simpson,Casey,:09.85
,1977-78,AA,Steve Turner,Chicago (Lindblom),:09.74
,1978-79,A,Dan Jeffers,Rochester,:09.98
,1978-79,AA,Bob McGee,Evanston (Twp.),:09.51
100-meter dash,1979-80,A,Steve Buchholz,Paxton,:10.97
,1979-80,AA,Darryl Canady,Chicago (St. Ignatius College Prep),:10.55
,1980-81,A,Mike Conley,Chicago (Luther South),:10.64
,1980-81,AA,Wallace Spearmon,Blue Island (Eisenhower),:09.95
,1981-82,A,Rodney Harris,Chicago (Providence-St. Mel),:10.86
,1981-82,AA,Albert Robinson,Chicago (Hales Franciscan),:10.39
,1982-83,A,Rodney Harris,Chicago (Providence-St. Mel),:10.70
,1982-83,AA,Kelly Reed,Chicago (Kenwood),:10.53
,1983-84,A,Rodney Harris,Chicago (Providence-St. Mel),:10.45
,1983-84,AA,Thomas Adams,Rock Island (H.S.),:10.40
,1984-85,A,Eric Childs,Cairo,:10.79
,1984-85,AA,Aaron Mayo,Chicago Heights (Bloom Trail),:10.39
,1985-86,A,Cary Chandler,Chicago (Luther South),:10.96
,1985-86,AA,Keith Thomas,Chicago (Kenwood),:10.37
,1986-87,A,Dave Eaton,Galena (H.S.),:11.00
,1986-87,AA,Kenny Robinson,East St. Louis (Sr.),:10.88
,1987-88,A,Lubeech Graves,Cairo,:10.78
,1987-88,AA,Steve Kelly,Joliet (West),:10.59
,1988-89,A,Lubeech Graves,Cairo,:10.65
,1988-89,AA,Tim Newsome,Rock Island (H.S.),:10.59
,1989-90,A,Lubeech Graves,Cairo,:10.47
,1989-90,AA,Mario McDonald,Waukegan (West),:10.55
,1990-91,A,Eric Dabner,Decatur (St. Teresa),:10.60
,1990-91,AA,Kerwin Badie,Hillside (Proviso West),:10.66
,1991-92,A,Chris Harper,Chicago (University),:10.64
,1991-92,AA,Kerwin Badie,Hillside (Proviso West),:10.38
,1992-93,A,Bill Jordan,Kewanee (Wethersfield),:11.15
,1992-93,AA,Tony Simmons,Chicago (St. Rita),:10.92
,1993-94,A,Jonte Edwards,Rockford (Christian Life),:10.71
,1993-94,AA,Corey Day,Bolingbrook,:10.42
,1994-95,A,Joe Hosey,Burlington (Central),:11.17
,1994-95,AA,Chris Watson,Chicago (Leo),:10.91
,1995-96,A,Babatunde Ridley,Carlinville,:10.72
,1995-96,AA,Anthony Moorman,Roselle (Lake Park),:10.72
,1996-97,A,Brandon Murphy,Macomb,:10.90
,1996-97,AA,Anthony Moorman,Roselle (Lake Park),:10.56
,1997-98,A,Charlie Baltimore,Carlyle,:10.77
,1997-98,AA,Detar Anderson,East St. Louis (Sr.),:10.49
,1998-99,A,D.J. Glynn,Spring Valley (Hall),:10.93
,1998-99,AA,Ronel Muskeyvalley,Rock Island (H.S.),:10.94
