100-yard dash,1972-73,,Kim Schofield,Springfield (Southeast),:11.0
,1973-74,,Kim Schofield,Springfield (Southeast),:11.1
,1974-75,,Kim Schofield,Springfield (Southeast),:11.0
,1975-76,,Sandra Milliner,Chicago (Carver),:11.0
,1976-77,,Desiree Pritchett,Hillside (Proviso West),:11.2
,1977-78,A,Cheryl Johnson,New Lenox (Providence Catholic),:11.27
,1977-78,AA,Desiree Pritchett,Chicago (Dunbar),:10.88
,1978-79,A,Betsy Crouch,Piasa (Southwestern),:11.3
,1978-79,AA,Diane Williams,Chicago (Dunbar),:10.9
100-meter dash,1979-80,A,Sharon Farley,Mahomet (M.-Seymour),:12.7
,1979-80,AA,Charmaine Carrethers,North Chicago,:12.2
,1980-81,A,Jeanna Sylvester,Downs (Tri-Valley),:12.4
,1980-81,AA,Dora Spearmon,Blue Island (Eisenhower),:11.7
,1981-82,A,Jeanna Sylvester,Downs (Tri-Valley),:12.4
,1981-82,AA,Davera Taylor,Harvey (Thornton),:11.7
,1982-83,A,Melvina Witherspoon,Chicago (Luther South),:12.7
,1982-83,AA,Davera Taylor,Harvey (Thornton),:12.2
,1983-84,A,Brenda Beatty,Macon,:12.8
,1983-84,AA,Tonya Scott,Joliet (St. Francis),:12.2
,1984-85,A,Lucretia Graves,Cairo,:12.3
,1984-85,AA,Tonya Scott,Joliet (St. Francis),:12.0
,1985-86,A,Lucretia Graves,Cairo,:13.06
,1985-86,AA,Samantha Caffey,LaGrange (Lyons),:12.69
,1986-87,A,Jill Doty,Hoopeston (H.-East Lynn),:12.66
,1986-87,AA,Carmelita Williams,East St. Louis (Lincoln),:11.91
,1987-88,A,Marcy Hoffman,Chicago (Luther South),:12.53
,1987-88,AA,Carmelita Williams,East St. Louis (Lincoln),:11.94
,1988-89,A,Marcy Hoffman,Chicago (Luther South),:12.23
,1988-89,AA,Janis Foster,Evanston (Twp.),:11.95
,1989-90,A,Niaya Howard,Palos Heights (Chicago Christian),:12.2
,1989-90,AA,Cynthia Tylor,East St. Louis (Lincoln),:11.5
,1990-91,A,Yukeitha Gardner,Madison,:12.45
,1990-91,AA,Donna Cargill,Rockford (East),:12.26
,1991-92,A,Michelle Smith,Kewanee (Wethersfield),:12.33
,1991-92,AA,Donna Cargill,Rockford (East),:12.25
,1992-93,A,Yukeitha Gardner,Madison,:12.78
,1992-93,AA,Kimberly Watson,Chicago Heights (Bloom Twp.),:12.39
,1993-94,A,Cindy Wang,Urbana (University),:12.60
,1993-94,AA,Shakedia Jones,Gurnee (Warren),:12.13
,1994-95,A,Loretta Hallack,White Hall (North Greene),:12.68
,1994-95,AA,Shakedia Jones,Waukegan (H.S.),:11.82
,1995-96,A,Darcie Barr,Wilmington,:12.92
,1995-96,AA,Shakedia Jones,Waukegan (H.S.),:11.96
,1996-97,A,Kristin Owens,Downs (Tri-Valley),:12.91
,1996-97,AA,Shakedia Jones,Waukegan (H.S.),:11.86
,1997-98,A,Kristin Owens,Downs (Tri-Valley),:12.57
,1997-98,AA,Wanikka Vance,Crete (C.-Monee),:11.76
,1998-99,A,Darla Hannah,Vienna,:12.48
,1998-99,AA,Takoya Thomas,Chicago (Morgan Park),:11.75
,1999-00,A,Darla Hannan,Vienna,:12.58
,1999-00,AA,Adia McKinnon,Flossmoor (Homewood-F.),:11.92
,2000-01,A,Tominque Boatright,Aurora (Central Catholic),:12.27
,2000-01,AA,Jessica Fouché,Chicago (Good Counsel),:11.78
,2001-02,A,Alberta Douglas,Moweaqua (Central A & M),:12.45
,2001-02,AA,Alexandria Anderson,Chicago (Morgan Park),:11.83
,2002-03,A,Alberta Douglas,Moweaqua (Central A & M),:12.43
,2002-03,AA,Alexandria Anderson,Chicago (Morgan Park),:11.64
,2003-04,A,Andrea Norris,Lisle (Sr.),:12.14
,2003-04,AA,Alexandria Anderson,Chicago (Morgan Park),:11.41
,2004-05,A,Kimberly Spencer,Pinckneyville,:12.53
,2004-05,AA,Alexandria Anderson,Chicago (Morgan Park),:11.65
,2005-06,A,Kimberly Spencer,Pinckneyville,:12.49
,2005-06,AA,Shalina Clarke,Evanston (Twp.),:11.99
,2006-07,A,Kimberly Spencer,Pinckneyville,:12.13
,2006-07,AA,Ronecia Nash,East St. Louis (Sr.),:11.94
,2007-08,A,Kimberly Spencer,Pinckneyville,:12.38
,2007-08,AA,Ronecia Nash,East St. Louis (Sr.),:11.88
,2008-09,1A,Lindsey Holden,Greenville,:12.25
,2008-09,2A,Dominique Kimpel,Kankakee (Sr.),:11.94
,2008-09,3A,Yolanda Suggs,Belleville (West),:12.06
,2009-10,1A,Jena Hemann,Breese (Central),:12.58
,2009-10,2A,Dominique Kimpel,Kankakee (Sr.),:11.76
,2009-10,3A,Aaliyah Brown,Frankfort (Lincoln-Way East),:11.57
,2010-11,1A,Jena Hemann,Breese (Central),:12.02
,2010-11,2A,Dominique Kimpel,Kankakee (Sr.),:11.69
,2010-11,3A,Aaliyah Brown,Frankfort (Lincoln-Way East),:11.46
,2011-12,1A,Erica Dynes,Kewanee (Wethersfield),12.1
,2011-12,2A,Charday Crawford,Springfield (Southeast),11.48
,2011-12,3A,Morolake Akinosun,Aurora (Waubonsie Valley),11.41
,2012-13,1A,Amelia Glueck,Tremont,12.5
,2012-13,2A,Charday Crawford,Springfield (Southeast),11.72
,2012-13,3A,Aaliyah Brown,Frankfort (Lincoln-Way East),11.42
,2013-14,1A,Amelia Glueck,Tremont,12.29
,2013-14,2A,Ryan Preacely,Chicago (Noble Street Charter/Johnson),11.68
,2013-14,3A,Meghan Marias,Frankfort (Lincoln-Way East),11.87
,2014-15,1A,Mariah Woods,South Holland (Seton Academy),12.36
