"State","Year","Gender","Event","Class","Mark"
"Illinois","1973","Girls","100y","",":11.0"
"Illinois","1974","Girls","100y","",":11.1"
"Illinois","1975","Girls","100y","",":11.0"
"Illinois","1976","Girls","100y","",":11.0"
"Illinois","1977","Girls","100y","",":11.2"
"Illinois","1978","Girls","100y","A",":11.27"
"Illinois","1978","Girls","100y","AA",":10.88"
"Illinois","1979","Girls","100y","A",":11.3"
"Illinois","1979","Girls","100y","AA",":10.9"
"Illinois","1980","Girls","100m","A",":12.7"
"Illinois","1980","Girls","100m","AA",":12.2"
"Illinois","1981","Girls","100m","A",":12.4"
"Illinois","1981","Girls","100m","AA",":11.7"
"Illinois","1982","Girls","100m","A",":12.4"
"Illinois","1982","Girls","100m","AA",":11.7"
"Illinois","1983","Girls","100m","A",":12.7"
"Illinois","1983","Girls","100m","AA",":12.2"
"Illinois","1984","Girls","100m","A",":12.8"
"Illinois","1984","Girls","100m","AA",":12.2"
"Illinois","1985","Girls","100m","A",":12.3"
"Illinois","1985","Girls","100m","AA",":12.0"
"Illinois","1986","Girls","100m","A",":13.06"
"Illinois","1986","Girls","100m","AA",":12.69"
"Illinois","1987","Girls","100m","A",":12.66"
"Illinois","1987","Girls","100m","AA",":11.91"
"Illinois","1988","Girls","100m","A",":12.53"
"Illinois","1988","Girls","100m","AA",":11.94"
"Illinois","1989","Girls","100m","A",":12.23"
"Illinois","1989","Girls","100m","AA",":11.95"
"Illinois","1990","Girls","100m","A",":12.2"
"Illinois","1990","Girls","100m","AA",":11.5"
"Illinois","1991","Girls","100m","A",":12.45"
"Illinois","1991","Girls","100m","AA",":12.26"
"Illinois","1992","Girls","100m","A",":12.33"
"Illinois","1992","Girls","100m","AA",":12.25"
"Illinois","1993","Girls","100m","A",":12.78"
"Illinois","1993","Girls","100m","AA",":12.39"
"Illinois","1994","Girls","100m","A",":12.60"
"Illinois","1994","Girls","100m","AA",":12.13"
"Illinois","1995","Girls","100m","A",":12.68"
"Illinois","1995","Girls","100m","AA",":11.82"
"Illinois","1996","Girls","100m","A",":12.92"
"Illinois","1996","Girls","100m","AA",":11.96"
"Illinois","1997","Girls","100m","A",":12.91"
"Illinois","1997","Girls","100m","AA",":11.86"
"Illinois","1998","Girls","100m","A",":12.57"
"Illinois","1998","Girls","100m","AA",":11.76"
"Illinois","1999","Girls","100m","A",":12.48"
"Illinois","1999","Girls","100m","AA",":11.75"
"Illinois","2000","Girls","100m","A",":12.58"
"Illinois","2000","Girls","100m","AA",":11.92"
"Illinois","2001","Girls","100m","A",":12.27"
"Illinois","2001","Girls","100m","AA",":11.78"
"Illinois","2002","Girls","100m","A",":12.45"
"Illinois","2002","Girls","100m","AA",":11.83"
"Illinois","2003","Girls","100m","A",":12.43"
"Illinois","2003","Girls","100m","AA",":11.64"
"Illinois","2004","Girls","100m","A",":12.14"
"Illinois","2004","Girls","100m","AA",":11.41"
"Illinois","2005","Girls","100m","A",":12.53"
"Illinois","2005","Girls","100m","AA",":11.65"
"Illinois","2006","Girls","100m","A",":12.49"
"Illinois","2006","Girls","100m","AA",":11.99"
"Illinois","2007","Girls","100m","A",":12.13"
"Illinois","2007","Girls","100m","AA",":11.94"
"Illinois","2008","Girls","100m","A",":12.38"
"Illinois","2008","Girls","100m","AA",":11.88"
"Illinois","2009","Girls","100m","1A",":12.25"
"Illinois","2009","Girls","100m","2A",":11.94"
"Illinois","2009","Girls","100m","3A",":12.06"
"Illinois","2010","Girls","100m","1A",":12.58"
"Illinois","2010","Girls","100m","2A",":11.76"
"Illinois","2010","Girls","100m","3A",":11.57"
"Illinois","2011","Girls","100m","1A",":12.02"
"Illinois","2011","Girls","100m","2A",":11.69"
"Illinois","2011","Girls","100m","3A",":11.46"
"Illinois","2012","Girls","100m","1A","12.1"
"Illinois","2012","Girls","100m","2A","11.48"
"Illinois","2012","Girls","100m","3A","11.41"
"Illinois","2013","Girls","100m","1A","12.5"
"Illinois","2013","Girls","100m","2A","11.72"
"Illinois","2013","Girls","100m","3A","11.42"
"Illinois","2014","Girls","100m","1A","12.29"
"Illinois","2014","Girls","100m","2A","11.68"
"Illinois","2014","Girls","100m","3A","11.87"
"Illinois","2015","Girls","100m","1A","12.36"
"Illinois","2015","Girls","100m","2A","12.02"
"Illinois","2015","Girls","100m","3A","11.85"
