"Gender","Year","Name","Mark","Mark.Note","Event","State"
"Girls","1987","Sonia Wharton Moore ","12.31",NA,"100m","Kansas"
"Girls","1988","Sonia Wharton Moore ","11.97",NA,"100m","Kansas"
"Girls","1989","Lisa Brown Central ","12.13",NA,"100m","Kansas"
"Girls","1990","Ericka Muncy Bryan Station ","12.61",NA,"100m","Kansas"
"Girls","1991","Gwen Thomas Shawnee ","12.52",NA,"100m","Kansas"
"Girls","1992","Stephany Davis George Rogers Clark ","12.69",NA,"100m","Kansas"
"Girls","1993","Sumayya Rashid Henry Clay ","12.28",NA,"100m","Kansas"
"Girls","1994","Tenesha Blakey Valley ","12.44",NA,"100m","Kansas"
"Girls","1995","Sumayya Rashid Henry Clay ","12.29",NA,"100m","Kansas"
"Girls","1996","Tiya Thomas Louisville Valley ","12.85",NA,"100m","Kansas"
"Girls","1997","Simidele Adeagbo Eastern ","12.46",NA,"100m","Kansas"
"Girls","1998","Simidele Adeagbo Eastern ","12.48",NA,"100m","Kansas"
"Girls","1999","Marion McDonald North Hardin ","12.51",NA,"100m","Kansas"
"Girls","2000","Christen Jones Boone County ","12.4",NA,"100m","Kansas"
"Girls","2001","Denasha Mondy Ballard ","12.33",NA,"100m","Kansas"
"Girls","2002","Denasha Mondy Ballard ","11.8","h","100m","Kansas"
"Girls","2003","Denasha Mondy Ballard ","11.95",NA,"100m","Kansas"
"Girls","2004","Brittney Belle Louisville Central ","12.3",NA,"100m","Kansas"
"Girls","2005","Brittney Belle Louisville Central ","12.51",NA,"100m","Kansas"
"Girls","2006","Chelsea Brown Butler ","12.43",NA,"100m","Kansas"
"Girls","2007","Candace Johnson Hopkinsville ","12.27",NA,"100m","Kansas"
"Girls","2008","Chelsea Brown Butler ","12.22",NA,"100m","Kansas"
"Girls","2009","Mariah Murphy Owensboro ","12.15",NA,"100m","Kansas"
"Girls","2010","Tamyah Pipkin Tates Creek ","12.25",NA,"100m","Kansas"
"Girls","2011","Tamyah Pipkin Tates Creek ","12.62",NA,"100m","Kansas"
"Girls","2012","Natavia Barber Tates Creek ","12.3",NA,"100m","Kansas"
"Girls","2013","Kianna Gray North Hardin ","12.2",NA,"100m","Kansas"
"Girls","2014"," Kianna Gray North Hardin ","11.81",NA,"100m","Kansas"
"Girls","2015","Kianna Gray North Hardin ","11.73",NA,"100m","Kansas"
"Girls","2016","Taliyah Townsend Male ","11.95",NA,"100m","Kansas"
"Girls","2017","Brooke Raglin Bryan Station ","11.79",NA,"100m","Kansas"
"Girls","2018","Kaleb McDonald Jeffersontown ","11.76",NA,"100m","Kansas"
"Girls","2019","Rosalynd Hollingsworth Tates Creek  ","11.69",NA,"100m","Kansas"
"Girls","2021","Maddy Dunn Pulaski County ","12.4",NA,"100m","Kansas"
"Girls","1974","Sligar Ballard ","05:18.3",NA,"Mile","Kansas"
"Girls","1975","Kathy Jones Pleasure Ridge Park ","05:18.7",NA,"Mile","Kansas"
"Girls","1976","Jones Pleasure Ridge Park ","05:12.3",NA,"Mile","Kansas"
"Girls","1977","Jones Pleasure Ridge Park ","05:03.6",NA,"Mile","Kansas"
"Girls","1978","Jones Pleasure Ridge Park ","05:06.4",NA,"Mile","Kansas"
"Girls","1979","Straight Henderson County ","05:09.3",NA,"1600m","Kansas"
"Girls","1980","Kathleen Beumal Apollo ","05:12.0",NA,"1600m","Kansas"
"Girls","1981","Camille Forrester Central ","05:12.7",NA,"1600m","Kansas"
"Girls","1982","Nancy Crutcher Oldham County ","05:13.5",NA,"1600m","Kansas"
"Girls","1983","Nancy Crutcher Oldham County ","05:15.3",NA,"1600m","Kansas"
"Girls","1984","Angela Brit Atherton ","05:11.6",NA,"1600m","Kansas"
"Girls","1985","Donna Combs Ballard ","04:57.4",NA,"1600m","Kansas"
"Girls","1986","Donna Combs Ballard ","05:05.0",NA,"1600m","Kansas"
"Girls","1987","Wendy Frazier Henry Clay ","05:03.0",NA,"1600m","Kansas"
"Girls","1988","Jill Nickerson Boone County ","05:14.7",NA,"1600m","Kansas"
"Girls","1989","Alison Staples Henderson County ","05:15.6",NA,"1600m","Kansas"
"Girls","1990","Michelle Marshall Boone County ","05:18.4",NA,"1600m","Kansas"
"Girls","1991","Michelle Marshall Boone County ","05:18.7",NA,"1600m","Kansas"
"Girls","1992","Michelle Marshall Boone County ","05:13.9",NA,"1600m","Kansas"
"Girls","1993","Megan Newcome Nelson County ","05:13.6",NA,"1600m","Kansas"
