"State","Year","Gender","Event","Class","Mark"
"Maryland","1952","Boys","100y","A","10.7"
"Maryland","1952","Boys","100y","B","11.0"
"Maryland","1952","Boys","100y","C","10.9"
"Maryland","1953","Boys","100y","A","10.1"
"Maryland","1953","Boys","100y","B",NA
"Maryland","1953","Boys","100y","C","10.1"
"Maryland","1954","Boys","100y","A","10.3"
"Maryland","1954","Boys","100y","B","10.5"
"Maryland","1954","Boys","100y","C","10.6"
"Maryland","1955","Boys","100y","A","10.0"
"Maryland","1955","Boys","100y","B","10.1"
"Maryland","1955","Boys","100y","C","10.6"
"Maryland","1956","Boys","100y","A","10.5"
"Maryland","1956","Boys","100y","B","10.5"
"Maryland","1956","Boys","100y","C","10.5"
"Maryland","1957","Boys","100y","A","10.2"
"Maryland","1957","Boys","100y","B","10.5"
"Maryland","1957","Boys","100y","C","10.7"
"Maryland","1958","Boys","100y","A","10.2"
"Maryland","1958","Boys","100y","B","9.9"
"Maryland","1958","Boys","100y","C",NA
"Maryland","1959","Boys","100y","A","9.9"
"Maryland","1959","Boys","100y","B","10.5"
"Maryland","1959","Boys","100y","C","10.4"
"Maryland","1960","Boys","100y","A","10.4"
"Maryland","1960","Boys","100y","B","10.1"
"Maryland","1960","Boys","100y","C","10.5"
"Maryland","1961","Boys","100y","AA","10.2"
"Maryland","1961","Boys","100y","A","10.3"
"Maryland","1961","Boys","100y","B","10.4"
"Maryland","1961","Boys","100y","C","10.2"
"Maryland","1962","Boys","100y","AA","9.9"
"Maryland","1962","Boys","100y","A","10.1"
"Maryland","1962","Boys","100y","B","10.0"
"Maryland","1962","Boys","100y","C","10.1"
"Maryland","1963","Boys","100y","AA","10.0"
"Maryland","1963","Boys","100y","A","9.9"
"Maryland","1963","Boys","100y","B","10.2"
"Maryland","1963","Boys","100y","C","10.5"
"Maryland","1964","Boys","100y","AA","10.1"
"Maryland","1964","Boys","100y","A","9.9"
"Maryland","1964","Boys","100y","B","10.2"
"Maryland","1964","Boys","100y","C","10.0"
"Maryland","1965","Boys","100y","AA","9.9"
"Maryland","1965","Boys","100y","A","10.0"
"Maryland","1965","Boys","100y","B",NA
"Maryland","1965","Boys","100y","C",NA
"Maryland","1966","Boys","100y","AA","9.9"
"Maryland","1966","Boys","100y","A","9.7"
"Maryland","1966","Boys","100y","B","10.1"
"Maryland","1966","Boys","100y","C","10.4"
