Event: 880 Yards (con’t.),
Year Class,Athlete-School-Mark
1964 AA,Dave Patrick KEN 1:54.8
1964 A,Bob Thomas SPP 2:01.1
1964 B,"McGowan, Sollers Point 2:01.9"
1964 C,Reuben Beauchamp WAS 1:59.9
1965 AA,Dave Schultz OVE 1:55.7
1965 A,George Minarik PEH 1:57.9
1965 B,
1965 C,Jan Eliasson WAS 2:00.1
1966 AA,Rick Kell KEN 1:57.3
1966 A,Jay Cuthbert FRA 1:59.0
1966 B,Eugene Dean FSK 2:02.9
1966 C,John Britton WAS 2:05.0
1967 AA,Rick Kell KEN 1:55.1
1967 A,James Goure WCH 2:00.8
1967 B,Donald Holmes LAC 2:04.3
1967 C,John Britton WAS 2:03.8
1968 AA,Dave Solomon REP 1:54.5
1968 A,Frank Latimer CEN 1:57.8
1968 B,Eridinger NCL 2:02.1
1968 C,Harry Owens POO 2:06.0
1969 AA,Bob Wheeler DUL 1:52.9/1:52.3c
1969 A,Tacque Peyton GAI 1:59.2
1969 B,Greg Huntsberry BOO 2:01.8
1969 C,Jones SOM 2:05.6
1970 AA,Bob Wheeler DUL 1:55.3
1970 A,Dale Bateman LAU 1:47.7
1970 B,Nelson Snyder HER 2:00.6
1970 C,Allnutt POO 2:02.7
1971 AA,Gordon Oliver BCC 1:55.9
1971 A,Dale Bateman LAU 1:56.0
1971 B,Richard Thomas GLG 1:58.3
1971 C,George Brooks GWP 2:00.0
1972 AA,Dave Sandridge PKD 1:53.2/1:52.6c
1972 A,Joe Farinholt WES 1:57.0
1972 B,Nelson Snyder HER 2:00.9
1972 C,Paul Brady RIS 2:03.0
1973 AA,Dave Sandridge PKD 1:53.5
1973 A,Jack Bindl CZM 1:57.6
1973 B,Mark Smith FRE 1:58.9
1973 C,Paul Brady RIS 2:01.7
1974 AA,Jim Peterson WHE 1:55.7
1974 A,Bob Cela FRA 1:58.4
1974 B,Roderick Simpkins FRE 1:59.9
1974 C,Mark Pearl MID 1:58.4
1975 AA,Richard Brody WWH 1:55.0
1975 A,Glenn Wright OXH 1:58.2
1975 B,Randy Artz WIL 1:59.2
1975 C,Dennis Albright BEA 2:05.7
1976 AA,Richard Brody WWH 1:54.8
1976 A,Anthony Ehman SUR 1:56.3
1976 B,Chuck Driesnack CEN 1:56.9
1976 C,Dennis Stoner SMI 2:03.3
1977 AA,Bob DeSantis REP 1:56.5
