Column1,Column2,Column3
Year,Event,Champion
"2021Norwell High School, MA",(B) 220y / 200M21.43,Jacob KaoActon-Boxborough
"2021Norwell High School, MA",(B) 880y / 800m1:53.04,Reed CherryLittleton
"2021Norwell High School, MA",(B) 440y / 400M48.90,Jarrett YoungSaint John's
"2021Norwell High School, MA",(B) 100y / 100M10.67,Jonas ClarkSouth Hadley
"2019Westfield State, MA",(G) Javelin122-10,Kaiya SaundersDoherty Memorial
"2019Westfield State, MA",(B) 440y / 400M48.29,Mange CamaraWatertown
"2019Westfield State, MA",(B) 4x110y / 4x100M42.51,"Noah Sweeney, Ryan Casebolt, Jacob Kao, Adam YangActon-Boxborough"
"2019Westfield State, MA",(B) Long Jump23-05.00,Richmond KwaatengLowell
"2019Westfield State, MA",(G) 440y / 400M56.27,India IngemiBeverly
"2019Westfield State, MA",(B) Shot Put64-9.50,Aiden FeltyInnovation Academy
"2019Westfield State, MA",(B) Discus160-08,Aiden FeltyInnovation Academy
"2019Westfield State, MA",(G) 80yd / 100M/ 110M/ 120Yd Hurdles14.33,Katharine DurenCentral Catholic
"2019Westfield State, MA",(B) 1 MILE4:17.42,Matthew KleimanConcord-Carlisle
"2019Westfield State, MA",(B) 880y / 800m1:54.41,Jon DiazBrookline
"2019Westfield State, MA",(B) Triple Jump47-06.50,Naishaun JerniganPutnam Vo Tech
"2019Westfield State, MA",(B) Pole Vault13-06.00,John BaiAlgonquin Regional
"2019Westfield State, MA",(B) 100y / 100M10.74,Noah SweeneyActon-Boxborough
"2019Westfield State, MA",(G) Team Champion38,WellesleyWellesley
"2019Westfield State, MA",(B) Javelin191-02,Lucas FrostTewksbury Memorial
"2019Westfield State, MA",(G) Shot Put45-01.00,Cameron GarabianSeekonk
"2019Westfield State, MA",(G) 180y / 330y / 300M / 400M Hurdles1:01.70,Meg HughesOld Rochester
"2019Westfield State, MA",(G) Discus130-03,Tiana BazieDennis-Yarmouth
"2019Westfield State, MA",(G) Pentathlon3201,Mackenzie CondonMarthas Vineyard
"2019Westfield State, MA",(G) Pole Vault11-06.00,Sarah FirthBelmont
"2019Westfield State, MA",(B) 220y / 200M21.58,Matt ZawaskiBishop Feehan
"2019Westfield State, MA",(B) 2 MILE9:12.19,Ryan OostingArlington
"2019Westfield State, MA",(B) 80yd / 100M/ 110M/ 120Yd Hurdles13.99,David PetersStoughton
"2019Westfield State, MA",(G) Triple Jump38-07.25,Stephanie SimonChelsea
"2019Westfield State, MA",(G) 1 MILE4:55.16,Lucy JenksNewton South
"2019Westfield State, MA",(B) 4x440 / 4x4003:19.55,"Shermar Scott, Tommy Jordan, Cameron McLeod, Alex WarnerNeedham"
"2019Westfield State, MA",(B) Team Champion50,LowellLowell
"2019Westfield State, MA",(G) 880y / 800m2:08.41,Makayla PaigeTewksbury Memorial
"2019Westfield State, MA",(B) Pentathlon3427,Jordan WilliamsBrockton
"2019Westfield State, MA",(B) 180y / 330y / 300M / 400M Hurdles53.61,Jordan WilliamsBrockton
"2019Westfield State, MA",(G) 4x440 / 4x4003:57.73,"Christina Gunsalus, Rebekah James, Emma Sullivan, Madison MarshShepherd Hill"
"2019Westfield State, MA",(G) High Jump5-08.00,Anna Jordahl-HenryWellesley
"2019Westfield State, MA",(G) 100y / 100M11.93,Caroline SchisselAmesbury
"2019Westfield State, MA",(G) 220y / 200M24.31,Anna Jordahl-HenryWellesley
"2019Westfield State, MA",(G) 4x110y / 4x100M48.54,"Rebecca Cady, Kimesha Lewis, Jordan Lamarre, Celeste MensahLowell"
"2019Westfield State, MA",(G) 4X8009:23.66,"Lucy Abdow, Ema Noonan, Julie Tassinari, Annie JacksonBoston Latin"
"2019Westfield State, MA",(G) Long Jump19-03.50,Jada JohnsonSharon
"2019Westfield State, MA",(B) High Jump6-08.00,David AjamaLowell
"2019Westfield State, MA",(B) 4X8007:52.63,"Jason Norris, Bennett MacDougall, Colby Zarle, Jackson O'TooleWellesley"
"2019Westfield State, MA",(G) 2 MILE10:34.12,Grace ConnollyNatick
"2018Fitchburg State, MA",(B) 1 MILE4:14.09,Ryan OostingArlington
"2018Fitchburg State, MA",(G) 100y / 100M12.09,Chloe AlfieriBromfield
"2018Fitchburg State, MA",(B) Triple Jump46-06.00,Nate HobbsSt. Johns Prep
"2018Fitchburg State, MA",(G) 4x110y / 4x100M48.01,"Ally Bennett, Delia Barbanti, Hope Joel, Hannah LansberryAndover"
"2018Fitchburg State, MA",(B) 220y / 200M21.52,Joseph O'BrienShrewsbury
"2018Fitchburg State, MA",(B) 4x110y / 4x100M42.26,"Adam Katerji, Cameron Morris, Douglas Dias, Dasani PrideauxShrewsbury"
"2018Fitchburg State, MA",(B) 2 MILE9:06.17,Ryan OostingArlington
"2018Fitchburg State, MA",(B) 80yd / 100M/ 110M/ 120Yd Hurdles14.31,Adam YangActon-Boxborough
"2018Fitchburg State, MA",(G) 880y / 800m2:07.27,Samantha FriborgActon-Boxborough
"2018Fitchburg State, MA",(G) Javelin156-10,Shira StollerSharon
