"State","Year","Gender","Event","Class","Mark"
"Michigan","1979","Boys","Pole Vault","CLASS A","14-7"
"Michigan","1979","Boys","Mile","CLASS A","4:14.7"
"Michigan","1979","Boys","High Jump","CLASS A","7-0"
"Michigan","1979","Boys","880y","CLASS A","1:52.4"
"Michigan","1979","Boys","100y","CLASS A",":10.0"
"Michigan","1978","Boys","Pole Vault","CLASS A","13-11"
"Michigan","1978","Boys","Mile","CLASS A","4:13.5"
"Michigan","1978","Boys","High Jump","CLASS A","6-10 1/2"
"Michigan","1978","Boys","880y","CLASS A","1:53.7"
"Michigan","1978","Boys","100y","CLASS A",":09.8"
"Michigan","1977","Boys","Pole Vault","CLASS A","14-11"
"Michigan","1977","Boys","Mile","CLASS A","4:17.2"
"Michigan","1977","Boys","High Jump","CLASS A","6-10"
"Michigan","1977","Boys","880y","CLASS A","1:52.2"
"Michigan","1977","Boys","100y","CLASS A",":09.8"
"Michigan","1976","Boys","Pole Vault","CLASS A","15-0"
"Michigan","1976","Boys","Mile","CLASS A","4:16.3"
"Michigan","1976","Boys","High Jump","CLASS A","6-9 1/4"
"Michigan","1976","Boys","High Jump","CLASS A","6-9 1/4"
"Michigan","1976","Boys","880y","CLASS A","1:55.3"
"Michigan","1976","Boys","100y","CLASS A",":9.8"
"Michigan","1975","Boys","Pole Vault","CLASS A","14-8"
"Michigan","1975","Boys","Mile","CLASS A","4:08.2"
"Michigan","1975","Boys","High Jump","CLASS A","6-7"
"Michigan","1975","Boys","880y","CLASS A","1:51.3"
"Michigan","1975","Boys","100y","CLASS A",":9.8"
"Michigan","1974","Boys","Pole Vault","CLASS A","15-6 1/2"
"Michigan","1974","Boys","Mile","CLASS A","4:15.7"
"Michigan","1974","Boys","High Jump","CLASS A","6-8"
"Michigan","1974","Boys","880y","CLASS A","1:53.7"
"Michigan","1974","Boys","100y","CLASS A",":9.8"
"Michigan","1973","Boys","Pole Vault","CLASS A","14-3"
"Michigan","1973","Boys","Mile","CLASS A","4:16.9"
"Michigan","1973","Boys","High Jump","CLASS A","6-6"
"Michigan","1973","Boys","880y","CLASS A","1:55.5"
"Michigan","1973","Boys","100y","CLASS A",":9.6"
"Michigan","1972","Boys","Pole Vault","CLASS A","15-0"
"Michigan","1972","Boys","Mile","CLASS A","4:13.9"
"Michigan","1972","Boys","High Jump","CLASS A","6-9"
"Michigan","1972","Boys","880y","CLASS A","1:52.8"
"Michigan","1972","Boys","100y","CLASS A",":9.8"
"Michigan","1971","Boys","Pole Vault","CLASS A","14-4"
"Michigan","1971","Boys","Mile","CLASS A","4:16.3"
"Michigan","1971","Boys","High Jump","CLASS A","6-8"
"Michigan","1971","Boys","880y","CLASS A","1:54.5"
"Michigan","1971","Boys","100y","CLASS A",":9.6"
"Michigan","1970","Boys","Pole Vault","CLASS A","14-0"
"Michigan","1970","Boys","Mile","CLASS A","4:14.5"
"Michigan","1970","Boys","High Jump","CLASS A","6-6"
"Michigan","1970","Boys","880y","CLASS A","1:50.9"
"Michigan","1970","Boys","100y","CLASS A",":10.0"
"Michigan","1979","Boys","Pole Vault","CLASS B","14-8"
"Michigan","1979","Boys","Mile","CLASS B","4:14.9"
"Michigan","1979","Boys","High Jump","CLASS B","6-11 1/2"
"Michigan","1979","Boys","880y","CLASS B","1:56.3"
"Michigan","1979","Boys","100y","CLASS B",":09.9"
"Michigan","1978","Boys","Pole Vault","CLASS B","13-11"
"Michigan","1978","Boys","Mile","CLASS B","4:21.5"
"Michigan","1978","Boys","High Jump","CLASS B","6-7 1/2"
"Michigan","1978","Boys","880y","CLASS B","1:53.1"
"Michigan","1978","Boys","100y","CLASS B",":10.0"
"Michigan","1977","Boys","Pole Vault","CLASS B","13-11"
"Michigan","1977","Boys","Mile","CLASS B","4:19.5"
"Michigan","1977","Boys","High Jump","CLASS B","6-11 1/4"
"Michigan","1977","Boys","880y","CLASS B","1:52.9"
"Michigan","1977","Boys","100y","CLASS B",":10.1"
"Michigan","1976","Boys","Pole Vault","CLASS B","14-4"
"Michigan","1976","Boys","Mile","CLASS B","4:18.0"
"Michigan","1976","Boys","High Jump","CLASS B","6-9"
"Michigan","1976","Boys","880y","CLASS B","1:55.0"
"Michigan","1976","Boys","100y","CLASS B",":9.9"
"Michigan","1975","Boys","Pole Vault","CLASS B","14-4"
"Michigan","1975","Boys","Mile","CLASS B","4:18.4"
"Michigan","1975","Boys","High Jump","CLASS B","6-4"
"Michigan","1975","Boys","880y","CLASS B","1:53.6"
"Michigan","1975","Boys","100y","CLASS B",":9.5"
"Michigan","1974","Boys","Pole Vault","CLASS B","14-3"
"Michigan","1974","Boys","Mile","CLASS B","4:13.1"
"Michigan","1974","Boys","High Jump","CLASS B","6-8 1/2"
"Michigan","1974","Boys","880y","CLASS B","1:53.9"
"Michigan","1974","Boys","100y","CLASS B",":9.8"
"Michigan","1973","Boys","Pole Vault","CLASS B","14-0"
"Michigan","1973","Boys","Mile","CLASS B","4:14.9"
"Michigan","1973","Boys","High Jump","CLASS B","6-4"
"Michigan","1973","Boys","880y","CLASS B","1:55.9"
"Michigan","1973","Boys","100y","CLASS B",":10.0"
"Michigan","1972","Boys","Pole Vault","CLASS B","13-8"
"Michigan","1972","Boys","Mile","CLASS B","4:25.5"
"Michigan","1972","Boys","High Jump","CLASS B","6-8"
"Michigan","1972","Boys","880y","CLASS B","1:53.8"
"Michigan","1972","Boys","100y","CLASS B",":10.0"
"Michigan","1971","Boys","Pole Vault","CLASS B","13-4"
"Michigan","1971","Boys","Mile","CLASS B","4:19.4"
"Michigan","1971","Boys","High Jump","CLASS B","6-3"
"Michigan","1971","Boys","880y","CLASS B","1:55.6"
"Michigan","1971","Boys","100y","CLASS B",":9.65"
"Michigan","1970","Boys","Pole Vault","CLASS B","14-7"
"Michigan","1970","Boys","Mile","CLASS B","4:22.2"
"Michigan","1970","Boys","High Jump","CLASS B","6-6 1/4"
"Michigan","1970","Boys","880y","CLASS B","1:55.3"
"Michigan","1970","Boys","100y","CLASS B",":10.2"
"Michigan","1979","Boys","Pole Vault","CLASS C","13-9"
"Michigan","1979","Boys","Mile","CLASS C","4:15.8"
"Michigan","1979","Boys","High Jump","CLASS C","6-10"
"Michigan","1979","Boys","880y","CLASS C","1:56.3"
"Michigan","1979","Boys","100y","CLASS C",":10.2"
"Michigan","1978","Boys","Pole Vault","CLASS C","13-6"
"Michigan","1978","Boys","Mile","CLASS C","4:18.1"
"Michigan","1978","Boys","High Jump","CLASS C","6-7"
"Michigan","1978","Boys","880y","CLASS C","1:57.2"
"Michigan","1978","Boys","100y","CLASS C",":10.2"
"Michigan","1977","Boys","Pole Vault","CLASS C","13-4"
"Michigan","1977","Boys","Mile","CLASS C","4:26.1"
"Michigan","1977","Boys","High Jump","CLASS C","6-6"
"Michigan","1977","Boys","880y","CLASS C","1:58.2"
"Michigan","1977","Boys","100y","CLASS C",":09.9"
"Michigan","1976","Boys","Pole Vault","CLASS C","14-2"
"Michigan","1976","Boys","Mile","CLASS C","4:23.46"
"Michigan","1976","Boys","High Jump","CLASS C","6-6"
"Michigan","1976","Boys","880y","CLASS C","1:56.1"
"Michigan","1976","Boys","100y","CLASS C",":12.2"
"Michigan","1975","Boys","Pole Vault","CLASS C","13-6"
"Michigan","1975","Boys","Mile","CLASS C","4:26.3"
"Michigan","1975","Boys","High Jump","CLASS C","6-5"
"Michigan","1975","Boys","880y","CLASS C","1:58.4"
"Michigan","1975","Boys","100y","CLASS C",":10.2"
"Michigan","1974","Boys","Pole Vault","CLASS C","14-6 3/4"
"Michigan","1974","Boys","Mile","CLASS C","4:25.9"
"Michigan","1974","Boys","High Jump","CLASS C","6-7"
"Michigan","1974","Boys","880y","CLASS C","1:58.6"
"Michigan","1974","Boys","100y","CLASS C",":10.4"
"Michigan","1973","Boys","Pole Vault","CLASS C","14-1"
"Michigan","1973","Boys","Mile","CLASS C","4:27.5"
"Michigan","1973","Boys","High Jump","CLASS C","6-4 1/2"
"Michigan","1973","Boys","880y","CLASS C","1:57.1"
"Michigan","1973","Boys","100y","CLASS C",":10.3"
"Michigan","1972","Boys","Pole Vault","CLASS C","12-10"
"Michigan","1972","Boys","Mile","CLASS C","4:18.8"
"Michigan","1972","Boys","High Jump","CLASS C","6-7 1/4"
"Michigan","1972","Boys","880y","CLASS C","1:56.3"
"Michigan","1972","Boys","100y","CLASS C",":10.1"
"Michigan","1971","Boys","Pole Vault","CLASS C","13-1 1/2"
"Michigan","1971","Boys","Mile","CLASS C","4:22.9"
"Michigan","1971","Boys","High Jump","CLASS C","6-2"
"Michigan","1971","Boys","880y","CLASS C","1:58.0"
"Michigan","1971","Boys","100y","CLASS C",":10.2"
"Michigan","1970","Boys","Pole Vault","CLASS C","12-11 1/2"
"Michigan","1970","Boys","Mile","CLASS C","4:28.7"
"Michigan","1970","Boys","High Jump","CLASS C","6-8 1/2"
"Michigan","1970","Boys","880y","CLASS C","1:57.6"
"Michigan","1970","Boys","100y","CLASS C",":10.5"
"Michigan","1979","Boys","Pole Vault","CLASS D","4.11 M"
"Michigan","1979","Boys","High Jump","CLASS D","1.94 M"
"Michigan","1979","Boys","1600m","CLASS D","4:19.1"
"Michigan","1979","Boys","800m","CLASS D","1:57.9"
"Michigan","1979","Boys","100m","CLASS D",":10.9"
"Michigan","1978","Boys","Pole Vault","CLASS D","13-7"
"Michigan","1978","Boys","Mile","CLASS D","4:24"
"Michigan","1978","Boys","High Jump","CLASS D","6-4 1/2"
"Michigan","1978","Boys","880y","CLASS D","1:58.0"
"Michigan","1978","Boys","100y","CLASS D",":10.1"
"Michigan","1977","Boys","Pole Vault","CLASS D","12-0"
"Michigan","1977","Boys","Mile","CLASS D","4:32.3"
"Michigan","1977","Boys","High Jump","CLASS D","6-5"
"Michigan","1977","Boys","880y","CLASS D","1:59.6"
"Michigan","1977","Boys","100y","CLASS D",":9.65"
"Michigan","1976","Boys","Pole Vault","CLASS D","13-6"
"Michigan","1976","Boys","Mile","CLASS D","4:24.5"
"Michigan","1976","Boys","High Jump","CLASS D","6-5 3/4"
"Michigan","1976","Boys","880y","CLASS D","1:58.1"
"Michigan","1976","Boys","100y","CLASS D",NA
"Michigan","1975","Boys","Pole Vault","CLASS D","13-9 1/2"
"Michigan","1975","Boys","Mile","CLASS D","4:30.02"
"Michigan","1975","Boys","High Jump","CLASS D","6-9 1/4"
"Michigan","1975","Boys","880y","CLASS D","1:58.0"
"Michigan","1975","Boys","100y","CLASS D",":9.85"
"Michigan","1974","Boys","Pole Vault","CLASS D","13-3"
"Michigan","1974","Boys","Mile","CLASS D","4:28.8"
"Michigan","1974","Boys","High Jump","CLASS D","6-3 3/4"
"Michigan","1974","Boys","880y","CLASS D","1:58.5"
"Michigan","1974","Boys","100y","CLASS D",":10.0"
"Michigan","1973","Boys","Pole Vault","CLASS D","12-7"
"Michigan","1973","Boys","Mile","CLASS D","4:24.3"
"Michigan","1973","Boys","High Jump","CLASS D","6-3"
"Michigan","1973","Boys","880y","CLASS D","1:56.8"
"Michigan","1973","Boys","100y","CLASS D",":9.9"
"Michigan","1972","Boys","Pole Vault","CLASS D","13-2"
"Michigan","1972","Boys","Mile","CLASS D","4:31.5"
"Michigan","1972","Boys","High Jump","CLASS D","6-1"
"Michigan","1972","Boys","880y","CLASS D","1:59.75"
"Michigan","1972","Boys","100y","CLASS D",":10.3"
"Michigan","1971","Boys","Pole Vault","CLASS D","13-1 1/2"
"Michigan","1971","Boys","Mile","CLASS D","4:37.9"
"Michigan","1971","Boys","High Jump","CLASS D","5-11"
"Michigan","1971","Boys","880y","CLASS D","2:02.6"
"Michigan","1971","Boys","100y","CLASS D",":10.2"
"Michigan","1970","Boys","Pole Vault","CLASS D","12-2"
"Michigan","1970","Boys","Mile","CLASS D","4:42.1"
"Michigan","1970","Boys","High Jump","CLASS D","5-11 1/4"
"Michigan","1970","Boys","880y","CLASS D","2:01"
"Michigan","1970","Boys","100y","CLASS D",":10.2"
"Michigan","1989","Boys","Pole Vault","CLASS A","15-10"
"Michigan","1989","Boys","High Jump","CLASS A","6-9"
"Michigan","1989","Boys","1600m","CLASS A","4:13.4"
"Michigan","1989","Boys","800m","CLASS A","1:54.09"
"Michigan","1989","Boys","100m","CLASS A",":10.93"
"Michigan","1988","Boys","Pole Vault","CLASS A","15-3"
"Michigan","1988","Boys","High Jump","CLASS A","6-10"
"Michigan","1988","Boys","1600m","CLASS A","4:13.37"
"Michigan","1988","Boys","800m","CLASS A","1:50.63"
"Michigan","1988","Boys","100m","CLASS A",":10.5"
"Michigan","1987","Boys","Pole Vault","CLASS A","13-11"
"Michigan","1987","Boys","High Jump","CLASS A","6-9"
"Michigan","1987","Boys","1600m","CLASS A","4:12.90"
"Michigan","1987","Boys","800m","CLASS A","1:53.10"
"Michigan","1987","Boys","100m","CLASS A",":10.40"
