"Year","Gender","Class","Name","Mark","Event","State"
1990,"Girls","A","Stephanie Kurz       Millard South       ","12.03","100m","Nebraska"
1990,"Girls","A","Jenny Johnson         Omaha Westside      ","2:19.37","800m","Nebraska"
1990,"Girls","A","Amy Marx             Lincoln Southeast  ","5:17.43","1600m","Nebraska"
1990,"Girls","A","Jenny Bramer        Millard South         ","5-08","High Jump","Nebraska"
1990,"Girls","A","Stephanie Streeks   Gering                ","5-04","High Jump","Nebraska"
1990,"Girls","A","Yolanda Young       Omaha Burke           ","5-01","High Jump","Nebraska"
1990,"Girls","B","Leslie Klone         York              ","12.62","100m","Nebraska"
1990,"Girls","B","Chrystall DeNaeyer   Valentine         ","2:17.89","800m","Nebraska"
1990,"Girls","B","Theresa Stelling     Auburn           ","5:10.14","1600m","Nebraska"
1990,"Girls","B","Becky Kastrick       Plattsmouth         ","5-03","High Jump","Nebraska"
1990,"Girls","C","Kathy Travis          Lincoln Christian    ","12.16","100m","Nebraska"
1990,"Girls","C","Amy Ochsner            Sutton                ","2:20.61","800m","Nebraska"
1990,"Girls","C","Leisha Stineman       Oxford              ","5:23.84","1600m","Nebraska"
1990,"Girls","C","Michelle Shoemaker   Ansley                  ","5-06","High Jump","Nebraska"
1990,"Girls","C","Kendra Voss          North Bend              ","5-01","High Jump","Nebraska"
1990,"Girls","D","Julie Kiekhaefer     Falls City SH       ","12.83","100m","Nebraska"
1990,"Girls","D","Tirsten Brockmeier     Eustis              ","2:17.94","800m","Nebraska"
1990,"Girls","D","Tami Kruntorad       Wheeler Central    ","5:26.85","1600m","Nebraska"
1990,"Girls","D","Gretchin Kotschwar   Farnam                ","5-03","High Jump","Nebraska"
1990,"Girls","D","Carla Hunstad        Clarkson              ","4-11","High Jump","Nebraska"
1990,"Boys","A","Calvin Jones        Omaha Central       ","10.68","100m","Nebraska"
1990,"Boys","A","Pat Trainor         Lincoln Southeast   ","1:55.84","800m","Nebraska"
1990,"Boys","A","David Iteffa        Fremont            ","4:21.57","1600m","Nebraska"
1990,"Boys","A","Aaron Bressman    Millard South         ","6-06","High Jump","Nebraska"
1990,"Boys","A","Scott Klein       Bellevue West         ","6-04","High Jump","Nebraska"
1990,"Boys","A","Ben Culhane         Omaha Burke          ","14-04","Pole Vault","Nebraska"
1990,"Boys","B","George Beckwith     Omaha Flanagan       ","10.88","100m","Nebraska"
1990,"Boys","B","Shane Campbell    Broken Bow        ","1:55.54","800m","Nebraska"
1990,"Boys","B","Marc Hultquist      Minden              ","4:27.59","1600m","Nebraska"
1990,"Boys","B","Mark Kersey     Gordon              ","6-06","High Jump","Nebraska"
1990,"Boys","B","Jeremy Glenn    Minden              ","6-02","High Jump","Nebraska"
1990,"Boys","B","BJ Gardner      Minden              ","6-02","High Jump","Nebraska"
1990,"Boys","B","Jeff Mielke     Gretna              ","6-02","High Jump","Nebraska"
