2007 Boys Track & Field State Champions,x,x,x
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAAA Adrian Baca Rio Grande 11.12,,,
AAAA  Jeremy Duran  Artesia  11.10,,,
AAA Jacob Roper Raton 11.16,,,
AA Aaron Catona  East Mountain  11.46,,,
A Ryan Pena Springer 11.50,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAAA Adrian Baca Rio Grande 21.99,,,
AAAA  Curtis Beach Academy 22.02,,,
AAA Estevan Vigil Robertson 22.55,,,
AA Jordan Brock Estancia 23.21,,,
A Richard Vasquez San Jon 23.59,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAAA Scott Johnson  Eldorado 48.90,,,
AAAA  Curtis Beach Academy 49.26,,,
AAA Jonathan Gaco Laguna Acoma 50.47,,,
AA Colton Cobb Estancia 51.39,,,
A Brian Norris Hagerman 50.85,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAAA Corey De La Cruz Alamogordo 1:57.03,,,
AAAA  Kevin Burnett  St. Pius  1:57.96,,,
AAA Steven Johnson SFIS 1:58.19,,,
AA Ryan Nez Navajo Pine 2:02.92,,,
A Stephen Jochem Gallup  2:01.73,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAAA Matthew Everett La Cueva 4:23.56,,,
AAAA  Ben Johnson Academy 4:16.12,,,
AAA Steven Johnson SFIS 4:31.31,,,
AA Patrick Ortiz Pecos 4:34.72,,,
A Stephen Jochem Gallup  4:45.02,,,
3200 M Run,,,
Class Name,School,Time,
AAAAA Nico Barrea,Carlsbad,09:47.6,
AAAA  Ben Johnson,Academy,09:43.7,
AAA Dion Tony Sanchez,West Las Vegas,10:09.0,
AA Patrick Ortiz,Pecos,10:11.5,
A Stephen Jochem,Gallup,10:34.1,
,,,
110 M High Hurdles,,,
Class Name,School,Time,
AAAAA Cameron Flakes,Eldorado,14.74,
AAAA  Curtis Beach,Academy,14.95,
AAA Brandon Terhune,Hope Christian,15.81,
AA Brian Wilson,Estancia,15.33,
A Johnny Beltran,Carrizozo,15.76,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAAA Kris King,Carlsbad,38.65,
AAAA  Curtis Beach,Academy,37.99,
AAA Austin Lutz,Bloomfield,40.47,
AA Brian Wilson,Estancia,42.34,
A Casey Jackson,Animas,42.86,
,,,
400 M Relay,,,
Class,School,Time,
AAAAA,Eldorado,42.24,
AAAA,Los Alamos,43.25,
AAA,Ruidoso,44.13,
AA,Estancia,44.47,
A,San Jon,45.99,
,,,
800 M Relay,,,
Class,School,Time,
AAAAA,La Cueva,01:28.6,
AAAA,Los Alamos,01:30.2,
AAA,Dexter,01:32.9,
AA,Estancia,01:33.7,
A,Carrizozo,01:35.6,
1600 M Relay Medley,,,
Class,School,Time,
AAAAA,Alamogordo,03:31.5,
AAAA,Piedra Vista,03:37.4,
AAA,Socorro,03:40.2,
AA,Capitan,03:40.4,
A,Springer,03:52.9,
,,,
1600 M Relay,,,
Class,School,Time,
AAAAA,Eldorado,03:21.3,
AAAA,Los Alamos,03:24.8,
AAA,Ruidoso,03:29.7,
AA,Estancia,03:34.6,
A,Fort Sumner,03:41.3,
,,,
