2007 Girls Track & Field State Champions,x,x,x
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAAA Diera Davis  Hobbs12.79,,,
AAAA  Jazmine Ralph Del Norte  12.57,,,
AAA Ashley Ferguson  Hot Springs  13.00,,,
AA Tanisha Bewley Bosque 13.14,,,
A Deserae Varela Cimarron 13.20,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAAA Isis Wilson Manzano 25.49,,,
AAAA  Jazmine Ralph  Del Norte  25.40,,,
AAA Jordan MillerSt. Mike’s 25.95,,,
AA Tanisha Bewley Bosque 27.05,,,
A Deserae Varela Cimarron 27.07,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAAA Alexandra Darling La Cueva  57.58,,,
AAAA  Lyndsay Harper Albuquerque Academy  57.99,,,
AAA Amber Gardner  Ruidoso 58.59,,,
AA Traci Lopez Santa Fe Prep  60.76,,,
A Brooke Knox Cimarron 63.47,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAAA Caitlin Waters  Clovis2:17.79,,,
AAAA  Lyndsay Harper Albuquerque Academy  2:16.00,,,
AAA Bronwyn Bedrick Sandia Prep 2:26.69,,,
AA Courtney Shultz Cloudcroft 2:21.90,,,
A Sarah Freese Gateway Christian 2:33.76,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAAA Rachel Velarde  Eldorado 5:14.62,,,
AAAA  Paige Throckmorton  Albuquerque Academy  5:19.42,,,
AAA Kate Norskog  St. Mike’s 5:22.61,,,
AA Courtney Shultz Cloudcroft 5:26.35,,,
A Sarah Freese Gateway Christian  5:44.88,,,
3200 M Run,,,
Class Name,School,Time,
AAAAA Brandy Castillo,Carlsbad,11:21.9,
AAAA  Jackie Campos,Santa Teresa,11:55.8,
AAA Kate Norskog,St. Mike’s,11:39.5,
AA Courtney Shultz,Cloudcroft,12:06.0,
A Emily Nobles,Gateway Christian,12:35.0,
,,,
100 M Hurdles (33”),,,
Class Name,School,Time,
AAAAA Alexandra Darling,La Cueva,15.12,
AAAA  Alexandra Hathaway,Kirtland Central,16.58,
AAA Sasha Serrano,Bloomfield,16.91,
AA Jennie Pearson,Eunice,16.76,
A Jaci Hatch,Animas,16.12,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAAA Name,,,
AAAA  Kendra Woodson,Piedra Vista,46.43,
AAA Jordan Miller,St. Mike’s,44.58,
AA Jennie Pearson,Eunice,49.21,
A Sarah Lee,House,50.04,
,,,
400 M Relay,,,
Class,School,Time,
AAAAA,Clovis,49.49,
AAAA,St. Pius X,50.13,
AAA,Robertson,50.45,
AA,Cloudcroft,52.59,
A,Cimarron,52.63,
,,,
800 M Relay,,,
Class,School,Time,
AAAAA,Manzano,01:43.6,
AAAA,St. Pius X,01:44.4,
AAA,Robertson,01:45.9,
AA,Cloudcroft,01:51.0,
A,Cimarron,01:52.8,
1600 M Relay Medley,,,
Class,School,Time,
AAAAA,Eldorado,04:17.1,
AAAA,Moriarty,04:20.1,
AAA,Pojoaque,04:15.5,
AA,Cloudcroft,04:30.8,
A,Gateway Christian,04:37.0,
,,,
1600 M Relay,,,
Class,School,Time,
AAAAA,La Cueva,04:01.6,
