"Text","Year","Gender","Event","Mark","Class","State","Event.raw"
"AAAAA Alex Bustos Carlsbad  10.78   ","2006","Boys","100m","10.78   ","AAAAA ","New Mexico","100 M Dash"
"AAAA  Steffan CareyAztec 11.38   ","2006","Boys","100m","11.38   ","AAAA ","New Mexico","100 M Dash"
"AAA Johnny Quintana Raton 11.55   ","2006","Boys","100m","11.55   ","AAA ","New Mexico","100 M Dash"
"AA Tacorey Singleton Mountain View 11.37   ","2006","Boys","100m","11.37   ","AA ","New Mexico","100 M Dash"
"A Ryan Pena Springer 11.66   ","2006","Boys","100m","11.66   ","A ","New Mexico","100 M Dash"
"AAAAA Jerrell Miller Highland 22.04   ","2006","Boys","200m","22.04   ","AAAAA ","New Mexico","200 M Dash"
"AAAA  Danny Fajardo  Albuquerque Academy 22.15   ","2006","Boys","200m","22.15   ","AAAA ","New Mexico","200 M Dash"
"AAA Johnny Quintana Raton 22.71   ","2006","Boys","200m","22.71   ","AAA ","New Mexico","200 M Dash"
"AA Tacorey Singleton Mountain View 23.21   ","2006","Boys","200m","23.21   ","AA ","New Mexico","200 M Dash"
"A Cedar Rush Melrose 23.13   ","2006","Boys","200m","23.13   ","A ","New Mexico","200 M Dash"
"AAAAA Derek Skinner  La Cueva 50.05   ","2006","Boys","400m","50.05   ","AAAAA ","New Mexico","400 M Dash"
"AAAA  Chenti Quinonez Silver 48.35   ","2006","Boys","400m","48.35   ","AAAA ","New Mexico","400 M Dash"
"AAA Daniel Rueda Cobre 50.27   ","2006","Boys","400m","50.27   ","AAA ","New Mexico","400 M Dash"
"AA Rafael Martinez Hatch Valley 50.76   ","2006","Boys","400m","50.76   ","AA ","New Mexico","400 M Dash"
"A Brain Norris Hagerman 50.47   ","2006","Boys","400m","50.47   ","A ","New Mexico","400 M Dash"
"AAAAA Nicholas Arguelles Highland 1:58.89   ","2006","Boys","800m","1:58.89   ","AAAAA ","New Mexico","800 M Dash"
"AAAA  Ryan Steadman  St.Pius  1:59.47   ","2006","Boys","800m","1:59.47   ","AAAA ","New Mexico","800 M Dash"
"AAA Steven Johnson Santa Fe Indian School 2:04.81   ","2006","Boys","800m","2:04.81   ","AAA ","New Mexico","800 M Dash"
"AA Ryan Nez Navajo Pine 2:02.39   ","2006","Boys","800m","2:02.39   ","AA ","New Mexico","800 M Dash"
"A Cedar Rush Melrose 1:58.53   ","2006","Boys","800m","1:58.53   ","A ","New Mexico","800 M Dash"
"AAAAA Matt Tebo Eldorado  4:18.29   ","2006","Boys","1600m","4:18.29   ","AAAAA ","New Mexico","1600 M Run"
"AAAA  Ryan McNiff Los Alamos  4:20.96   ","2006","Boys","1600m","4:20.96   ","AAAA ","New Mexico","1600 M Run"
"AAA Steven Johnson Santa Fe Indian School 4:43.93   ","2006","Boys","1600m","4:43.93   ","AAA ","New Mexico","1600 M Run"
"AA Taylor Roholt  Sandia Prep 4:37.41   ","2006","Boys","1600m","4:37.41   ","AA ","New Mexico","1600 M Run"
"A Stephen Jochem Gallup Catholic 4:33.82   ","2006","Boys","1600m","4:33.82   ","A ","New Mexico","1600 M Run"
"AAAAA Matt Tebo Eldorado 09:07.4 ","2006","Boys","3200m","09:07.4 ","AAAAA ","New Mexico","3200 M Run"
"AAAA  Ben Johnson Albuquerque Academy 09:26.4 ","2006","Boys","3200m","09:26.4 ","AAAA ","New Mexico","3200 M Run"
"AAA Steven Johnson Santa Fe Indian School 10.05.58 ","2006","Boys","3200m","10.05.58 ","AAA ","New Mexico","3200 M Run"
"AA Taylor Roholt Sandia Prep 10.09.08 ","2006","Boys","3200m","10.09.08 ","AA ","New Mexico","3200 M Run"
"A Chris Weaver Gallup Catholic 10.58.06 ","2006","Boys","3200m","10.58.06 ","A ","New Mexico","3200 M Run"
"AAAAA James Hansen Alamogordo 14.67 ","2006","Boys","110m H","14.67 ","AAAAA ","New Mexico","110 M H"
"AAAA  Curtis Beach Albuquerque Academy 15.31 ","2006","Boys","110m H","15.31 ","AAAA ","New Mexico","110 M H"
"AAA Alonzo Evans Lovington 15.49 ","2006","Boys","110m H","15.49 ","AAA ","New Mexico","110 M H"
"AA Jaken Shirley Zuni 15.8 ","2006","Boys","110m H","15.8 ","AA ","New Mexico","110 M H"
"A Jeremy Gauna Fort Sumner 15.32 ","2006","Boys","110m H","15.32 ","A ","New Mexico","110 M H"
"AAAAA Kyle Henry Cibola 38.64 ","2006","Boys","300m Hurdles","38.64 ","AAAAA ","New Mexico","300 M Hurdles"
"AAAA  Curtis Beach Albuquerque Academy 38.85 ","2006","Boys","300m Hurdles","38.85 ","AAAA ","New Mexico","300 M Hurdles"
"AAA Adam Martinez Robertson 40.62 ","2006","Boys","300m Hurdles","40.62 ","AAA ","New Mexico","300 M Hurdles"
"AA Brian Wilson Estancia 40.66 ","2006","Boys","300m Hurdles","40.66 ","AA ","New Mexico","300 M Hurdles"
"A Jeremy Gauna Fort Sumner 42.08 ","2006","Boys","300m Hurdles","42.08 ","A ","New Mexico","300 M Hurdles"
"AAAAA Alamogordo 42.22 ","2006","Boys","400m Relay","42.22 ","AAAAA ","New Mexico","400 M Relay"
