"State","Year","Gender","Event","Class","Text","Mark","Mark.Note"
"New York",1974,"Girls","100y",NA,"100 yd","11.3",""
"New York",1974,"Girls","880y",NA,"880 yd","2:22.0",""
"New York",1975,"Girls","100y",NA,"100yd","11",""
"New York",1975,"Girls","880y",NA,"880 yd","2:18.1",""
"New York",1975,"Girls","Mile",NA,"Mile","5:07.4",""
"New York",1975,"Girls","High Jump",NA,"High Jump","5' 5 """,""
"New York",1976,"Girls","100y",NA,"100yd","10.9 ","*"
"New York",1976,"Girls","880y",NA,"880 yd","2:14.4 ","*"
"New York",1976,"Girls","Mile",NA,"Mile","4:57.4 ","*"
"New York",1976,"Girls","High Jump",NA,"High Jump","5' 6 "" ","*"
"New York",1977,"Girls","100y",NA,"100yd","11.2",""
"New York",1977,"Girls","880y",NA,"880 yd","2:15.0",""
"New York",1977,"Girls","Mile",NA,"Mile","4:56.5","*"
"New York",1977,"Girls","High Jump",NA,"High Jump","5' 6 "" ","**"
"New York",1978,"Girls","100y","Intersectional","100yd","11.1",""
"New York",1978,"Girls","880y","Intersectional","880 yd","2:13.3 ","*"
"New York",1978,"Girls","Mile","Intersectional","Mile","5:03.2",""
"New York",1978,"Girls","High Jump","Intersectional","High Jump","5' 9"" ""","**"
"New York",1979,"Girls","100y","Intersectional","100yd","11.9",""
"New York",1979,"Girls","880y","Intersectional","880 yd","2:10.5 ","**"
"New York",1979,"Girls","Mile","Intersectional","Mile","4:53.7 ","**"
"New York",1979,"Girls","High Jump","Intersectional","High Jump","5' 7 """,""
"New York",1980,"Girls","100m","Intersectional","100m","11.6","**"
"New York",1980,"Girls","800m","Intersectional","800m","2:10.9",""
"New York",1980,"Girls","1500m","Intersectional","1500m","4:33.5",""
"New York",1980,"Girls","High Jump","Intersectional","High Jump","5' 8 """,""
"New York",1981,"Girls","100m","Intersectional","100m","12.05",""
"New York",1981,"Girls","800m","Intersectional","800m","2:12.02",""
"New York",1981,"Girls","1500m","Intersectional","1500m","4:33.96",""
"New York",1981,"Girls","High Jump","Intersectional","High Jump","5' 6 """,""
"New York",1982,"Girls","100m","Intersectional","100m","12.24",""
"New York",1982,"Girls","800m","Intersectional","800m","2:10.41 ","*"
"New York",1982,"Girls","1500m","Intersectional","1500m","4:32.4 ","*"
"New York",1982,"Girls","High Jump","Intersectional","High Jump","5' 10"" ","*"
"New York",1983,"Girls","100m","Intersectional","100m","12.28",""
"New York",1983,"Girls","800m","Intersectional","800m","2:11.87",""
"New York",1983,"Girls","1500m","Intersectional","1500m","4:28.43 ","*"
"New York",1983,"Girls","High Jump","Intersectional","High Jump","5' 7""",""
"New York",1984,"Girls","100m","Intersectional","100m","12.43",""
"New York",1984,"Girls","800m","Intersectional","800m","2:10.7",""
"New York",1984,"Girls","1500m","Intersectional","1500m","4:33.5",""
"New York",1984,"Girls","High Jump","Intersectional","High Jump","5' 8""",""
"New York",1985,"Girls","100m","Intersectional","100m","12.04",""
"New York",1985,"Girls","800m","Intersectional","800m","2:08.79","**"
"New York",1985,"Girls","1500m","Intersectional","1500m","4:24.63 ","*"
"New York",1985,"Girls","High Jump","Intersectional","High Jump","5' 8""",""
"New York",1986,"Girls","100m","Intersectional","100m","12.07",""
"New York",1986,"Girls","800m","Intersectional","800m","2:08.79","**"
"New York",1986,"Girls","1500m","Intersectional","1500m","4:26.0",""
"New York",1986,"Girls","High Jump","Intersectional","High Jump","5' 9""",""
"New York",1987,"Girls","100m","Intersectional","100m","11.97",""
"New York",1987,"Girls","800m","Intersectional","800m","2:11.3",""
"New York",1987,"Girls","1500m","Intersectional","1500m","4:31.7",""
"New York",1987,"Girls","High Jump","Intersectional","High Jump","5' 10 "" """,""
"New York",1988,"Girls","100m","Intersectional","100m","12.19",""
"New York",1988,"Girls","800m","Intersectional","800m","2:09.8",""
"New York",1988,"Girls","1500m","Intersectional","1500m","4:26.5",""
"New York",1988,"Girls","High Jump","Intersectional","High Jump","6' 0"" ","**"
"New York",1989,"Girls","100m","Intersectional","100m","12.21",""
"New York",1989,"Girls","800m","Intersectional","800m","2:11.89",""
"New York",1989,"Girls","1500m","Intersectional","1500m","4:35.66",""
"New York",1989,"Girls","High Jump","Intersectional","High Jump","5' 4 """,""
"New York",1990,"Girls","100m","Intersectional","100m","12.25",""
"New York",1990,"Girls","800m","Intersectional","800m","2:10.87",""
"New York",1990,"Girls","1500m","Intersectional","1500m","4:27.40",""
"New York",1990,"Girls","High Jump","Intersectional","High Jump","5' 10 """,""
"New York",1991,"Girls","100m","Intersectional","100m","11.88",""
"New York",1991,"Girls","800m","Intersectional","800m","2:12.95",""
"New York",1991,"Girls","1500m","Intersectional","1500m","4:33.81",""
"New York",1991,"Girls","High Jump","Intersectional","High Jump","5' 8 """,""
"New York",1992,"Girls","100m","Intersectional","100m","12.11",""
"New York",1992,"Girls","800m","Intersectional","800m","2:12.66",""
"New York",1992,"Girls","1500m","Intersectional","1500m","4:31.14",""
"New York",1992,"Girls","High Jump","Intersectional","High Jump","5' 8""",""
"New York",1993,"Girls","100m","Intersectional","100m","11.78 ","*"
"New York",1993,"Girls","800m","Intersectional","800m","2:11.41",""
"New York",1993,"Girls","1500m","Intersectional","1500m","4:35.08",""
"New York",1993,"Girls","High Jump","Intersectional","High Jump","5' 10 """,""
"New York",1994,"Girls","100m","Intersectional","100m","11.69 ","*"
"New York",1994,"Girls","800m","Intersectional","800m","2:09.06",""
"New York",1994,"Girls","1500m","Intersectional","1500m","4:36.17",""
"New York",1994,"Girls","High Jump","Intersectional","High Jump","5' 9 """,""
"New York",1995,"Girls","100m","Intersectional","100m","12.01",""
"New York",1995,"Girls","800m","Intersectional","800m","2:10.28",""
"New York",1995,"Girls","1500m","Intersectional","1500m","4:38.40",""
"New York",1995,"Girls","High Jump","Intersectional","High Jump","5' 7 """,""
