"Gender","Year","Name","Mark","Event","State"
"Girls",1977,"N. Ray Western Guilford","5’05.00”","High Jump","North Carolina"
"Girls",1978,"Vanessa Smith R.J. Reynolds","5’07.75”","High Jump","North Carolina"
"Girls",1979,"Chris Arends Jordan","5’08.00”","High Jump","North Carolina"
"Girls",1980,"N. Ray Western Guilford","5’06.00”","High Jump","North Carolina"
"Girls",1981,"April Cook Watauga","5’06.00”","High Jump","North Carolina"
"Girls",1982,"Cindy Floyd Swansboro ","5’06.00”","High Jump","North Carolina"
"Girls",1983,"April Cook Watauga ","5’08.25”","High Jump","North Carolina"
"Girls",1984,"Teri LeBlanc South Mecklenburg ","5’06.00”","High Jump","North Carolina"
"Girls",1985,"Marquita Misenheimer Northwest Cabarrus ","5’02.00”","High Jump","North Carolina"
"Girls",1986,"Jodi Doss Williams","5’06.00”","High Jump","North Carolina"
"Girls",1986,"Jodi Doss Williams","5’06.00”","High Jump","North Carolina"
"Girls",1986,"Melissa Rogers Southwestern Randolph","5’06.00”","High Jump","North Carolina"
"Girls",1987,"Leshawn Hewitt Jordan","5’02.00”","High Jump","North Carolina"
"Girls",1987,"Vicki Peek Enka","5’04.00”","High Jump","North Carolina"
"Girls",1987,"Melissa Rogers Southwestern Randolph","5’06.00”","High Jump","North Carolina"
"Girls",1988,"Sabrina Hill Millbrook","5’04.00”","High Jump","North Carolina"
"Girls",1988,"Nicky Hudson Harnett Central","5’04.00”","High Jump","North Carolina"
"Girls",1988,"Susie Britt Albemarle","5’02.00”","High Jump","North Carolina"
"Girls",1989,"Quicha Floyd Page","5’04.00”","High Jump","North Carolina"
"Girls",1989,"Tara Lindsay Asheboro","5’06.00”","High Jump","North Carolina"
"Girls",1989,"Lola Jones North Rowan","5’04.00”","High Jump","North Carolina"
"Girls",1990,"Wendy Palmer Person","5’06.00”","High Jump","North Carolina"
"Girls",1990,"Kim Jones Statesville","5’06.00”","High Jump","North Carolina"
"Girls",1990,"Shelly Whitaker Randleman","5’06.00”","High Jump","North Carolina"
"Girls",1991,"Quicha Floyd Page","5’06.00”","High Jump","North Carolina"
"Girls",1991,"Kim Jones Statesville","5’08.00”","High Jump","North Carolina"
"Girls",1991,"Peace Shepherd Swansboro","5’06.00”","High Jump","North Carolina"
"Girls",1992,"Wendy Palmer Person","5’08.00”","High Jump","North Carolina"
"Girls",1992,"Kim Jones Statesville","5’04.00”","High Jump","North Carolina"
"Girls",1992,"Saundra Teel East Carteret","5’04.00”","High Jump","North Carolina"
"Girls",1993,"Jamila Forte Enloe","5’04.00”","High Jump","North Carolina"
"Girls",1993,"Shana Harris Southern Guilford","5’04.00”","High Jump","North Carolina"
"Girls",1993,"Kim McPhatter Union Pines","5’04.00”","High Jump","North Carolina"
"Girls",1994,"Rhonda Parks Triton","5’06.00”","High Jump","North Carolina"
"Girls",1994," Latosha Etheridge Fike","5’05.00”","High Jump","North Carolina"
"Girls",1994," Kim McPhatter Union Pines","5’06.00”","High Jump","North Carolina"
"Girls",1994,"Caroline Norton Elkin","5’00.00”","High Jump","North Carolina"
"Girls",1995,"Adrianne Sims Douglas Byrd","5’08.50”","High Jump","North Carolina"
"Girls",1995," Lindsey Ridgeway Williams","5’05.00”","High Jump","North Carolina"
"Girls",1995," Joanie Mungro West Caldwell","5’02.00”","High Jump","North Carolina"
"Girls",1995,"Julie Stackhouse Hayesville","5’04.50”","High Jump","North Carolina"
"Girls",1996,"Adrianne Sims Douglas Byrd","5’08.00”","High Jump","North Carolina"
"Girls",1996," Monique Judkins Reidsville","5’06.00”","High Jump","North Carolina"
"Girls",1996," Crystal Forney Bunker Hill","5’02.00”","High Jump","North Carolina"
"Girls",1996,"Julie Stackhouse Hayesville","5’00.00”","High Jump","North Carolina"
"Girls",1997,"Adrianne Sims Douglas Byrd","6’00.00”","High Jump","North Carolina"
"Girls",1997," Monique Judkins Reidsville","5’08.00”","High Jump","North Carolina"
"Girls",1997," Ashley Pinnix SW Guilford","5’00.00”","High Jump","North Carolina"
"Girls",1997,"Julie Stackhouse Hayesville","5’04.00”","High Jump","North Carolina"
"Girls",1998,"Sha-Mecca Twitty West Carteret","5’06.00”","High Jump","North Carolina"
"Girls",1998," Virginia Lacombe South Caldwell","5’08.00”","High Jump","North Carolina"
"Girls",1998," Allison Lentz Brevard","5’04.00”","High Jump","North Carolina"
"Girls",1998,"Gina Rosser South Davidson","5’05.00”","High Jump","North Carolina"
"Girls",1999,"Sha-Mecca Twitty West Carteret","5’04.00”","High Jump","North Carolina"
"Girls",1999," Carol Kiser Concord","5’04.00”","High Jump","North Carolina"
"Girls",1999," Nancy Hinson Ledford","5’02.00”","High Jump","North Carolina"
"Girls",1999,"Gina Rosser South Davidson","5’04.00”","High Jump","North Carolina"
"Girls",2000,"Joann Jackson Millbrook","5’06.00”","High Jump","North Carolina"
"Girls",2000," Ashley Schrimer Havelock","5’04.00”","High Jump","North Carolina"
"Girls",2000," Tiffany Perry Southern Vance","5’06.00”","High Jump","North Carolina"
"Girls",2000,"Shannon Meadows Hendersonville","5’02.00”","High Jump","North Carolina"
"Girls",2001,"Joann Jackson Millbrook","5’04.00”","High Jump","North Carolina"
"Girls",2001," Tiffany Mitchell Western Harnett","5’06.00”","High Jump","North Carolina"
"Girls",2001," Tiffany Perry Southern Vance","5’04.00”","High Jump","North Carolina"
