"State","Year","Gender","Event","Class","Mark","Mark.Note"
"Oklahoma",2024,"Girls","100m","6A","11.74",""
"Oklahoma",2024,"Girls","100m","5A","11.83",""
"Oklahoma",2024,"Girls","100m","4A","11.99",""
"Oklahoma",2024,"Girls","100m","3A","12.19",""
"Oklahoma",2024,"Girls","100m","2A","12.29",""
"Oklahoma",2024,"Girls","100m","1A","12.12",""
"Oklahoma",2023,"Girls","100m","6A","12.07",""
"Oklahoma",2023,"Girls","100m","5A","12.02",""
"Oklahoma",2023,"Girls","100m","4A","11.78",""
"Oklahoma",2023,"Girls","100m","3A","12.12",""
"Oklahoma",2023,"Girls","100m","2A","12.17",""
"Oklahoma",2023,"Girls","100m","1A","12.41",""
"Oklahoma",2022,"Girls","100m","6A","12.02",""
"Oklahoma",2022,"Girls","100m","5A","12.00",""
"Oklahoma",2022,"Girls","100m","4A","11.96",""
"Oklahoma",2022,"Girls","100m","3A","12.24",""
"Oklahoma",2022,"Girls","100m","2A","12.23",""
"Oklahoma",2022,"Girls","100m","1A","12.51",""
"Oklahoma",2021,"Girls","100m","6A","11.38",""
"Oklahoma",2021,"Girls","100m","5A","12.31",""
"Oklahoma",2021,"Girls","100m","4A","12.06",""
"Oklahoma",2021,"Girls","100m","3A","12.28",""
"Oklahoma",2021,"Girls","100m","2A","12.32",""
"Oklahoma",2021,"Girls","100m","1A","12.70",""
"Oklahoma",2019,"Girls","100m","6A","12.10",""
"Oklahoma",2019,"Girls","100m","5A","12.29",""
"Oklahoma",2019,"Girls","100m","4A","12.59",""
"Oklahoma",2019,"Girls","100m","3A","12.25",""
"Oklahoma",2019,"Girls","100m","2A","12.58",""
"Oklahoma",2019,"Girls","100m","1A","12.49",""
"Oklahoma",2018,"Girls","100m","6A","11.44",""
"Oklahoma",2018,"Girls","100m","5A","12.01",""
"Oklahoma",2018,"Girls","100m","4A","12.62",""
"Oklahoma",2018,"Girls","100m","3A","12.61",""
"Oklahoma",2018,"Girls","100m","2A","12.54",""
"Oklahoma",2018,"Girls","100m","1A","12.42",""
"Oklahoma",2017,"Girls","100m","6A","11.84",""
"Oklahoma",2017,"Girls","100m","5A","12.31",""
"Oklahoma",2017,"Girls","100m","4A","12.61",""
