2007,
100m Dash,"6A Mandy White, Lakeridge ........................ 11.90"
"","5A Kellie Schueler, Summit ........................ 12.12"
"","4A Jessica Rodolf, Junction City ................. 12.40"
"","3A Jaela Dinsmore, Burns .......................... 12.85"
"","2A Orie Gamez, Oakrdige........................... 13.05"
"","1A Emily Holding, Damascus Christian ....... 13.29"
200m Dash,"6A Mandy White, Lakeridge ........................ 24.31"
"","5A Kellie Schueler, Summit ........................ 24.98"
"","4A Jessica Rodolf, Junction City ................. 25.33"
"","3A Jaela Dinsmore, Burns .......................... 26.34"
"","2A Keli Hall, Lakeview ................................ 26.36"
"","1A Emily Holding, Damascus Christian ....... 26.74"
400m Dash,"6A Schaveyantay Hill, Gresham ................. 56.68"
"","5A Kellie Schueler, Summit ........................ 56.82"
"","4A Laura Schmitt, La Salle ......................... 57.41"
"","3A Jaela Dinsmore, Burns .......................... 58-06"
"","2A Keli Hall, Lakeview ................................ 56.85"
"","1A Emily Funkhouser, Sherman .............. 1:00.00"
800m Run,"6A Sara Wild, Grant ................................. 2:17.92"
"","5A Courtney Gardner, Crescent Valley .... 2:16.89"
"","4A Linsie Michels, Cascade ..................... 2:14.35"
"","3A Michelle Kaaen, Vale .......................... 2:17.96"
"","2A Diana Sanchez, Blanchet Catholic ..... 2:21.65"
"","1A Sarah Hanchett, McKenzie ................. 2:29.54"
1500m Run,"6A Casey Masterson, Sheldon ................ 4:37.91"
"","5A Jennifer Macias, Hermiston ................ 4:50.92"
"","4A Taylor Wallace, Henley....................... 4:43.34"
"","3A Hayley Ney, Catlin Gabel ................... 4:49.65"
"","2A Diana Sanchez, Blanchet Catholic ..... 4:53.73"
"","1A Rachael Estabrook, Triad ................... 5:03.80"
3000m Run,"6A Casey Masterson, Sheldon ...............10:03.59"
"","5A Jennifer Macias, Hermiston ...............10:16.61"
"","4A Taylor Wallace, Henley......................10:18.92"
"","3A Hayley Ney, Catlin Gabel ..................10:40.28"
"","2A Ashley Baldovino, Lakeview ..............10:45.53"
"","1A Rachael Estabrook, Triad ..................11:12.93"
100m H,"6A Bianca Mathabane, Lincoln ................... 14.17"
"","5A Ashley Potter, Thurston ......................... 15.17"
"","4A Kate Wilkins, Marist ............................... 15.50"
"","3A Terra Schumacher, Regis ...................... 15.61"
"","2A Jess McClune, Elgin .............................. 15.64"
"","1A Emily Holding, Damascus Christian ....... 15.27"
300m H,"6A Bianca Mathabane, Lincoln ................... 44.31"
"","5A Alison Worthen, Marshfield .................... 45.09"
"","4A Danielle Albus, Cascade ....................... 46.11"
"","3A Kendra Attleberger, Burns ..................... 48.19"
"","2A Lindsay Reinhardt, Portland Christian ... 47.70"
"","1A Emily Funkhouser, Sherman ................. 47:07"
4x100m R,6A LINCOLN ............................................... 47.64
"","(Perra, Mathabane, Harvey, Pittman)"
"",5A SUMMIT ................................................ 48.89
"","(Wilson, Schueler, Berg, Parks)"
"",4A JUNCTION CITY ................................... 49.87
"","(Harper, Martin, Rodolf, Patterson)"
"",3A BURNS .................................................. 50.98
"","(Attleberger, Dinsmore, Clemens, Higle)"
"",2A DE LA SALLE NORTH CATHOLIC ....... 51.58
"","(Robinson, Briggs, Carline, Owen)"
"",1A CRANE .................................................. 52.50
"","(Steeves, DeBoer, O’Crowley, Borelli)"
4x400m R,6A SOUTHRIDGE ................................... 3:52.56
"","(Smith, Rife, Steinbeck, Edwards)"
"",5A SUMMIT ............................................. 4:00.68
"","(Berg, Villano, Teller, Parks)"
"",4A HENLEY ............................................. 3:58.04
"","(North, Johnson, Waugh, Wallace)"
"",3A VALE .................................................. 4:08.68
"","(Phillips, Capps, Mooney, Kaaen)"
"",2A ST. MARY’S ....................................... 4:08.91
"","Steinsiek, Tribelhorn, Heycke, Martin"
"",1A SHERMAN ......................................... 4:09.96
"","(K. von Borstel, Nogle, C. von Borstel, Funkhouser)"
Long Jump,"6A Rebecca Rhodes, South Salem.......... 18-6.75"
"","5A Ashley Potter, Thurston ...................... 17-5.25"
"","4A Amy Skofstad, Gladstone ..................... 19-2.5"
"","3A Beth Stam, Toledo .............................. 17-3.75"
"","2A Daedra Carline,"
"",De La Salle North Catholic ................. 18-0.25
"","1A Angie Miller, Alsea ................................... 17-6"
Triple Jump,6A,"Rebecca Rhodes, South Salem ............ 36-3.5"
"",5A,"Ashley Potter, Thurston ...................... 38-10.5"
"",4A,"Charlene Harber, Astoria .................... 36-9.75"
"",3A,"Beth Stam, Toldedo ............................ 36-3.75"
"",2A,"Kelsey Walker, Pilot Rock ........................ 36-5"
"",1A,"Amanda Britnell, St. Paul ......................... 35-9"
Shot Put,6A,"Alyssa Hasslen, McMinnville .................. 45-11"
"",5A,"Alesha Trattner, Glencoe .................... 39-5.25"
"",4A,"Laura Bobek, Astoria ............................... 41-6"
"",3A,"Chelsey Ramos, Nyssa ............................ 40-9"
"",2A,"Megan Jarrell, Elgin ............................ 36-6.25"
"",1A,"McKenzie Henderson, Dufur .................... 38-9"
Discus,6A,"Lauren Wilkins, Jesuit .......................... 130-10"
"",5A,"Florina Petre, Hillsboro .......................... 120-7"
"",4A,"Laura Bobek, Astoria ........................... 131-11"
"",3A,"Katy Lutjens, Vale .................................. 127-7"
"",2A,"Rachelle Buck, Cascade Christian ......... 113-3"
"",1A,"Crystal Kludt, Paisley ........................... 119-11"
Javelin,6A,"Ali Super, West Linn .............................. 154-5"
"",5A,"Tauni Powell, Thurston .......................... 139-4"
"",4A,"Jordan Brunetti, Cottage Grove ............. 133-0"
"",3A,"Chrissi Grizzel, Jefferson ....................... 147-2"
"",2A,"Jessica Erwert, Stanfield ........................ 126-1"
"",1A,"Linsey Kau, Crow ................................... 124-5"
High Jump,6A,"Jacquie Mattson, Hood River Valley .......... 5-5"
"",5A,"Alison Worthen, Marshfield ........................ 5-6"
"",4A,"Katie Rear, Junction City............................ 5-4"
"",3A,"Beth Stam, Toledo ..................................... 5-5"
"",2A,"Keli Hall, Lakeview ..................................... 5-3"
"",1A,"Julie Drescher, St. Paul ............................. 5-1"
Pole Vault,6A,"Lindsay Beard, South Eugene ................. 12-0"
"",5A,"Amber Wiley, Marshfield .......................... 11-9"
"",4A,"Katy Sullivan, Baker ................................. 10-8"
"",3A,"Terra Schumacher, Regis ........................ 10-3"
"",2A,"Jenny Lushina, Nestucca ......................... 10-3"
"",1A,"Kristin von Borstel, Sherman ...................... 9-6"
"",,
2008,,
100m Dash,6A,"Kayla Smith, Benson .............................. 12.11"
"",5A,"Kellie Schueler, Summit ......................... 12.01"
"",4A,"Braidy Bates, Pleasant Hill ..................... 12.24"
"",3A,"Jaela Dinsmore, Burns ........................... 12.64"
"",2A,"Richan Modderman, Central Linn........... 12.95"
"",1A,"Bailey Nogle, Sherman .......................... 13.26"
200m Dash,6A,"Kayla Smith, Benson .............................. 24.18"
"",5A,"Kellie Schueler, Summit ......................... 24.54"
"",4A,"Jessica Rodolf, Junction City ................. 25.55"
"",3A,"Jaela Dinsmore, Burns ........................... 25.49"
"",2A,"Keli Hall, Lakeview ................................. 25.99"
"",1A,"Bailey Nogle, Sherman .......................... 26.49"
400m Dash,6A,"Chloe Steinbeck, Southridge .................. 56.49"
"",5A,"Kellie Schueler, Summit ......................... 55.04"
"",4A,"Laura Schmitt, La Salle .......................... 57.39"
"",3A,"Jaela Dinsmore, Burns ........................... 56.98"
"",2A,"Keli Hall, Lakeview ................................. 58.07"
"",1A,"September O’Crowley, Crane ................ 58.69"
800m Run,6A,"Alexandra Jones, St. Mary’s Academy 2:14.78"
"",5A,"Alyssa O’Connor, Summit ................... 2:12.00"
"",4A,"Katie Waugh, Henley .......................... 2:17.74"
"",3A,"Genniel Wagstaff, Nyssa..................... 2:17.64"
"",2A,"Morgan Martin, St. Mary’s ................... 2:18.46"
"",1A,"Sarah Hanchett, McKenzie ................. 2:21.71"
1500m Run,6A,"Alexandra Jones, St. Mary’s Academy 4:42.32"
"",5A,"Alyssa O’Connor, Summit ................... 4:42.90"
"",4A,"Taylor Wallace, Henley ....................... 4:33.79"
"",3A,"Meghan Blood, Valley Catholic ........... 4:56.87"
"",2A,"Ashley Baldovino, Lakeview ................ 4:55.26"
"",1A,"Rachael Estabrook, Triad .................... 4:58.33"
3000m Run,6A,"Adrienne McGuirk, Jesuit .................. 10:00.69"
"",5A,"Michelly Foley, Crook County ........... 10:04.97"
"",4A,"Taylor Wallace, Henley ....................... 9:58.30"
