Year,State,Gender,Event,Mark,
1974,Alabama,Boys,100y,9.6,
1974,Alabama,Boys,440y,42.9,
1974,Alabama,Girls,100y,11.3,
1974,Alabama,Girls,440y,01:02.2,
1974,Alabama,Girls,High Jump,4'11,
1974,Alabama,Boys,High Jump,6'2,
1975,Alabama,Boys,100y,9.4,
1975,Alabama,Boys,440y,41.8,
1975,Alabama,Boys,880y,01:54.1,
1975,Alabama,Boys,High Jump,6'5,
1975,Alabama,Girls,100y,10.8,
1975,Alabama,Girls,440y,58.1,
1975,Alabama,Girls,880y,02:21.9,
1975,Alabama,Girls,High Jump,5'1,
1976,Alabama,Boys,100y,9.9,
1976,Alabama,Boys,440y,48.9,
1976,Alabama,Boys,High Jump,6'6,
1976,Alabama,Girls,100y,11.3,
1976,Alabama,Girls,440y,58.6,
1976,Alabama,Girls,High Jump,5'4,
1977,Alabama,Boys,100y,9.6,
1977,Alabama,Boys,440y,48.36,
1977,Alabama,Boys,High Jump,6'6,
1977,Alabama,Girls,100y,11.03,
1977,Alabama,Girls,440y,57.84,
1977,Alabama,Girls,High Jump,5'3,
1978,Alabama,Boys,100y,9.6,
1978,Alabama,Boys,440y,48.33,
1978,Alabama,Boys,High Jump,6'6,
1978,Alabama,Girls,100y,10.98,
1978,Alabama,Girls,440y,57.06,
1978,Alabama,Girls,High Jump,5'6,
1979,Alabama,Boys,100y,9.76,
1979,Alabama,Boys,440y,48.09,
1979,Alabama,Boys,High Jump,6'9.75,
1979,Alabama,Girls,100y,10.68,
1979,Alabama,Girls,440y,57.8,
1979,Alabama,Girls,High Jump,5'6,
1980,Alabama,Boys,100y,9.87,
1980,Alabama,Boys,440y,48.67,
1980,Alabama,Boys,High Jump,6'8,
1980,Alabama,Girls,100y,10.7,
1980,Alabama,Girls,440y,57.79,
1980,Alabama,Girls,High Jump,5'4,
1981,Alabama,Boys,100y,9.72,
1981,Alabama,Boys,440y,48.23,
1981,Alabama,Boys,High Jump,6'8,
1981,Alabama,Girls,100y,11.16,
1981,Alabama,Girls,440y,53.15,
1981,Alabama,Girls,High Jump,5'5,
1982,Alabama,Boys,100y,9.51,
1982,Alabama,Boys,440y,48.92,
1982,Alabama,Boys,880y,01:54.4,
1982,Alabama,Boys,High Jump,6'8,
1982,Alabama,Girls,100y,10.94,
1982,Alabama,Girls,440y,57.9,
1982,Alabama,Girls,880y,02:19.6,
1982,Alabama,Girls,High Jump,5'3,
1983,Alabama,Boys,100m,10.96,
1983,Alabama,Boys,400m,47.72,
1983,Alabama,Boys,800m,01:57.1,
1983,Alabama,Boys,High Jump,6'10,
1983,Alabama,Girls,100m,12.63,
1983,Alabama,Girls,400m,56.34,
1983,Alabama,Girls,800m,02:17.4,
1983,Alabama,Girls,High Jump,5'6,
1984,Alabama,Boys,100m,10.68,
1984,Alabama,Boys,400m,48.26,
1984,Alabama,Boys,800m,01:53.0,
1984,Alabama,Boys,High Jump,6'8,
1984,Alabama,Girls,100m,11.93,
1984,Alabama,Girls,400m,57.07,
1984,Alabama,Girls,800m,02:15.5,
1984,Alabama,Girls,High Jump,5'6,
1985,Alabama,Boys,High Jump,6'8,
1985,Alabama,Boys,100m,10.65,
1985,Alabama,Boys,400m,47.55,
1985,Alabama,Boys,800m,01:55.7,
1985,Alabama,Girls,High Jump,5'10,
1985,Alabama,Girls,100m,11.99,
1985,Alabama,Girls,400m,57.56,
1985,Alabama,Girls,800m,02:15.4,
1986,Alabama,Boys,High Jump,6'8,
1986,Alabama,Boys,100m,10.54,
1986,Alabama,Boys,400m,41.57,
1986,Alabama,Boys,800m,01:53.3,
1986,Alabama,Girls,High Jump,5'4,
1986,Alabama,Girls,100m,11.63,
1986,Alabama,Girls,400m,58.52,
1986,Alabama,Girls,800m,02:15.7,
1987,Alabama,Boys,High Jump,6'10,
1987,Alabama,Boys,100m,11.09,
1987,Alabama,Boys,400m,47.73,
1987,Alabama,Boys,800m,01:54.0,
1987,Alabama,Girls,High Jump,5'4,
1987,Alabama,Girls,100m,12.52,
1987,Alabama,Girls,400m,57.99,
1987,Alabama,Girls,800m,02:19.4,
1988,Alabama,Boys,High Jump,7'0,
1988,Alabama,Boys,100m,10.98,
1988,Alabama,Boys,400m,48.8,
1988,Alabama,Boys,800m,01:53.3,
1988,Alabama,Girls,High Jump,5'3,
1988,Alabama,Girls,100m,12.6,
1988,Alabama,Girls,400m,55.78,
1988,Alabama,Girls,800m,02:15.6,
1989,Alabama,Boys,High Jump,6'8,
1989,Alabama,Boys,100m,10.6,
1989,Alabama,Boys,400m,48.48,
1989,Alabama,Boys,800m,01:54.7,
1989,Alabama,Girls,High Jump,5'4,
1989,Alabama,Girls,100m,12.64,
1989,Alabama,Girls,400m,57.17,
1989,Alabama,Girls,800m,02:17.7,
1997,Arkansas,Boys,100m,10.7,
1997,Arkansas,Boys,400m,49.1,
1997,Arkansas,Boys,800m,01:56.1,
1997,Arkansas,Boys,High Jump,6'10,
1997,Arkansas,Girls,100m,12.1,
1997,Arkansas,Girls,400m,59.8,
1997,Arkansas,Girls,800m,02:21.8,
1997,Arkansas,Girls,High Jump,5'4,
,,,,,
1971,Nebraska,Boys,100y,10.2,
1971,Nebraska,Boys,440y,49.7,
1971,Nebraska,Boys,880y,01:59.1,
1971,Nebraska,Boys,High Jump,6'2,
1971,Nebraska,Girls,100y,11.5,
1971,Nebraska,Girls,440y,01:00.8,
1971,Nebraska,Girls,880y,02:27.9,
1971,Nebraska,Girls,High Jump,4'9.75,
1972,Nebraska,Boys,100y,9.8,
1972,Nebraska,Boys,440y,49.5,
1972,Nebraska,Boys,880y,01:54.8,
1972,Nebraska,Boys,High Jump,6'6,
1972,Nebraska,Girls,100y,11.3,
1972,Nebraska,Girls,440y,01:01.4,
1972,Nebraska,Girls,880y,02:30.2,
1972,Nebraska,Girls,High Jump,5'3.75,
1973,Nebraska,Boys,100y,9.9,
1973,Nebraska,Boys,440y,50.1,
1973,Nebraska,Boys,880y,01:53.3,
1973,Nebraska,Boys,High Jump,6'7,
1973,Nebraska,Girls,100y,12.2,
1973,Nebraska,Girls,440y,01:01.2,
1973,Nebraska,Girls,880y,02:24.6,
1973,Nebraska,Girls,High Jump,5'2,
1974,Nebraska,Boys,100y,9.9,
1974,Nebraska,Boys,440y,48.9,
1974,Nebraska,Boys,880y,01:53.4,
1974,Nebraska,Boys,High Jump,6'7.5,
1974,Nebraska,Girls,100y,11.2,
1974,Nebraska,Girls,440y,58.6,
1974,Nebraska,Girls,880y,2:26,
1974,Nebraska,Girls,High Jump,5'2,
1975,Nebraska,Boys,100y,9.8,
1975,Nebraska,Boys,440y,49.6,
1975,Nebraska,Boys,880y,01:54.3,
1975,Nebraska,Boys,High Jump,6'10,
1976,Nebraska,Boys,100y,9.9,
1976,Nebraska,Boys,440y,49.7,
1976,Nebraska,Boys,880y,01:53.7,
1976,Nebraska,Boys,High Jump,6'8,
1977,Nebraska,Boys,100y,9.5,
