MEET,,EVENT,YEAR,PLACING,ATHLETE,SCHOOL,PERFORMANCE,,,,FN,
States,,Shot Put,1947,1,"Apkarian, Kazar",Hope,"46'5""",14.14 m,,,,
States,,Shot Put,1947,2,"Matteodo, Maurice",Hope,"46'3 1/4""",14.10 m,,, ,
States,,Shot Put,1947,3,"Munroe, Ed",Hope,"45'10""",13.97 m,,, ,
States,,Shot Put,1947,4,"Zalkus, Norm",LaSalle,"45'3""",13.79 m,,, ,
States,,Shot Put,1947,5,"Blount, Frank",South Kingstown,"42'8 3/4""",13.02 m,,, ,
States,,Shot Put,1947,6,"Carroccia, Joseph",Central,"42'6""",12.95 m,,, ,
States,,Discus# (College Discus),1947,1,"Garrity, Alan",Hope,"130'5 3/4""",39.75 m,, ,,
States,,Discus# (College Discus),1947,2,"Garcia, David",Hope,"127'6 3/4""",38.86 m,,, ,
States,,Discus# (College Discus),1947,3,"Poudrier, Bob",Mount Pleasant,"117'9 3/4""",35.89 m,,, , 
States,,Discus# (College Discus),1947,4,"Torgan, Hillard",Classical,"113'11 1/2""",34.72 m, ,, ,
States,,Discus# (College Discus),1947,5,"Zalkus, Norm",LaSalle,"113'8""",34.64 m,,, ,
States,,Discus# (College Discus),1947,6,"Polofsky, Gordon",Cranston,"112'5""",34.26 m,,, ,
States,,Hammer,1947,1,"Brewer, Al",Aldrich,"167'11 1/4""",51.18 m,,, ,
States,,Hammer,1947,2,"Blake, John",LaSalle,"157'5""",47.98 m,,, ,
States,,Hammer,1947,3,"Mealey, Fred",Hope,"144'11 1/2""",44.17 m,,, ,
States,,Hammer,1947,4,"Phillips, William",Cranston,"142'3 1/2""",43.36 m,,, ,
States,,Hammer,1947,5,"Rubin, Stan",Hope,"137'11""",42.04 m,,, ,
States,,Hammer,1947,6,Spelman,Hope,"128'10 1/2""",39.26 m,,,fn,
States,,Javelin (Old Standard),1947,1,"Alexander, Gerald",LaSalle,"168'8""",51.40 m,,,,
States,,Javelin (Old Standard),1947,2,"Newsome, Howie",Woonsocket,"162'8""",49.58 m,,, ,
States,,Javelin (Old Standard),1947,3,"Matteodo, Maurice",Hope,"156'9""",47.78 m,,, ,
States,,Javelin (Old Standard),1947,4,"Dessert, William",LaSalle,"156'3 1/2""",47.62 m,,, ,
States,,Javelin (Old Standard),1947,5,"Poudrier, Bob",Mount Pleasant,"155'9 1/2""",47.47 m,,, ,
States,,Javelin (Old Standard),1947,6,"Wilson, Francis",North Providence,"153'7 3/4""",46.81 m,,, ,
States,,High Jump,1947,1,"Murphy, Donald",Classical,"5'8 3/4""",1.75 m,,,,
States,,High Jump,1947,2,"Eckert, Alan",East Providence,"5'7""",1.70 m,,,,
States,,High Jump,1947,3,"Neirinckx, Roland",LaSalle,"5'6""",1.67 m,,, ,
States,,High Jump,1947,T-4,"Carter, Robert",Barrington,"5'4""",1.62 m,,, ,
States,,High Jump,1947,T-4,McNulty,South Kingstown,"5'4""",1.62 m,,,fn,
States,,High Jump,1947,T-4,"Whittacker, George",Hope,"5'4""",1.62 m,,, ,
States,,Long Jump,1947,1,"Crofton, Edward",LaSalle,"20'7""",6.27 m,,,,
States,,Long Jump,1947,2,"Calise, Peter",Classical,"20'2""",6.14 m,,, ,
States,,Long Jump,1947,3,"Beck, Bill",South Kingstown,"19'11""",6.07 m,,, ,
States,,Long Jump,1947,4,"Sarkasian, Lou",East Providence,"19'10 1/2""",6.05 m,,, ,
States,,Long Jump,1947,5,"Kaplan, Stan",Hope,"19'7""",5.97 m,,, ,
States,,Long Jump,1947,6,"Phayre, Robert",LaSalle,"19'4 1/2""",5.90 m,,, ,
States,,Pole Vault,1947,1,"Vetri, Anthony",Woonsocket,"11'4""",3.45 m,,,,
States,,Pole Vault,1947,T-2,"Carter, Robert",Barrington,"10'6""",3.20 m,,, ,
States,,Pole Vault,1947,T-2,"McGowan, Andy",LaSalle,"10'6""",3.20 m,,, ,
States,,Pole Vault,1947,T-4,Cilley,Hope,"10'0""",3.05 m,,,fn,
States,,Pole Vault,1947,T-4,"Linne, Robert",Hope,"10'0""",3.05 m,,, ,
States,,Pole Vault,1947,T-4,"Barrette, Arthur",Aldrich,"10'0""",3.05 m,,, ,
States,,120 Yd High Hurdles,1947,1,"Norato, Thomas",LaSalle,16.2,,,,,
States,,120 Yd High Hurdles,1947,2,"Kent, Lonnie",Hope,,,,, ,
States,,120 Yd High Hurdles,1947,3,Kevorkian,Central,,,,,fn,
States,,120 Yd High Hurdles,1947,4,"Murphy, Donald",Classical,,,,,,
States,,120 Yd High Hurdles,1947,5,"Campagnone, John",LaSalle,,,,,,
States,,120 Yd High Hurdles,1947,6,"Marra, Larry",East Providence,,,,, ,
States,,220 Yd Low Hurdles,1947,1,"Murphy, Donald",Classical,27.2,,,,,
States,,220 Yd Low Hurdles,1947,2,"Crevier, Norm",East Providence,,,,, ,
States,,220 Yd Low Hurdles,1947,3,"Brownell, Bob",Hope,,,,, ,
States,,220 Yd Low Hurdles,1947,4,"Marra, Larry",East Providence,,,,, ,
States,,220 Yd Low Hurdles,1947,5,"Norato, Thomas",LaSalle,,,,,,
States,,220 Yd Low Hurdles,1947,6,"Dean, Ed",Barrington,,,,, ,
States,,100 Yd,1947,1,"Henry, Jack",Aldrich,10.2,,,, ,
States,,100 Yd,1947,2,"Collins, Dick",East Providence,,,,, ,
States,,100 Yd,1947,3,"Corvese, Arthur",Mount Pleasant,,,,, ,
States,,100 Yd,1947,4,"Marcello, Joseph",LaSalle,,,,, ,
States,,100 Yd,1947,5,"Dayian, Ed",LaSalle,,,,, ,
States,,100 Yd,1947,6,"Crowley, Al",LaSalle,,,,, ,
States,,220 Yd  ,1947,1,"Corvese, Arthur",Mount Pleasant,23.2,,,, ,
States,,220 Yd,1947,2,"Henry, Jack",Aldrich,,,,, ,
States,,220 Yd,1947,3,"Dayian, Ed",LaSalle,,,,, ,
States,,220 Yd,1947,4,"Collins, Dick",East Providence,,,,, ,
