MEET, ,EVENT,YEAR,PLACING,ATHLETE,SCHOOL,PERFORMANCE,,,,FN,
States,,Softball Throw,1972,1,"Chauvin, Robin",St. Mary's - Bayview,"188'5""",57.42 m,,,,
States,,Softball Throw,1972,2,Bootman,Warwick Vets,"181'11""",55.44 m,,,fn,
States,,Softball Throw,1972,3,"Silva, Donna",Central,"178'11""",54.53 m,,, ,
States,,Softball Throw,1972,4,Raposa,Smithfield,"177'6""",54.10 m,,,fn,
States,,Softball Throw,1972,5,Aldrich,Warwick Vets,"174'9 3/4""",53.26 m,,,fn,
States,,High Jump,1972,1,"Bissell, Jane",Smithfield,"4'9 7/8""",1.47 m,,,,
States,,High Jump,1972,2,"Lewis, Heidi",St. Mary's - Bayview,"4'8""",1.42 m,,,,
States,,High Jump,1972,3,"Balchunas, Ellen",North Kingstown,"4'8""",1.42 m,,,,
States,,High Jump,1972,T-4,"Parkasian, Polly",Smithfield,"4'4""",1.32 m,,,,
States,,High Jump,1972,T-4,"Mason, Lisa",Barrington,"4'4""",1.32 m,,,,
States,,Long Jump,1972,1,"Figuerid, Laurie",Warren,"16'0 1/4""",4.88 m, ,,,
States,,Long Jump,1972,2,"McCahey, Karen",Warren,"15'11 3/4""",4.87 m,,,,
States,,Long Jump,1972,3,"Sullivan, Anne",Lincoln,"15'5 1/2""",4.71 m,,,,
States,,Long Jump,1972,4,"Allen, Heidi",Smithfield,"15'2 1/2""",4.63 m,,,,
States,,Long Jump,1972,5,"Plante, Doreen",Smithfield,"14'11 1/2""",4.56 m,,, ,
States,,50 Yards,1972,1,"McCahey, Karen",Warren,6.3,,,,,
States,,50 Yards,1972,2,"Sullivan, Anne",Lincoln,6.4,,,,,
States,,50 Yards,1972,3,"Allen, Heidi",Smithfield,6.5,,,,,
States,,50 Yards,1972,4,"Everett, Margie",Classical,7.0,,,,,
States,,50 Yards,1972,5,"Fowler, Pat",Middletown,7.1,,,,,
States,,100 Yards,1972,1,"McCahey, Karen",Warren,11.9,,,,,
States,,100 Yards,1972,2,"Sullivan, Anne",Lincoln,12.4,,,,,
States,,100 Yards,1972,3,"Allen, Heidi",Smithfield,12.5,,,,,
States,,100 Yards,1972,4,"Parkasian, Polly",Smithfield,12.6,,,,,
States,,100 Yards,1972,5,"Sargeson, Debbie",Lincoln,12.7,,,,,
States,,220 Yards,1972,1,"Sullivan, Anne",Lincoln,26.7,,,,,
States,,220 Yards,1972,2,"Figuerid, Laurie",Warren,26.8,,,,,
States,,220 Yards,1972,3,"Abbatematteo, Kathy",Smithfield,28.1,,,,,
States,,220 Yards,1972,4,"Heerlein, Karen",East Greenwich,28.3,,,,,
States,,220 Yards,1972,5,"Johnson, Cindy",Smithfield,28.7,,,,,
States,,440 Yards,1972,1,"Cameron, Karen",Ponaganset,1:03.0,,,,,
States,,440 Yards,1972,2,"Hess, Priscilla",Smithfield,1:06.3,,,,,
States,,440 Yards,1972,3,"Heerlein, Karen",East Greenwich,1:06.4,,,,,
States,,440 Yards,1972,4,"Stachura, Judith",Lincoln,1:08.0,,,, ,
States,,440 Yards,1972,5,"Miller, Trudi",North Kingstown,1:09.0,,,,,
States,,880 Yards,1972,1,"Figuerid, Laurie",Warren,2:30.3,,,,,
States,,880 Yards,1972,2,"Conaty, Booty",Smithfield,2:39.4,,,,,
States,,880 Yards,1972,3,"Stachura, Judith",Lincoln,2:44.4,,,, ,
States,,880 Yards,1972,T-4,"Geng, Patricia",Ponaganset,2:44.6,,,, ,
States,,880 Yards,1972,T-4,"McNaught, Lisa",Lincoln,2:44.6,,,,,
States,,440 Yard Relay,1972,1,no names listed,Smithfield,54.3,,,,relay,
States,,440 Yard Relay,1972,2,no names listed,Warren,54.9,,,,relay,
States,,440 Yard Relay,1972,3,no names listed,Barrington,56.6,,,,relay,
States,,440 Yard Relay,1972,4,no names listed,Lincoln,56.9,,,,relay,
States,,440 Yard Relay,1972,5,no names listed,North Kingstown,57.1,,,,relay,
States,,Mile Relay,1972,1,no names listed,Ponaganset,4:36.2,,,,relay,
States,,Mile Relay,1972,2,no names listed,Smithfield,4:39.4,,,,relay,
States,,Mile Relay,1972,3,no names listed,St. Mary's - Bayview,4:54.5,,,,relay,
States,,Mile Relay,1972,4,no names listed,Lincoln,5:01.2,,,,relay,
States,,Mile Relay,1972,5,no names listed,Classical,5:03.0,,,,relay,
States,,Shot Put,1973,1,"Reels, Debbie",North Kingstown,"32'4 5/8""",9.86 m,,,,
States,,Shot Put,1973,2,"Allison, Joyce",Hope,"31'8 1/2""",9.66 m,,,,
States,,Shot Put,1973,3,"Myers, Debbie",Coventry,"31'5 1/4""",9.58 m,,,,
States,,Shot Put,1973,4,"D'Ambra, Laurie",Cumberland,"29'10""",9.09 m,,,,
States,,Shot Put,1973,5,"Pelchat, Lauren",Warren,"29'8 1/2""",9.05 m,,,,
States,,Discus,1973,1,"Acciardo, Jean",North Kingstown,"102'10""",31.34 m,,,,
States,,Discus,1973,2,"D'Ambra, Laurie",Cumberland,"88'1 1/2""",26.86 m,,,,
States,,Discus,1973,3,"Hynes, Gail",East Greenwich,"84'4""",25.70 m,,,,
States,,Discus,1973,4,"Blackburn, Jean",East Greenwich,"81'10""",24.94 m,,,,
States,,Discus,1973,5,"Walton, Barbara",Barrington,"80'9 1/4""",24.62 m,,,,
States,,High Jump,1973,1,"Little, Cathy",St. Xavier's,"5'0""",1.52 m,,,,
States,,High Jump,1973,2,"Balchunas, Ellen",North Kingstown,"4'11""",1.50 m,,,,
States,,High Jump,1973,3,"Myers, Debbie",Coventry,"4'10""",1.47 m,,,,
States,,High Jump,1973,4,"Bissell, Jane",Smithfield,"4'9""",1.45 m,,,,
States,,High Jump,1973,5,"Gilson, Kathy",St. Mary's - Bayview,"4'7""",1.40 m,,, ,
States,,Long Jump,1973,1,"McCahey, Karen",Warren,"16'7""",5.05 m,,,,
States,,Long Jump,1973,2,"O'Connor, Lynn",Ponaganset,"15'10 1/2""",4.84 m,,,,
States,,Long Jump,1973,3,"Jarvis, Caryn",Ponaganset,"15'4""",4.67 m,,,,
States,,Long Jump,1973,4,"Emerson, Linda",North Kingstown,"14'10""",4.52 m,,,,
States,,Long Jump,1973,5,"Catuogno, Carolyn",Smithfield,"14'9""",4.49 m,,,,
States,,50 Yard Hurdles,1973,1,"Miller, Trudi",North Kingstown,7.4,,,,,
States,,50 Yard Hurdles,1973,2,"Little, Cathy",St. Xavier's,,,,,,
States,,50 Yard Hurdles,1973,3,"Williams, Lori",North Kingstown,,,,,,
States,,50 Yard Hurdles,1973,4,"Myers, Debbie",Coventry,,,,,,
States,,50 Yard Hurdles,1973,5,"Reels, Debbie",North Kingstown,,,,,,
States,,50 Yards,1973,1,"McCahey, Karen",Warren,6.1,,,,,
States,,50 Yards,1973,2,"Brooks, Elizabeth",Middletown,,,,,,
States,,50 Yards,1973,3,"Guisti, C",St. Mary's - Bayview,,,,,fn,
States,,50 Yards,1973,4,"Hrdlicka, Aime",Barrington,,,,,,
States,,50 Yards,1973,5,"Figuerid, June",Warren,,,,,,
States,,100 Yards,1973,1,"McCahey, Karen",Warren,11.3,,,,,
States,,100 Yards,1973,2,"Brooks, Elizabeth",Middletown,,,,,,
States,,100 Yards,1973,3,"Allen, Heidi",Smithfield,,,,,,
States,,100 Yards,1973,4,"Emerson, Linda",North Kingstown,,,,,,
States,,100 Yards,1973,5,"Little, Cathy",St. Xavier's,,,,,,
States,,220 Yards,1973,1,"Figuerid, Laurie",Warren,26.9,,,,,
States,,220 Yards,1973,2,"Sullivan, Anne",Lincoln,,,,,,
States,,220 Yards,1973,T-3,"Allen, Heidi",Smithfield,,,,,,
States,,220 Yards,1973,T-3,"Hagy, Cathy",Barrington,,,,,,
States,,220 Yards,1973,5,"Waters, Cathy",St. Mary's - Bayview,,,,, ,
States,,440 Yards,1973,1,"Figuerid, Laurie",Warren,1:00.6,,,,,
States,,440 Yards,1973,2,"Trudeau, Denise",Cumberland,,,,,,
States,,440 Yards,1973,3,"Hess, Priscilla",Smithfield,,,,,,
States,,440 Yards,1973,4,"Heerlein, Karen",East Greenwich,,,,,,
States,,440 Yards,1973,5,"Taft, Isabelle",St. Mary's - Bayview,,,,,,
States,,880 Yards,1973,T-1,"Sullivan, Regina",St. Xavier's,2:37.5,,,,,
States,,880 Yards,1973,T-1,"McNaught, Lisa",Lincoln,2:37.5,,,,,
States,,880 Yards,1973,3,"Lamontagne, Paula",St. Xavier's,,,,,,
States,,880 Yards,1973,4,"Cameron, Karen",Ponaganset,,,,,,
States,,880 Yards,1973,5,"Hagy, Cathy",Barrington,,,,,,
States,,440 Yard Relay,1973,1,"McCahey, Karen",Warren,54.3,,,,,
States,,440 Yard Relay,1973,1,"Figuerid, Laurie",Warren,,,,,,
States,,440 Yard Relay,1973,1,"Figuerid, June",Warren,,,,,,
States,,440 Yard Relay,1973,1,"Cabral, Kathy",Warren,,,,,,
States,,440 Yard Relay,1973,2,no names listed,Smithfield,,,,,relay,
States,,440 Yard Relay,1973,3,no names listed,North Kingstown,,,,,relay,
States,,440 Yard Relay,1973,4,no names listed,Lincoln,,,,,relay,
States,,440 Yard Relay,1973,5,no names listed,St. Mary's - Bayview,,,,,relay,
States,,Mile Relay,1973,1,"Taft, Isabelle",St. Mary's - Bayview,4:26.2,,,,,
States,,Mile Relay,1973,1,"Leddy, Patricia",St. Mary's - Bayview,,,,,,
States,,Mile Relay,1973,1,"Hogan, Kathy",St. Mary's - Bayview,,,,,,
States,,Mile Relay,1973,1,"Waters, Cathy",St. Mary's - Bayview,,,,,,
States,,Mile Relay,1973,2,no names listed,Ponaganset,,,,,relay,
States,,Mile Relay,1973,3,no names listed,Lincoln,,,,,relay,
States,,Mile Relay,1973,4,no names listed,Smithfield,,,,,relay,
States,,Mile Relay,1973,5,no names listed,St. Xavier's,,,,,relay,
States,,Shot Put,1974,1,"Stephens, Mary",Rogers,"38'8 3/4""",11.80 m,,,,
States,,Shot Put,1974,2,"Reels, Debbie",North Kingstown,"34'3""",10.44 m,,,,
States,,Shot Put,1974,3,"McCoy, Eileen",Rogers,"33'6 1/4""",10.21 m,,, ,
States,,Shot Put,1974,4,"Pelchat, Lauren",Warren,"31'10 1/2""",9.71 m,,,,
States,,Shot Put,1974,5,"Myers, Debbie",Coventry,"31'10 1/2""",9.71 m,,,,
States,,Shot Put,1974,6,"Welsh, Betty",East Providence,"30'9 1/4""",9.38 m,,, ,
States,,Discus,1974,1,"Pelchat, Lauren",Warren,"105'7 1/2""",32.18 m,,,,
States,,Discus,1974,2,"Penkala, Elizabeth",Warren,"103'2""",31.44 m,,,,
States,,Discus,1974,3,"Acciardo, Jean",North Kingstown,"102'3 1/2""",31.16 m,,,,
States,,Discus,1974,4,"Desormier, Judith",Lincoln,"91'9 3/4""",27.98 m,,, ,
States,,Discus,1974,5,"Lawrence, Pam",Rogers,"90'11 1/4""",27.71 m,,,,
States,,Discus,1974,6,"McCoy, Eileen",Rogers,"90'4 1/4""",27.54 m,,, ,
States,,High Jump,1974,1,"Balchunas, Ellen",North Kingstown,"5'0""",1.52 m,,, ,
States,,High Jump,1974,2,"Gilson, Kathy",St. Mary's - Bayview,"4'11""",1.50 m,,, ,
States,,High Jump,1974,3,"Rae, Marianne",Middletown,"4'11""",1.50 m,,, ,
States,,High Jump,1974,4,"Myers, Debbie",Coventry,"4'11""",1.50 m,,,,
States,,High Jump,1974,5,"Comstock, Joyce",Lincoln,"4'11""",1.50 m,,, ,
States,,High Jump,1974,6,"Murphy, Cindy",South Kingstown,"4'11""",1.50 m,,,,
States,,Long Jump,1974,1,"Figuerid, Laurie",Warren,"16'11""",5.15 m,,,,
States,,Long Jump,1974,2,"Sullivan, Anne",Lincoln,"16'1 5/8""",4.91 m,,,,
States,,Long Jump,1974,T-3,"Emerson, Linda",North Kingstown,"16'0 3/8""",4.88 m,,,,
States,,Long Jump,1974,T-3,"McCahey, Karen",Warren,"16'0 3/8""",4.88 m,,,,
States,,Long Jump,1974,5,"Frageorgia, Donna",North Kingstown,"15'10""",4.82 m,,, ,
States,,Long Jump,1974,6,"O'Connor, Lynn",Ponaganset,"15'4 1/8""",4.67 m,,,,
States,,50 Yard Hurdles,1974,1,"Figuerid, Laurie",Warren,7.2,,,,,
States,,50 Yard Hurdles,1974,2,"Horgan, Cindy",Rogers,7.3,,,, ,
States,,50 Yard Hurdles,1974,3,"Lipinski, Ellen",East Greenwich,7.5,,,,,
States,,50 Yard Hurdles,1974,4,"Hogan, Kathy",St. Mary's - Bayview,7.7,,,,,
States,,50 Yard Hurdles,1974,5,"Williams, Lori",North Kingstown,7.8,,,,,
States,,50 Yard Hurdles,1974,6,"Thomas, Margaret",Rogers,8.0,,,, ,
States,,50 Yards,1974,1,"McCahey, Karen",Warren,6.3,,,,,
States,,50 Yards,1974,2,"Catuogno, Carolyn",Smithfield,6.4,,,, ,
States,,50 Yards,1974,3,"Rose, Shirley",Warren,6.5,,,,,
States,,50 Yards,1974,4,"Emerson, Linda",North Kingstown,6.5,,,,,
States,,50 Yards,1974,5,"Brooks, Elizabeth",Middletown,6.6,,,,,
States,,50 Yards,1974,6,"Horgan, Cindy",Rogers,7.1,,,, ,
States,,100 Yards,1974,1,"McCahey, Karen",Warren,11.7,,,,,
States,,100 Yards,1974,2,"Emerson, Linda",North Kingstown,11.9,,,,,
States,,100 Yards,1974,3,"Allen, Heidi",Smithfield,11.9,,,,,
