"State","Year","Event","Gender","Mark"
"Rhode Island",1972,"High Jump","Girls","4'9 7/8"""
"Rhode Island",1972,"100y","Girls","11.9"
"Rhode Island",1972,"880y","Girls","2:30.3"
"Rhode Island",1973,"High Jump","Girls","5'0"""
"Rhode Island",1973,"100y","Girls","11.3"
"Rhode Island",1973,"880y","Girls","2:37.5"
"Rhode Island",1974,"High Jump","Girls","5'0"""
"Rhode Island",1974,"100y","Girls","11.7"
"Rhode Island",1974,"880y","Girls","2:20.9"
"Rhode Island",1974,"Mile","Girls","5:34.6"
"Rhode Island",1975,"High Jump","Girls","5'0 1/2"""
"Rhode Island",1975,"100y","Girls","11.6"
"Rhode Island",1975,"880y","Girls","2:19.0"
"Rhode Island",1975,"Mile","Girls","5:26.3"
"Rhode Island",1976,"High Jump","Girls","5'1"""
"Rhode Island",1976,"100y","Girls","11.1"
"Rhode Island",1976,"880y","Girls","2:21.0"
"Rhode Island",1976,"Mile","Girls","5:23.9"
"Rhode Island",1977,"High Jump","Girls","5'4"""
"Rhode Island",1977,"100y","Girls","11.3"
"Rhode Island",1977,"880y","Girls","2:21.7"
"Rhode Island",1977,"Mile","Girls","5:00.5"
"Rhode Island",1978,"High Jump","Girls","5'2"""
"Rhode Island",1978,"100y","Girls","11.3"
"Rhode Island",1978,"880y","Girls","2:23.5"
"Rhode Island",1978,"Mile","Girls","5:19.8"
"Rhode Island",1979,"High Jump","Girls","5'1"""
"Rhode Island",1979,"100m","Girls","12.7"
"Rhode Island",1979,"800m","Girls","2:24.6"
"Rhode Island",1979,"1500m","Girls","4:45.3"
"Rhode Island",1980,"High Jump","Girls","5'2"""
"Rhode Island",1980,"100m","Girls","12.2"
"Rhode Island",1980,"800m","Girls","2:22.2"
"Rhode Island",1980,"1500m","Girls","4:48.7"
"Rhode Island",1981,"High Jump","Girls","5'3"""
"Rhode Island",1981,"100m","Girls","12.7"
"Rhode Island",1981,"800m","Girls","2:19.8"
"Rhode Island",1981,"1500m","Girls","4:51.9"
"Rhode Island",1982,"High Jump","Girls","5'1"""
"Rhode Island",1982,"100m","Girls","12.6"
"Rhode Island",1982,"800m","Girls","2:24.6"
"Rhode Island",1982,"1500m","Girls","4:50.9"
"Rhode Island",1983,"High Jump","Girls","5'6 1/2"""
"Rhode Island",1983,"100m","Girls","12.6"
