"State","Year","Gender","Event","Class","Mark"
"Tennessee","2024","Girls","100m","Class A","12.03"
"Tennessee","2024","Girls","100m","Class AA","11.95"
"Tennessee","2024","Girls","100m","Class AAA","11.82"
"Tennessee","2024","Girls","100m","Division II A","11.91"
"Tennessee","2024","Girls","100m","Division II AA","12.07"
"Tennessee","2023","Girls","100m","Class A","11.6"
"Tennessee","2023","Girls","100m","Class AA","11.95"
"Tennessee","2023","Girls","100m","Class AAA","11.58"
"Tennessee","2023","Girls","100m","Division II A","11.74"
"Tennessee","2023","Girls","100m","Division II AA","12"
"Tennessee","2022","Girls","100m","Class A","11.97"
"Tennessee","2022","Girls","100m","Class AA","12.16"
"Tennessee","2022","Girls","100m","Class AAA","12.4"
"Tennessee","2022","Girls","100m","Division II A","12.34"
"Tennessee","2022","Girls","100m","Division II AA","12.36"
"Tennessee","2021","Girls","100m","Small Class","12.46"
"Tennessee","2021","Girls","100m","Large Class","12.02"
"Tennessee","2021","Girls","100m","Division II A","12.25"
"Tennessee","2021","Girls","100m","Division II AA","12.16"
"Tennessee","2019","Girls","100m","Small Class","12.11"
"Tennessee","2019","Girls","100m","Large Class","11.89"
"Tennessee","2019","Girls","100m","Division II A","12.39"
"Tennessee","2019","Girls","100m","Division II AA","12.19"
"Tennessee","2018","Girls","100m","Small Class","12.13"
"Tennessee","2018","Girls","100m","Large Class","11.75"
"Tennessee","2018","Girls","100m","Division II A","12.14"
"Tennessee","2018","Girls","100m","Division II AA","11.94"
"Tennessee","2017","Girls","100m","Class AAA","11.73"
"Tennessee","2017","Girls","100m","Class A-AA","12.35"
"Tennessee","2017","Girls","100m","Division II","12.28"
"Tennessee","2016","Girls","100m","Division II","12.32"
"Tennessee","2016","Girls","100m","Class AAA","12.16"
"Tennessee","2016","Girls","100m","Class A-AA","12.19"
"Tennessee","2015","Girls","100m","Division II","12.44"
"Tennessee","2015","Girls","100m","Class AAA","11.79"
"Tennessee","2015","Girls","100m","Class A-AA","11.88"
"Tennessee","2014","Girls","100m","Division II","12.17"
"Tennessee","2014","Girls","100m","Class AAA","11.63"
"Tennessee","2014","Girls","100m","Class A-AA","12.24"
"Tennessee","2013","Girls","100m","Class A-AA","12.14"
"Tennessee","2013","Girls","100m","Class AAA","11.84"
"Tennessee","2013","Girls","100m","Division II","11.71"
"Tennessee","2012","Girls","100m","Class A-AA","12.37"
"Tennessee","2012","Girls","100m","Class AAA","12.03"
"Tennessee","2012","Girls","100m","Division II","12.25"
"Tennessee","2011","Girls","100m","Class A-AA","11.78"
"Tennessee","2011","Girls","100m","Class AAA","12.08"
"Tennessee","2011","Girls","100m","Division II","12.07"
"Tennessee","2010","Girls","100m","Class A-AA","11.46"
"Tennessee","2010","Girls","100m","Class AAA","12.15"
"Tennessee","2010","Girls","100m","Division II","11.86"
"Tennessee","2009","Girls","100m","Class A-AA","11.87"
"Tennessee","2009","Girls","100m","Class AAA","11.89"
"Tennessee","2009","Girls","100m","Division II","12.27"
"Tennessee","2008","Girls","100m","Class AAA","11.75"
"Tennessee","2008","Girls","100m","Class A-AA","12.12"
"Tennessee","2008","Girls","100m","Division II","12.25"
"Tennessee","2007","Girls","100m","Class A-AA","12.02"
"Tennessee","2007","Girls","100m","Class AAA","11.98"
"Tennessee","2007","Girls","100m","Division II","12.08"
"Tennessee","2006","Girls","100m","Class AAA","12.24"
"Tennessee","2006","Girls","100m","Class A-AA","12.1"
"Tennessee","2006","Girls","100m","Division II","12.35"
