"State","Year","Gender","Event","Mark","Mark.Note"
"Washington",2024,"Girls","Pole Vault","12-9",NA
"Washington",2023,"Girls","Pole Vault","12-7",NA
"Washington",2022,"Girls","Pole Vault","13-1½",NA
"Washington",2021,"Girls","Pole Vault",NA,NA
"Washington",2020,"Girls","Pole Vault",NA,NA
"Washington",2019,"Girls","Pole Vault","13-0",NA
"Washington",2018,"Girls","Pole Vault","12-7½",NA
"Washington",2017,"Girls","Pole Vault","12-6",NA
"Washington",2016,"Girls","Pole Vault","12-3",NA
"Washington",2015,"Girls","Pole Vault","12-7",NA
"Washington",2014,"Girls","Pole Vault","12-0",NA
"Washington",2013,"Girls","Pole Vault","12-0",NA
"Washington",2012,"Girls","Pole Vault","12-3",NA
"Washington",2011,"Girls","Pole Vault","11-3",NA
"Washington",2010,"Girls","Pole Vault","12-0",NA
"Washington",2009,"Girls","Pole Vault","11-9",NA
"Washington",2008,"Girls","Pole Vault","12-0",NA
"Washington",2007,"Girls","Pole Vault","11-9",NA
"Washington",2006,"Girls","Pole Vault","11-6",NA
"Washington",2005,"Girls","Pole Vault","11-0",NA
"Washington",2004,"Girls","Pole Vault","12-0",NA
"Washington",2003,"Girls","Pole Vault","12-6",NA
"Washington",2002,"Girls","Pole Vault","12-3",NA
"Washington",2001,"Girls","Pole Vault","12-4",NA
"Washington",2000,"Girls","Pole Vault","10-6",NA
"Washington",2024,"Girls","Pole Vault","14-3",NA
"Washington",2023,"Girls","Pole Vault","14-7",NA
"Washington",2022,"Girls","Pole Vault","14-6",NA
"Washington",2021,"Girls","Pole Vault",NA,NA
"Washington",2020,"Girls","Pole Vault",NA,NA
"Washington",2019,"Girls","Pole Vault","14-0",NA
"Washington",2018,"Girls","Pole Vault","13-8½",NA
"Washington",2017,"Girls","Pole Vault","12-6",NA
"Washington",2016,"Girls","Pole Vault","13-0",NA
"Washington",2015,"Girls","Pole Vault","13-3",NA
"Washington",2014,"Girls","Pole Vault","12-3",NA
"Washington",2013,"Girls","Pole Vault","12-7",NA
"Washington",2012,"Girls","Pole Vault","12-6",NA
"Washington",2011,"Girls","Pole Vault","12-6",NA
"Washington",2010,"Girls","Pole Vault","11-0",NA
"Washington",2009,"Girls","Pole Vault","10-6",NA
"Washington",2008,"Girls","Pole Vault","11-9",NA
"Washington",2007,"Girls","Pole Vault","12-3",NA
"Washington",2006,"Girls","Pole Vault","12-0",NA
"Washington",2005,"Girls","Pole Vault","12-0",NA
"Washington",2004,"Girls","Pole Vault","12-0",NA
"Washington",2003,"Girls","Pole Vault","12-2",NA
"Washington",2002,"Girls","Pole Vault","10-9",NA
"Washington",2001,"Girls","Pole Vault","12-0",NA
"Washington",2000,"Girls","Pole Vault","11-3",NA
"Washington",2024,"Girls","Pole Vault","11-0",NA
"Washington",2023,"Girls","Pole Vault","11-0",NA
"Washington",2022,"Girls","Pole Vault","12-6",NA
"Washington",2021,"Girls","Pole Vault",NA,NA
"Washington",2020,"Girls","Pole Vault",NA,NA
"Washington",2019,"Girls","Pole Vault","11-6",NA
"Washington",2018,"Girls","Pole Vault","12-6",NA
"Washington",2017,"Girls","Pole Vault","11-9",NA
"Washington",2016,"Girls","Pole Vault","13-0",NA
"Washington",2015,"Girls","Pole Vault","13-3",NA
"Washington",2014,"Girls","Pole Vault","13-0",NA
"Washington",2013,"Girls","Pole Vault","12-3",NA
"Washington",2012,"Girls","Pole Vault","11-9",NA
"Washington",2011,"Girls","Pole Vault","10-9",NA
"Washington",2010,"Girls","Pole Vault","11-3",NA
"Washington",2009,"Girls","Pole Vault","11-0",NA
"Washington",2008,"Girls","Pole Vault","11-3",NA
"Washington",2007,"Girls","Pole Vault","12-0",NA
"Washington",2006,"Girls","Pole Vault","10-6",NA
"Washington",2005,"Girls","Pole Vault","9-9",NA
"Washington",2004,"Girls","Pole Vault","11-3",NA
"Washington",2003,"Girls","Pole Vault","10-9",NA
"Washington",2002,"Girls","Pole Vault","10-6",NA
"Washington",2001,"Girls","Pole Vault","10-9",NA
"Washington",2000,"Girls","Pole Vault","10-9",NA
"Washington",2024,"Girls","Pole Vault","11-3",NA
"Washington",2023,"Girls","Pole Vault","10-6",NA
"Washington",2022,"Girls","Pole Vault","10-0",NA
"Washington",2021,"Girls","Pole Vault",NA,NA
"Washington",2020,"Girls","Pole Vault",NA,NA
"Washington",2019,"Girls","Pole Vault","11-3",NA
"Washington",2018,"Girls","Pole Vault","12-6",NA
"Washington",2017,"Girls","Pole Vault","12-3",NA
"Washington",2016,"Girls","Pole Vault","13-0½",NA
"Washington",2015,"Girls","Pole Vault","11-9",NA
"Washington",2014,"Girls","Pole Vault","11-6",NA
"Washington",2013,"Girls","Pole Vault","11-0",NA
"Washington",2012,"Girls","Pole Vault","12-7",NA
"Washington",2011,"Girls","Pole Vault","11-6",NA
"Washington",2010,"Girls","Pole Vault","10-6",NA
"Washington",2009,"Girls","Pole Vault","10-9",NA
"Washington",2008,"Girls","Pole Vault","10-0",NA
"Washington",2007,"Girls","Pole Vault","11-3",NA
"Washington",2006,"Girls","Pole Vault","10-6",NA
"Washington",2005,"Girls","Pole Vault","10-3",NA
"Washington",2004,"Girls","Pole Vault","9-9",NA
"Washington",2003,"Girls","Pole Vault","10-6",NA
"Washington",2002,"Girls","Pole Vault","10-0",NA
"Washington",2001,"Girls","Pole Vault","8-9",NA
"Washington",2000,"Girls","Pole Vault","9-4",NA
"Washington",2024,"Girls","Pole Vault","10-6",NA
"Washington",2023,"Girls","Pole Vault","9-9",NA
"Washington",2022,"Girls","Pole Vault","10-0",NA
"Washington",2021,"Girls","Pole Vault",NA,NA
"Washington",2020,"Girls","Pole Vault",NA,NA
"Washington",2019,"Girls","Pole Vault","11-0",NA
"Washington",2018,"Girls","Pole Vault","11-0",NA
"Washington",2017,"Girls","Pole Vault","11-0",NA
"Washington",2016,"Girls","Pole Vault","12-4",NA
"Washington",2015,"Girls","Pole Vault","11-6",NA
"Washington",2014,"Girls","Pole Vault","11-0",NA
"Washington",2013,"Girls","Pole Vault","9-6",NA
"Washington",2012,"Girls","Pole Vault","9-6",NA
"Washington",2011,"Girls","Pole Vault","9-3",NA
"Washington",2010,"Girls","Pole Vault","9-6",NA
"Washington",2009,"Girls","Pole Vault","8-9",NA
"Washington",2008,"Girls","Pole Vault","10-0",NA
"Washington",2007,"Girls","Pole Vault","11-9",NA
"Washington",2006,"Girls","Pole Vault","11-3",NA
"Washington",2005,"Girls","Pole Vault","9-9",NA
"Washington",2004,"Girls","Pole Vault","9-0",NA
"Washington",2003,"Girls","Pole Vault","9-9",NA
"Washington",2002,"Girls","Pole Vault","10-3",NA
"Washington",2001,"Girls","Pole Vault","9-3",NA
"Washington",2000,"Girls","Pole Vault","9-6",NA
"Washington",2024,"Girls","Pole Vault","8-6",NA
"Washington",2023,"Girls","Pole Vault","12-3",NA
"Washington",2022,"Girls","Pole Vault","10-6",NA
"Washington",2021,"Girls","Pole Vault",NA,NA
"Washington",2020,"Girls","Pole Vault",NA,NA
"Washington",2019,"Girls","Pole Vault","9-9",NA
"Washington",2018,"Girls","Pole Vault","9-3",NA
"Washington",2017,"Girls","Pole Vault","8-9",NA
"Washington",2016,"Girls","Pole Vault","9-9",NA
"Washington",2015,"Girls","Pole Vault","10-3",NA
"Washington",2014,"Girls","Pole Vault","8-6",NA
"Washington",2013,"Girls","Pole Vault","8-6",NA
"Washington",2012,"Girls","Pole Vault","8-0",NA
"Washington",2011,"Girls","Pole Vault","9-6",NA
"Washington",2010,"Girls","Pole Vault","9-0",NA
"Washington",2009,"Girls","Pole Vault","9-0",NA
"Washington",2008,"Girls","Pole Vault","9-6",NA
"Washington",2007,"Girls","Pole Vault","8-6",NA
"Washington",2024,"Girls","High Jump","5-10",NA
"Washington",2023,"Girls","High Jump","5-10",NA
"Washington",2022,"Girls","High Jump","5-8",NA
"Washington",2021,"Girls","High Jump",NA,NA
"Washington",2020,"Girls","High Jump",NA,NA
"Washington",2019,"Girls","High Jump","5-5",NA
"Washington",2018,"Girls","High Jump","5-8",NA
"Washington",2017,"Girls","High Jump","5-6",NA
"Washington",2016,"Girls","High Jump","5-6",NA
"Washington",2015,"Girls","High Jump","5-5",NA
"Washington",2014,"Girls","High Jump","5-4",NA
"Washington",2013,"Girls","High Jump","5-5",NA
"Washington",2012,"Girls","High Jump","5-7",NA
"Washington",2011,"Girls","High Jump","5-6",NA
"Washington",2010,"Girls","High Jump","5-8",NA
"Washington",2009,"Girls","High Jump","5-8",NA
"Washington",2008,"Girls","High Jump","5-8",NA
"Washington",2007,"Girls","High Jump","5-10",NA
"Washington",2006,"Girls","High Jump","5-6",NA
"Washington",2005,"Girls","High Jump","5-9",NA
"Washington",2004,"Girls","High Jump","5-6",NA
"Washington",2003,"Girls","High Jump","5-6",NA
"Washington",2002,"Girls","High Jump","5-6",NA
"Washington",2001,"Girls","High Jump","5-6",NA
"Washington",2000,"Girls","High Jump","5-5",NA
"Washington",1999,"Girls","High Jump","5-4",NA
"Washington",1998,"Girls","High Jump","5-4",NA
"Washington",1997,"Girls","High Jump","5-4",NA
"Washington",1996,"Girls","High Jump","5-8",NA
"Washington",1995,"Girls","High Jump","5-9",NA
"Washington",1994,"Girls","High Jump","5-10",NA
"Washington",1993,"Girls","High Jump","5-9",NA
"Washington",1992,"Girls","High Jump","5-8",NA
"Washington",1991,"Girls","High Jump","5-8½",NA
"Washington",1990,"Girls","High Jump","5-5",NA
"Washington",1989,"Girls","High Jump","5-7",NA
"Washington",1988,"Girls","High Jump","5-6",NA
"Washington",1987,"Girls","High Jump","5-9",NA
"Washington",1986,"Girls","High Jump","5-6",NA
"Washington",1985,"Girls","High Jump","5-9",NA
"Washington",1984,"Girls","High Jump","5-8",NA
"Washington",1983,"Girls","High Jump","6-1",NA
"Washington",1982,"Girls","High Jump","5-10",NA
"Washington",1981,"Girls","High Jump","6-0",NA
"Washington",1980,"Girls","High Jump","5-8",NA
"Washington",1979,"Girls","High Jump","5-7",NA
"Washington",1978,"Girls","High Jump","5-9½",NA
"Washington",1977,"Girls","High Jump","5-8½",NA
"Washington",1976,"Girls","High Jump","5-7",NA
"Washington",1975,"Girls","High Jump","5-5",NA
"Washington",1974,"Girls","High Jump","5-4",NA
"Washington",1973,"Girls","High Jump","5-5¼",NA
"Washington",1972,"Girls","High Jump","5-2",NA
"Washington",1971,"Girls","High Jump","5-2",NA
"Washington",1970,"Girls","High Jump","5-2",NA
"Washington",1969,"Girls","High Jump","5-4¾",NA
"Washington",2024,"Girls","High Jump","5-4",NA
"Washington",2023,"Girls","High Jump","5-3",NA
"Washington",2022,"Girls","High Jump","5-5",NA
"Washington",2021,"Girls","High Jump",NA,NA
"Washington",2020,"Girls","High Jump",NA,NA
"Washington",2019,"Girls","High Jump","5-6",NA
"Washington",2018,"Girls","High Jump","5-4",NA
"Washington",2017,"Girls","High Jump","5-8¾",NA
"Washington",2016,"Girls","High Jump","5-6",NA
"Washington",2015,"Girls","High Jump","5-8",NA
"Washington",2014,"Girls","High Jump","5-8",NA
"Washington",2013,"Girls","High Jump","5-6",NA
"Washington",2012,"Girls","High Jump","5-4",NA
"Washington",2011,"Girls","High Jump","5-7",NA
"Washington",2010,"Girls","High Jump","5-8",NA
"Washington",2009,"Girls","High Jump","5-7",NA
"Washington",2008,"Girls","High Jump","5-5",NA
"Washington",2007,"Girls","High Jump","5-2",NA
"Washington",2006,"Girls","High Jump","5-3",NA
"Washington",2005,"Girls","High Jump","5-5",NA
"Washington",2004,"Girls","High Jump","5-6",NA
"Washington",2003,"Girls","High Jump","5-5",NA
"Washington",2002,"Girls","High Jump","5-10",NA
"Washington",2001,"Girls","High Jump","5-9",NA
"Washington",2000,"Girls","High Jump","5-6",NA
"Washington",1999,"Girls","High Jump","5-8",NA
"Washington",1998,"Girls","High Jump","5-7",NA
"Washington",1997,"Girls","High Jump","5-2",NA
"Washington",1996,"Girls","High Jump","5-5",NA
"Washington",1995,"Girls","High Jump","5-4",NA
"Washington",1994,"Girls","High Jump","5-4",NA
"Washington",1993,"Girls","High Jump","5-5",NA
"Washington",1992,"Girls","High Jump","5-7",NA
"Washington",1991,"Girls","High Jump","5-6",NA
"Washington",1990,"Girls","High Jump","5-4",NA
"Washington",1989,"Girls","High Jump","5-4",NA
"Washington",1988,"Girls","High Jump","5-7",NA
"Washington",1987,"Girls","High Jump","5-6",NA
"Washington",1986,"Girls","High Jump","5-6",NA
"Washington",1985,"Girls","High Jump","5-8",NA
"Washington",1984,"Girls","High Jump","5-7",NA
"Washington",1983,"Girls","High Jump","5-7",NA
"Washington",1982,"Girls","High Jump","5-8",NA
"Washington",1981,"Girls","High Jump","5-7",NA
"Washington",1980,"Girls","High Jump","5-4",NA
"Washington",1979,"Girls","High Jump","5-8",NA
"Washington",1978,"Girls","High Jump","5-9",NA
"Washington",1977,"Girls","High Jump","5-5",NA
"Washington",1976,"Girls","High Jump","5-6",NA
"Washington",1975,"Girls","High Jump","5-2",NA
"Washington",2024,"Girls","High Jump","5-2",NA
"Washington",2023,"Girls","High Jump","5-3",NA
"Washington",2022,"Girls","High Jump","5-3",NA
"Washington",2021,"Girls","High Jump",NA,NA
"Washington",2020,"Girls","High Jump",NA,NA
"Washington",2019,"Girls","High Jump","5-4",NA
"Washington",2018,"Girls","High Jump","5-4",NA
"Washington",2017,"Girls","High Jump","5-4",NA
"Washington",2016,"Girls","High Jump","5-4",NA
"Washington",2015,"Girls","High Jump","5-5",NA
"Washington",2014,"Girls","High Jump","5-3",NA
"Washington",2013,"Girls","High Jump","5-4",NA
"Washington",2012,"Girls","High Jump","5-4",NA
"Washington",2011,"Girls","High Jump","5-4",NA
"Washington",2010,"Girls","High Jump","5-2",NA
"Washington",2009,"Girls","High Jump","5-4",NA
"Washington",2008,"Girls","High Jump","5-7¼",NA
"Washington",2007,"Girls","High Jump","5-5",NA
"Washington",2006,"Girls","High Jump","5-2",NA
"Washington",2005,"Girls","High Jump","5-6",NA
"Washington",2004,"Girls","High Jump","5-7",NA
"Washington",2003,"Girls","High Jump","5-4",NA
"Washington",2002,"Girls","High Jump","5-4",NA
"Washington",2001,"Girls","High Jump","5-4",NA
"Washington",2000,"Girls","High Jump","5-3",NA
"Washington",1999,"Girls","High Jump","5-4",NA
"Washington",1998,"Girls","High Jump","5-4",NA
"Washington",2024,"Girls","High Jump","5-4",NA
"Washington",2023,"Girls","High Jump","5-3",NA
"Washington",2022,"Girls","High Jump","5-3",NA
"Washington",2021,"Girls","High Jump",NA,NA
"Washington",2020,"Girls","High Jump",NA,NA
"Washington",2019,"Girls","High Jump","5-5",NA
"Washington",2018,"Girls","High Jump","5-4",NA
"Washington",2017,"Girls","High Jump","5-8",NA
"Washington",2016,"Girls","High Jump","5-7",NA
"Washington",2015,"Girls","High Jump","5-4",NA
"Washington",2014,"Girls","High Jump","5-6",NA
"Washington",2013,"Girls","High Jump","5-6",NA
"Washington",2012,"Girls","High Jump","5-5",NA
"Washington",2011,"Girls","High Jump","5-5",NA
"Washington",2010,"Girls","High Jump","5-3",NA
"Washington",2009,"Girls","High Jump","5-6",NA
"Washington",2008,"Girls","High Jump","5-2",NA
"Washington",2007,"Girls","High Jump","5-4",NA
"Washington",2006,"Girls","High Jump","5-3",NA
"Washington",2005,"Girls","High Jump","5-2",NA
"Washington",2004,"Girls","High Jump","5-3",NA
"Washington",2003,"Girls","High Jump","5-2",NA
"Washington",2002,"Girls","High Jump","5-2",NA
"Washington",2001,"Girls","High Jump","5-4",NA
"Washington",2000,"Girls","High Jump","5-3",NA
"Washington",1999,"Girls","High Jump","5-0",NA
"Washington",1998,"Girls","High Jump","5-4",NA
"Washington",1997,"Girls","High Jump","5-8",NA
"Washington",1996,"Girls","High Jump","5-9",NA
"Washington",1995,"Girls","High Jump","5-9",NA
"Washington",1994,"Girls","High Jump","5-5",NA
"Washington",1993,"Girls","High Jump","5-4",NA
"Washington",1992,"Girls","High Jump","5-5",NA
"Washington",1991,"Girls","High Jump","5-3",NA
"Washington",1990,"Girls","High Jump","5-5",NA
"Washington",1989,"Girls","High Jump","5-7",NA
"Washington",1988,"Girls","High Jump","5-7",NA
"Washington",1987,"Girls","High Jump","5-4",NA
"Washington",1986,"Girls","High Jump","5-4",NA
"Washington",1985,"Girls","High Jump","5-2",NA
"Washington",1984,"Girls","High Jump","5-2",NA
"Washington",1983,"Girls","High Jump","5-6",NA
"Washington",1982,"Girls","High Jump","5-8",NA
"Washington",1981,"Girls","High Jump","5-8",NA
"Washington",1980,"Girls","High Jump","5-8",NA
"Washington",1979,"Girls","High Jump","5-10¾",NA
"Washington",1978,"Girls","High Jump","5-7",NA
"Washington",1977,"Girls","High Jump","5-8¼",NA
"Washington",1976,"Girls","High Jump","5-3",NA
"Washington",1975,"Girls","High Jump","5-7",NA
"Washington",1974,"Girls","High Jump","5-3",NA
"Washington",1973,"Girls","High Jump","5-2",NA
"Washington",2024,"Girls","High Jump","5-2",NA
"Washington",2023,"Girls","High Jump","5-2",NA
"Washington",2022,"Girls","High Jump","5-6",NA
"Washington",2021,"Girls","High Jump",NA,NA
"Washington",2020,"Girls","High Jump",NA,NA
"Washington",2019,"Girls","High Jump","5-6",NA
"Washington",2018,"Girls","High Jump","5-2",NA
"Washington",2017,"Girls","High Jump","5-2",NA
"Washington",2016,"Girls","High Jump","5-2",NA
"Washington",2015,"Girls","High Jump","5-4",NA
"Washington",2014,"Girls","High Jump","5-3",NA
"Washington",2013,"Girls","High Jump","5-6",NA
"Washington",2012,"Girls","High Jump","5-9",NA
"Washington",2011,"Girls","High Jump","5-8",NA
"Washington",2010,"Girls","High Jump","5-5",NA
"Washington",2009,"Girls","High Jump","5-3",NA
"Washington",2008,"Girls","High Jump","5-2",NA
"Washington",2007,"Girls","High Jump","5-4",NA
"Washington",2006,"Girls","High Jump","5-3",NA
"Washington",2005,"Girls","High Jump","5-2",NA
"Washington",2004,"Girls","High Jump","5-0",NA
"Washington",2003,"Girls","High Jump","5-0",NA
"Washington",2002,"Girls","High Jump","5-4",NA
"Washington",2001,"Girls","High Jump","5-2",NA
"Washington",2000,"Girls","High Jump","5-0",NA
"Washington",1999,"Girls","High Jump","5-1",NA
