"State","Year","Gender","Event","Class","Mark"
"Wisconsin",1971,"Girls","100y",NA,"11.6"
"Wisconsin",1972,"Girls","100y","A","11.1"
"Wisconsin",1972,"Girls","100y","B","11.8"
"Wisconsin",1973,"Girls","100y","A","11.4"
"Wisconsin",1973,"Girls","100y","B","11.8"
"Wisconsin",1974,"Girls","100y","A","11.23"
"Wisconsin",1974,"Girls","100y","B","11.68"
"Wisconsin",1975,"Girls","100y","A","11.6"
"Wisconsin",1975,"Girls","100y","B","11.9"
"Wisconsin",1975,"Girls","100y","C","11.7"
"Wisconsin",1976,"Girls","100y","A","11.3"
"Wisconsin",1976,"Girls","100y","B","11.4"
"Wisconsin",1976,"Girls","100y","C","11.9"
"Wisconsin",1977,"Girls","100y","A","11.6"
"Wisconsin",1977,"Girls","100y","B","11.7"
"Wisconsin",1977,"Girls","100y","C","12.2"
"Wisconsin",1978,"Girls","100y","A","11.4"
"Wisconsin",1978,"Girls","100y","B","11.6"
"Wisconsin",1978,"Girls","100y","C","11.8"
"Wisconsin",1979,"Girls","100y","A","11.64"
"Wisconsin",1979,"Girls","100y","B","11.91"
"Wisconsin",1979,"Girls","100y","C","11.64"
"Wisconsin",1980,"Girls","100m","A","12.40"
"Wisconsin",1980,"Girls","100m","B","12.49"
"Wisconsin",1980,"Girls","100m","C","12.41"
"Wisconsin",1981,"Girls","100m","A","11.84"
"Wisconsin",1981,"Girls","100m","B","12.25"
"Wisconsin",1981,"Girls","100m","B","14.79"
"Wisconsin",1981,"Girls","100m","C","12.57"
"Wisconsin",1982,"Girls","100m","A","12.21"
"Wisconsin",1982,"Girls","100m","B","12.03"
"Wisconsin",1982,"Girls","100m","C","12.61"
"Wisconsin",1983,"Girls","100m","A","12.29"
"Wisconsin",1983,"Girls","100m","B","12.53"
"Wisconsin",1983,"Girls","100m","C","12.73"
"Wisconsin",1984,"Girls","100m","A","12.12"
"Wisconsin",1984,"Girls","100m","B","12.30"
"Wisconsin",1984,"Girls","100m","C","12.55"
"Wisconsin",1985,"Girls","100m","A","12.89"
"Wisconsin",1985,"Girls","100m","B","12.92"
"Wisconsin",1985,"Girls","100m","C","13.02"
"Wisconsin",1986,"Girls","100m","A","12.36"
"Wisconsin",1986,"Girls","100m","B","12.82"
"Wisconsin",1986,"Girls","100m","C","12.20"
"Wisconsin",1987,"Girls","100m","A","12.13"
"Wisconsin",1987,"Girls","100m","B","12.97"
"Wisconsin",1987,"Girls","100m","C","13.09"
"Wisconsin",1988,"Girls","100m","A","12.06"
"Wisconsin",1988,"Girls","100m","B","12.61"
"Wisconsin",1988,"Girls","100m","C","12.59"
"Wisconsin",1989,"Girls","100m","A","12.2"
"Wisconsin",1989,"Girls","100m","B","12.71"
"Wisconsin",1989,"Girls","100m","C","12.73"
"Wisconsin",1990,"Girls","100m","A","12.49"
"Wisconsin",1990,"Girls","100m","B","13.33"
"Wisconsin",1990,"Girls","100m","C","13.67"
"Wisconsin",1991,"Girls","100m","1","12.49"
"Wisconsin",1991,"Girls","100m","2","12.76"
"Wisconsin",1991,"Girls","100m","3","12.84"
"Wisconsin",1992,"Girls","100m","1","12.04"
"Wisconsin",1992,"Girls","100m","2","12.65"
"Wisconsin",1992,"Girls","100m","3","12.84"
"Wisconsin",1993,"Girls","100m","1","12.35"
"Wisconsin",1993,"Girls","100m","2","12.85"
"Wisconsin",1993,"Girls","100m","3","12.66"
"Wisconsin",1994,"Girls","100m","1","12.50"
"Wisconsin",1994,"Girls","100m","2","12.58"
"Wisconsin",1994,"Girls","100m","3","13.07"
"Wisconsin",1995,"Girls","100m","1","12.35"
"Wisconsin",1995,"Girls","100m","2","12.59"
"Wisconsin",1995,"Girls","100m","3","12.80"
"Wisconsin",1996,"Girls","100m","1","12.43"
"Wisconsin",1996,"Girls","100m","2","12.84"
"Wisconsin",1996,"Girls","100m","3","12.64"
"Wisconsin",1997,"Girls","100m","1","12.05"
"Wisconsin",1997,"Girls","100m","2","12.71"
"Wisconsin",1997,"Girls","100m","3","12.56"
"Wisconsin",1998,"Girls","100m","1","12.27"
"Wisconsin",1998,"Girls","100m","2","12.38"
"Wisconsin",1998,"Girls","100m","3","12.48"
"Wisconsin",1999,"Girls","100m","1","12.67"
"Wisconsin",1999,"Girls","100m","2","12.90"
"Wisconsin",1999,"Girls","100m","3","13.46"
"Wisconsin",2000,"Girls","100m","1","12.65"
