"State","Year","Event","Students","df","Schools.Boys","Schools.Girls","Participation.Boys","Participation.Girls","Mark.Boys","Mark.Girls","Count.Boys","Count.Girls","Participation.Pct.Diff","Mark.Pct.Diff","Prop.Boys","Prop.Girls","Participation.Boys.Thousands","Participation.Girls.Thousands"
"Florida",1978,"100m",NA,18,378,352,12388,7980,10.5024,12.1434,654581,634643,35.5828220858896,-15.625,0.507732558500307,0.492267441499693,12.388,7.98
"Florida",1978,"1600m",NA,18,378,352,12388,7980,253.22274,289.11336,654581,634643,35.5828220858896,-14.1735374950923,0.507732558500307,0.492267441499693,12.388,7.98
"Florida",1978,"800m",NA,18,378,352,12388,7980,112.64286,133.32222,654581,634643,35.5828220858896,-18.3583406884378,0.507732558500307,0.492267441499693,12.388,7.98
"Florida",1978,"High Jump",NA,18,378,352,12388,7980,1.9558,1.524,654581,634643,35.5828220858896,22.0779220779221,0.507732558500307,0.492267441499693,12.388,7.98
"Florida",1978,"Pole Vault",NA,18,378,NA,12388,NA,3.81,NA,654581,NA,NA,NA,NA,NA,12.388,NA
"Georgia",1978,"100m",NA,19,354,300,11500,9000,10.67744,12.1434,384636,372832,21.7391304347826,-13.7295081967213,0.507791748298278,0.492208251701722,11.5,9
"Georgia",1978,"1600m",NA,19,354,300,11500,9000,256.10592,314.1672,384636,372832,21.7391304347826,-22.6708074534161,0.507791748298278,0.492208251701722,11.5,9
"Georgia",1978,"800m",NA,19,354,300,11500,9000,111.867384,138.6909,384636,372832,21.7391304347826,-23.9779594738713,0.507791748298278,0.492208251701722,11.5,9
"Georgia",1978,"High Jump",NA,19,354,300,11500,9000,1.9304,1.524,384636,372832,21.7391304347826,21.0526315789474,0.507791748298278,0.492208251701722,11.5,9
"Georgia",1978,"Pole Vault",NA,19,354,NA,11500,NA,3.81,NA,384636,NA,NA,NA,NA,NA,11.5,NA
"Illinois",1978,"100m",NA,20,691,660,29640,21800,10.65556,11.90272,438919,416771,26.4507422402159,-11.7043121149897,0.512941602683215,0.487058397316785,29.64,21.8
"Illinois",1978,"1600m",NA,20,691,660,29640,21800,247.95348,294.87972,438919,416771,26.4507422402159,-18.925421010425,0.512941602683215,0.487058397316785,29.64,21.8
"Illinois",1978,"800m",NA,20,691,660,29640,21800,109.66026,130.14078,438919,416771,26.4507422402159,-18.6763372620127,0.512941602683215,0.487058397316785,29.64,21.8
"Illinois",1978,"High Jump",NA,20,691,660,29640,21800,2.032,1.7018,438919,416771,26.4507422402159,16.25,0.512941602683215,0.487058397316785,29.64,21.8
"Illinois",1978,"Pole Vault",NA,20,691,NA,29640,NA,4.2672,NA,438919,NA,NA,NA,NA,NA,29.64,NA
"Kansas",1978,"100m",NA,21,381,380,19050,19000,10.7212,12.1434,107335,101463,0.26246719160105,-13.265306122449,0.51406143737009,0.48593856262991,19.05,19
"Kansas",1978,"1600m",NA,21,381,380,19050,19000,259.78446,304.62288,107335,101463,0.26246719160105,-17.2598545732874,0.51406143737009,0.48593856262991,19.05,19
"Kansas",1978,"800m",NA,21,381,380,19050,19000,114.333,135.41004,107335,101463,0.26246719160105,-18.4347826086957,0.51406143737009,0.48593856262991,19.05,19
"Kansas",1978,"High Jump",NA,21,381,380,19050,19000,1.9304,1.6002,107335,101463,0.26246719160105,17.1052631578947,0.51406143737009,0.48593856262991,19.05,19
"Kansas",1978,"Pole Vault",NA,21,381,NA,19050,NA,3.81,NA,107335,NA,NA,NA,NA,NA,19.05,NA
"Maryland",1978,"100m",NA,4,130,120,5855,3750,10.7212,11.9246,203680,196573,35.9521776259607,-11.2244897959184,0.508878134579878,0.491121865420122,5.855,3.75
"Maryland",1978,"1600m",NA,4,130,120,5855,3750,249.44478,296.1,203680,196573,35.9521776259607,-18.7036265100436,0.508878134579878,0.491121865420122,5.855,3.75
"Maryland",1978,"800m",NA,4,130,120,5855,3750,113.43822,133.62048,203680,196573,35.9521776259607,-17.7914110429448,0.508878134579878,0.491121865420122,5.855,3.75
"Maryland",1978,"High Jump",NA,4,130,120,5855,3750,1.9304,1.5875,203680,196573,35.9521776259607,17.7631578947368,0.508878134579878,0.491121865420122,5.855,3.75
"Maryland",1978,"Pole Vault",NA,4,130,NA,5855,NA,3.6576,NA,203680,NA,NA,NA,NA,NA,5.855,NA
"Massachusetts",1978,"100m",NA,5,NA,NA,12221,8900,10.91812,12.75604,227328,222303,27.1745356353817,-16.8336673346693,0.505587915423981,0.494412084576019,12.221,8.9
"Massachusetts",1978,"1600m",NA,5,NA,NA,12221,8900,253.67013,292.950972,227328,222303,27.1745356353817,-15.4850088183421,0.505587915423981,0.494412084576019,12.221,8.9
"Massachusetts",1978,"800m",NA,5,NA,NA,12221,8900,114.104334,131.274168,227328,222303,27.1745356353817,-15.0474862769016,0.505587915423981,0.494412084576019,12.221,8.9
"Massachusetts",1978,"High Jump",NA,5,NA,NA,12221,8900,2.0066,1.6764,227328,222303,27.1745356353817,16.4556962025317,0.505587915423981,0.494412084576019,12.221,8.9
"Massachusetts",1978,"Pole Vault",NA,5,NA,NA,12221,NA,4.1148,NA,227328,NA,NA,NA,NA,NA,12.221,NA
"Michigan",1978,"100m",NA,6,676,603,29744,25373,10.7212,11.8152,340878,326682,14.6954007530931,-10.2040816326531,0.51063275211217,0.48936724788783,29.744,25.373
"Michigan",1978,"1600m",NA,6,676,603,29744,25373,NA,298.55826,340878,326682,14.6954007530931,NA,0.51063275211217,0.48936724788783,29.744,25.373
"Michigan",1978,"800m",NA,6,676,603,29744,25373,112.44402,126.95934,340878,326682,14.6954007530931,-12.9089301503095,0.51063275211217,0.48936724788783,29.744,25.373
"Michigan",1978,"High Jump",NA,6,676,603,29744,25373,1.9431,1.6637,340878,326682,14.6954007530931,14.3790849673203,0.51063275211217,0.48936724788783,29.744,25.373
"Michigan",1978,"Pole Vault",NA,6,676,NA,29744,NA,4.1148,NA,340878,NA,NA,NA,NA,NA,29.744,NA
"Nebraska",1978,"100m",NA,7,367,365,7937,5774,10.8306,12.3622,70765,67297,27.2521103691571,-14.1414141414141,0.512559574683838,0.487440425316162,7.937,5.774
"Nebraska",1978,"1600m",NA,7,367,365,7937,5774,264.65604,317.54748,70765,67297,27.2521103691571,-19.984973703982,0.512559574683838,0.487440425316162,7.937,5.774
