"State","Year","Gender","Schools","Participation","Event","Mark","Students","df","Count","Participation.Thousands","Mark.Standard"
"Florida",1978,"Boys",378,12388,"100m",10.5024,NA,18,654581,12.388,1.23792814367074
"Florida",1978,"Boys",378,12388,"1600m",253.22274,NA,18,654581,12.388,1.04451841357519
"Florida",1978,"Boys",378,12388,"800m",112.64286,NA,18,654581,12.388,1.08105305159433
"Florida",1978,"Boys",378,12388,"High Jump",1.9558,NA,18,654581,12.388,0.96417984069045
"Florida",1978,"Boys",378,12388,"Pole Vault",3.81,NA,18,654581,12.388,0.20695153683345
"Georgia",1978,"Boys",354,11500,"100m",10.67744,NA,19,384636,11.5,0.994307873129402
"Georgia",1978,"Boys",354,11500,"1600m",256.10592,NA,19,384636,11.5,0.921456673154894
"Georgia",1978,"Boys",354,11500,"800m",111.867384,NA,19,384636,11.5,1.15549722140474
"Georgia",1978,"Boys",354,11500,"High Jump",1.9304,NA,19,384636,11.5,0.826666345027958
"Georgia",1978,"Boys",354,11500,"Pole Vault",3.81,NA,19,384636,11.5,0.20695153683345
"Illinois",1978,"Boys",691,29640,"100m",10.65556,NA,20,438919,29.64,1.02476040694707
"Illinois",1978,"Boys",691,29640,"1600m",247.95348,NA,20,438919,29.64,1.26942435296401
"Illinois",1978,"Boys",691,29640,"800m",109.66026,NA,20,438919,29.64,1.36737678163436
"Illinois",1978,"Boys",691,29640,"High Jump",2.032,NA,20,438919,29.64,1.37672032767793
"Illinois",1978,"Boys",691,29640,"Pole Vault",4.2672,NA,20,438919,29.64,0.99434229699183
"Kansas",1978,"Boys",381,19050,"100m",10.7212,NA,21,107335,19.05,0.93340280549407
"Kansas",1978,"Boys",381,19050,"1600m",259.78446,NA,21,107335,19.05,0.764446866411755
"Kansas",1978,"Boys",381,19050,"800m",114.333,NA,21,107335,19.05,0.918802937904976
"Kansas",1978,"Boys",381,19050,"High Jump",1.9304,NA,21,107335,19.05,0.826666345027958
"Kansas",1978,"Boys",381,19050,"Pole Vault",3.81,NA,21,107335,19.05,0.20695153683345
"Maryland",1978,"Boys",130,5855,"100m",10.7212,NA,4,203680,5.855,0.93340280549407
"Maryland",1978,"Boys",130,5855,"1600m",249.44478,NA,4,203680,5.855,1.20577172860869
"Maryland",1978,"Boys",130,5855,"800m",113.43822,NA,4,203680,5.855,1.00470005691699
"Maryland",1978,"Boys",130,5855,"High Jump",1.9304,NA,4,203680,5.855,0.826666345027958
"Maryland",1978,"Boys",130,5855,"Pole Vault",3.6576,NA,4,203680,5.855,-0.0555120498860095
"Massachusetts",1978,"Boys",NA,12221,"100m",10.91812,NA,5,227328,12.221,0.659330001135064
"Massachusetts",1978,"Boys",NA,12221,"1600m",253.67013,NA,5,227328,12.221,1.0254226262686
"Massachusetts",1978,"Boys",NA,12221,"800m",114.104334,NA,5,227328,12.221,0.940754423874712
"Massachusetts",1978,"Boys",NA,12221,"High Jump",2.0066,NA,5,227328,12.221,1.23920683201543
"Massachusetts",1978,"Boys",NA,12221,"Pole Vault",4.1148,NA,5,227328,12.221,0.73187871027237
"Michigan",1978,"Boys",676,29744,"100m",10.7212,NA,6,340878,29.744,0.93340280549407
"Michigan",1978,"Boys",676,29744,"1600m",NA,NA,6,340878,29.744,NA
"Michigan",1978,"Boys",676,29744,"800m",112.44402,NA,6,340878,29.744,1.10014130026366
"Michigan",1978,"Boys",676,29744,"High Jump",1.9431,NA,6,340878,29.744,0.895423092859204
"Michigan",1978,"Boys",676,29744,"Pole Vault",4.1148,NA,6,340878,29.744,0.73187871027237
"Nebraska",1978,"Boys",367,7937,"100m",10.8306,NA,7,70765,7.937,0.781140136405732
"Nebraska",1978,"Boys",367,7937,"1600m",264.65604,NA,7,70765,7.937,0.556514960184355
"Nebraska",1978,"Boys",367,7937,"800m",116.3214,NA,7,70765,7.937,0.72792045121162
"Nebraska",1978,"Boys",367,7937,"High Jump",1.8796,NA,7,70765,7.937,0.551639353702974
"Nebraska",1978,"Boys",367,7937,"Pole Vault",3.9624,NA,7,70765,7.937,0.46941512355291
"New York",1978,"Boys",637,19888,"100m",10.5,NA,8,651067,19.888,1.24126845816628
"New York",1978,"Boys",637,19888,"1600m",251.7,NA,8,651067,19.888,1.10951298020218
"New York",1978,"Boys",637,19888,"800m",114.3,NA,8,651067,19.888,0.921970872958728
"New York",1978,"Boys",637,19888,"High Jump",2.032,NA,8,651067,19.888,1.37672032767793
"New York",1978,"Boys",637,19888,"Pole Vault",4.4323,NA,8,651067,19.888,1.27867784927124
"North Carolina",1978,"Boys",305,10704,"100m",10.7212,NA,9,357525,10.704,0.93340280549407
"North Carolina",1978,"Boys",305,10704,"1600m",255.65853,NA,9,357525,10.704,0.940552460461493
"North Carolina",1978,"Boys",305,10704,"800m",114.611376,NA,9,357525,10.704,0.892079389767905
"North Carolina",1978,"Boys",305,10704,"High Jump",2.0828,NA,9,357525,10.704,1.65174731900291
