"State","Year","Event","Gender","Mark","Mark.Note"
"Kansas","1987","100m","Girls","12.31",NA
"Kansas","1988","100m","Girls","11.97",NA
"Kansas","1989","100m","Girls","12.13",NA
"Kansas","1990","100m","Girls","12.61",NA
"Kansas","1991","100m","Girls","12.52",NA
"Kansas","1992","100m","Girls","12.69",NA
"Kansas","1993","100m","Girls","12.28",NA
"Kansas","1994","100m","Girls","12.44",NA
"Kansas","1995","100m","Girls","12.29",NA
"Kansas","1996","100m","Girls","12.85",NA
"Kansas","1997","100m","Girls","12.46",NA
"Kansas","1998","100m","Girls","12.48",NA
"Kansas","1999","100m","Girls","12.51",NA
"Kansas","2000","100m","Girls","12.4",NA
"Kansas","2001","100m","Girls","12.33",NA
"Kansas","2002","100m","Girls","11.8","h"
"Kansas","2003","100m","Girls","11.95",NA
"Kansas","2004","100m","Girls","12.3",NA
"Kansas","2005","100m","Girls","12.51",NA
"Kansas","2006","100m","Girls","12.43",NA
"Kansas","2007","100m","Girls","12.27",NA
"Kansas","2008","100m","Girls","12.22",NA
"Kansas","2009","100m","Girls","12.15",NA
"Kansas","2010","100m","Girls","12.25",NA
"Kansas","2011","100m","Girls","12.62",NA
"Kansas","2012","100m","Girls","12.3",NA
"Kansas","2013","100m","Girls","12.2",NA
"Kansas","2014","100m","Girls","11.81",NA
"Kansas","2015","100m","Girls","11.73",NA
"Kansas","2016","100m","Girls","11.95",NA
"Kansas","2017","100m","Girls","11.79",NA
"Kansas","2018","100m","Girls","11.76",NA
"Kansas","2019","100m","Girls","11.69",NA
"Kansas","2021","100m","Girls","12.4",NA
"Kansas","1974","1600m","Girls","05:18.3",NA
"Kansas","1975","1600m","Girls","05:18.7",NA
"Kansas","1976","1600m","Girls","05:12.3",NA
"Kansas","1977","1600m","Girls","05:03.6",NA
"Kansas","1978","Mile","Girls","05:06.4",NA
"Kansas","1979","1600m","Girls","05:09.3",NA
"Kansas","1980","1600m","Girls","05:12.0",NA
"Kansas","1981","1600m","Girls","05:12.7",NA
"Kansas","1982","1600m","Girls","05:13.5",NA
"Kansas","1983","1600m","Girls","05:15.3",NA
"Kansas","1984","1600m","Girls","05:11.6",NA
"Kansas","1985","1600m","Girls","04:57.4",NA
"Kansas","1986","1600m","Girls","05:05.0",NA
"Kansas","1987","1600m","Girls","05:03.0",NA
"Kansas","1988","1600m","Girls","05:14.7",NA
"Kansas","1989","1600m","Girls","05:15.6",NA
"Kansas","1990","1600m","Girls","05:18.4",NA
"Kansas","1991","1600m","Girls","05:18.7",NA
"Kansas","1992","1600m","Girls","05:13.9",NA
"Kansas","1993","1600m","Girls","05:13.6",NA
"Kansas","1994","1600m","Girls","05:20.6",NA
"Kansas","1995","1600m","Girls","05:14.7",NA
"Kansas","1996","1600m","Girls","05:18.7",NA
"Kansas","1997","1600m","Girls","05:14.4",NA
"Kansas","1998","1600m","Girls","05:06.6",NA
"Kansas","1999","1600m","Girls","05:11.1",NA
"Kansas","2000","1600m","Girls","05:00.9",NA
"Kansas","2001","1600m","Girls","05:10.3",NA
"Kansas","2002","1600m","Girls","05:15.3",NA
"Kansas","2003","1600m","Girls","05:07.1",NA
"Kansas","2004","1600m","Girls","04:55.6",NA
"Kansas","2005","1600m","Girls","05:06.5",NA
"Kansas","2006","1600m","Girls","05:10.4",NA
"Kansas","2007","1600m","Girls","05:04.1",NA
"Kansas","2008","1600m","Girls","05:07.9",NA
"Kansas","2009","1600m","Girls","05:05.9",NA
"Kansas","2010","1600m","Girls","04:53.7",NA
"Kansas","2011","1600m","Girls","05:03.7",NA
"Kansas","2012","1600m","Girls","05:03.1",NA
"Kansas","2013","1600m","Girls","05:04.4",NA
"Kansas","2014","1600m","Girls","05:00.4",NA
"Kansas","2015","1600m","Girls","04:57.2",NA
"Kansas","2016","1600m","Girls","05:02.2",NA
"Kansas","2017","1600m","Girls","05:01.6",NA
"Kansas","2018","1600m","Girls","05:00.0",NA
"Kansas","2019","1600m","Girls","04:57.8",NA
"Kansas","2021","1600m","Girls","04:56.8",NA
"Kansas","1979","100m","Girls","12.4 ",NA
"Kansas","1980","100m","Girls","12.5 ",NA
"Kansas","1981","100m","Girls","12.27 ",NA
"Kansas","1982","100m","Girls","12.42 ",NA
"Kansas","1983","100m","Girls","12.49 ",NA
"Kansas","1984","100m","Girls","12.31 ",NA
"Kansas","1985","100m","Girls","12.12 ",NA
"Kansas","1986","100m","Girls","12.32 ",NA
"Kansas","1975","800m","Girls","2:21.30 ",NA
"Kansas","1976","800m","Girls","2:24.10 ",NA
"Kansas","1977","800m","Girls","2:19.30 ",NA
"Kansas","1978","880y","Girls","2:16.20 ",NA
"Kansas","1979","800m","Girls","2:25.50 ",NA
"Kansas","1980","800m","Girls","2:16.60 ",NA
"Kansas","1981","800m","Girls","2:18.33 ",NA
"Kansas","1982","800m","Girls","2:17.60 ",NA
"Kansas","1983","800m","Girls","2:16.20 ",NA
"Kansas","1984","800m","Girls","2:18.44 ",NA
"Kansas","1985","800m","Girls","2:17.24 ",NA
"Kansas","1986","800m","Girls","2:18.22 ",NA
"Kansas","1987","800m","Girls","2:22.20 ",NA
"Kansas","1988","800m","Girls","2:20.79 ",NA
"Kansas","1989","800m","Girls","2:18.60 ",NA
"Kansas","1990","800m","Girls","2:21.00 ",NA
"Kansas","1991","800m","Girls","2:17.74 ",NA
"Kansas","1992","800m","Girls","2:20.60 ",NA
"Kansas","1993","800m","Girls","2:19.47 ",NA
