"Year","State","Gender","Event","Mark"
"2021","Massachusetts","Boys","800m","1:53.04"
"2021","Massachusetts","Boys","100m","10.67"
"2019","Massachusetts","Boys","Mile","4:17.42"
"2019","Massachusetts","Boys","800m","1:54.41"
"2019","Massachusetts","Boys","Pole Vault","13'06.00"
"2019","Massachusetts","Boys","100m","10.74"
"2019","Massachusetts","Girls","Pole Vault","11'06.00"
"2019","Massachusetts","Girls","Mile","4:55.16"
"2019","Massachusetts","Girls","800m","2:08.41"
"2019","Massachusetts","Girls","High Jump","5'08.00"
"2019","Massachusetts","Girls","100m","11.93"
"2019","Massachusetts","Boys","High Jump","6'08.00"
"2018","Massachusetts","Boys","Mile","4:14.09"
"2018","Massachusetts","Girls","100m","12.09"
"2018","Massachusetts","Girls","800m","2:07.27"
"2018","Massachusetts","Girls","Pole Vault","11'03.00"
"2018","Massachusetts","Girls","Mile","4:51.96"
"2018","Massachusetts","Boys","800m","1:54.61"
"2018","Massachusetts","Boys","Pole Vault","13'03.00"
"2018","Massachusetts","Girls","High Jump","5'08.00"
"2018","Massachusetts","Boys","100m","10.70"
"2018","Massachusetts","Boys","High Jump","6'10.00"
"2017","Massachusetts","Girls","800m","2:10.80"
"2017","Massachusetts","Boys","100m","10.63"
"2017","Massachusetts","Girls","100m","12.04"
"2017","Massachusetts","Boys","Mile","4:14.44"
"2017","Massachusetts","Girls","Pole Vault","11'03.00"
"2017","Massachusetts","Girls","High Jump","5'06.00"
"2017","Massachusetts","Girls","Mile","4:48.88"
"2017","Massachusetts","Boys","High Jump","6'08.00"
"2017","Massachusetts","Boys","800m","1:54.50"
"2017","Massachusetts","Boys","Pole Vault","16'07.00"
"2016","Massachusetts","Boys","Pole Vault","15'00.00"
"2016","Massachusetts","Girls","100m","11.89"
"2016","Massachusetts","Boys","High Jump","6'08.00"
"2016","Massachusetts","Girls","Mile","4:53.94"
"2016","Massachusetts","Boys","100m","10.77"
"2016","Massachusetts","Girls","800m","2:11.55"
"2016","Massachusetts","Boys","Mile","4:17.60"
"2016","Massachusetts","Girls","High Jump","5'06.00"
"2016","Massachusetts","Girls","Pole Vault","12'04.00"
"2016","Massachusetts","Boys","800m","1:51.17"
"2015","Massachusetts","Boys","800m","1:52.72"
"2015","Massachusetts","Boys","High Jump","6'06.00"
"2015","Massachusetts","Boys","Pole Vault","13'09.00"
"2015","Massachusetts","Girls","100m","11.97"
"2015","Massachusetts","Girls","Mile","4:53.82"
"2015","Massachusetts","Girls","Pole Vault","11'09.00"
"2015","Massachusetts","Boys","Mile","4:15.85"
"2015","Massachusetts","Girls","High Jump","5'09.00"
"2015","Massachusetts","Girls","800m","2:10.27"
"2015","Massachusetts","Boys","100m","10.69"
"2014","Massachusetts","Boys","100m","10.68"
"2014","Massachusetts","Girls","100m","12.08"
"2014","Massachusetts","Boys","Pole Vault","13'09.00"
"2014","Massachusetts","Girls","800m","2:07.14"
"2014","Massachusetts","Boys","800m","1:52.97"
"2014","Massachusetts","Girls","Mile","4:56.20"
"2014","Massachusetts","Girls","Pole Vault","11'09.00"
"2014","Massachusetts","Boys","High Jump","6'08.00"
"2014","Massachusetts","Girls","High Jump","5'06.00"
"2014","Massachusetts","Boys","Mile","4:15.42"
"2013","Massachusetts","Boys","Mile","4:20.69"
"2013","Massachusetts","Girls","100m","12.12"
"2013","Massachusetts","Boys","800m","1:53.53"
"2013","Massachusetts","Girls","Mile","5:00.73"
"2013","Massachusetts","Boys","100m","10.72"
"2013","Massachusetts","Boys","High Jump","6'06.00"
"2013","Massachusetts","Girls","High Jump","5'06.00"
"2013","Massachusetts","Boys","Pole Vault","14'00.00"
"2013","Massachusetts","Girls","800m","2:09.29"
"2013","Massachusetts","Girls","Pole Vault","11'00.00"
"2012","Massachusetts","Boys","High Jump","6'08.00"
"2012","Massachusetts","Girls","100m","12.31"
