"State","Year","Gender","Event","Class","Mark"
"Ohio","2001","Boys","100m","Division I","10.79"
"Ohio","2001","Boys","Pole Vault","Division I","15'00.00"""
"Ohio","2001","Boys","800m","Division I","1:48.93"
"Ohio","2001","Boys","High Jump","Division I","6'07.00"""
"Ohio","2001","Girls","100m","Division I","11.68"
"Ohio","2001","Girls","800m","Division I","2:10.05"
"Ohio","2001","Girls","High Jump","Division I","5'09.00"""
"Ohio","2001","Boys","100m","Division II","11.28"
"Ohio","2001","Boys","Pole Vault","Division II","15'03.00"""
"Ohio","2001","Boys","800m","Division II","1:53.33"
"Ohio","2001","Boys","High Jump","Division II","6'05.00"""
"Ohio","2001","Girls","100m","Division II","12.71"
"Ohio","2001","Girls","800m","Division II","2:12.05"
"Ohio","2001","Girls","High Jump","Division II","5'07.00"""
"Ohio","2001","Boys","100m","Division III","11.14"
"Ohio","2001","Boys","Pole Vault","Division III","14'09.00"""
"Ohio","2001","Boys","800m","Division III","1:53.76"
"Ohio","2001","Boys","High Jump","Division III","6'08.00"""
"Ohio","2001","Girls","100m","Division III","12.34"
"Ohio","2001","Girls","800m","Division III","2:14.06"
"Ohio","2001","Girls","High Jump","Division III","5'04.00"""
"Ohio","2002","Boys","100m","Division I","10.83"
"Ohio","2002","Boys","1600m","Division I","4:14.37"
"Ohio","2002","Boys","800m","Division I","1:54.55"
"Ohio","2002","Boys","High Jump","Division I","6'08.00"""
"Ohio","2002","Boys","Pole Vault","Division I","15'06.00"""
"Ohio","2002","Girls","100m","Division I","12.02"
"Ohio","2002","Girls","1600m","Division I","4:51.39"
"Ohio","2002","Girls","800m","Division I","2:11.24"
"Ohio","2002","Girls","High Jump","Division I","5'08.00"""
"Ohio","2002","Girls","Pole Vault","Division I","11'00.00"""
"Ohio","2002","Boys","100m","Division II","10.96"
"Ohio","2002","Boys","1600m","Division II","4:16.07"
"Ohio","2002","Boys","800m","Division II","1:53.04"
"Ohio","2002","Boys","High Jump","Division II","6'06.00"""
"Ohio","2002","Boys","Pole Vault","Division II","15'09.00"""
"Ohio","2002","Girls","100m","Division II","12.35"
