"State","Year","Event","Gender","Class","Mark","Mark.Note","Mark.raw","Event.raw"
"California",1915,"100m","Boys",NA,11.1588,NA,"10.2","100y"
"California",1915,"100m","Boys",NA,11.2682,NA,"10.3","100y"
"California",1915,"800m","Boys",NA,119.10516,NA,"1:59.8","880y"
"California",1915,"800m","Boys",NA,NA,NA,"NT","880y"
"California",1915,"1600m","Boys",NA,268.434,NA,"4:30.0","Mile"
"California",1915,"1600m","Boys",NA,NA,NA,"NT","Mile"
"California",1915,"High Jump","Boys",NA,1.7526,NA,"5-09.50","High Jump"
"California",1915,"High Jump","Boys",NA,NA,NA,"NM","High Jump"
"California",1915,"Pole Vault","Boys",NA,3.5052,NA,"11-06.00","Pole Vault"
"California",1915,"Pole Vault","Boys",NA,NA,NA,"NM","Pole Vault"
"California",1916,"100m","Boys",NA,11.3776,NA,"10.4","100y"
"California",1916,"100m","Boys",NA,NA,NA,"NT","100y"
"California",1916,"800m","Boys",NA,122.08776,NA,"2:02.8","880y"
"California",1916,"800m","Boys",NA,122.2866,NA,"2:03.0","880y"
"California",1916,"800m","Boys",NA,NA,NA,"NT","880y"
"California",1916,"1600m","Boys",NA,278.97252,NA,"4:40.6","Mile"
"California",1916,"1600m","Boys",NA,279.17136,NA,"4:40.8","Mile"
"California",1916,"1600m","Boys",NA,NA,NA,"NT","Mile"
"California",1916,"High Jump","Boys",NA,1.7272,NA,"5-08.50","High Jump"
"California",1916,"High Jump","Boys",NA,NA,NA,"NM","High Jump"
"California",1916,"Pole Vault","Boys",NA,3.5814,NA,"11-09.00","Pole Vault"
"California",1916,"Pole Vault","Boys",NA,NA,NA,"NM","Pole Vault"
"California",1917,"100m","Boys",NA,10.94,NA,"10.0","100y"
"California",1917,"100m","Boys",NA,11.2682,NA,"10.3","100y"
"California",1917,"800m","Boys",NA,121.2924,NA,"2:02.0","880y"
"California",1917,"800m","Boys",NA,NA,NA,"NT","880y"
"California",1917,"1600m","Boys",NA,275.98992,NA,"4:37.6","Mile"
"California",1917,"High Jump","Boys",NA,1.7526,NA,"5-09.25","High Jump"
"California",1917,"High Jump","Boys",NA,NA,NA,"NM","High Jump"
"California",1917,"Pole Vault","Boys",NA,3.3528,NA,"11-00.00","Pole Vault"
"California",1918,"100m","Boys",NA,11.1588,NA,"10.2","100y"
"California",1918,"800m","Boys",NA,122.08776,NA,"2:02.8","880y"
"California",1918,"800m","Boys",NA,122.2866,NA,"2:03.0","880y"
"California",1918,"800m","Boys",NA,NA,NA,"NT","880y"
"California",1918,"1600m","Boys",NA,NA,NA,"NT","Mile"
"California",1918,"High Jump","Boys",NA,1.8034,NA,"5-11.50","High Jump"
"California",1918,"High Jump","Boys",NA,NA,NA,"NM","High Jump"
"California",1918,"Pole Vault","Boys",NA,3.5052,NA,"11-06.00","Pole Vault"
"California",1918,"Pole Vault","Boys",NA,NA,NA,"NM","Pole Vault"
"California",1919,"100m","Boys",NA,11.3776,NA,"10.4","100y"
"California",1919,"800m","Boys",NA,127.45644,NA,"2:08.2","880y"
"California",1919,"800m","Boys",NA,NA,NA,"NT","880y"
"California",1919,"1600m","Boys",NA,285.3354,NA,"4:47.0","Mile"
"California",1919,"1600m","Boys",NA,NA,NA,"NT","Mile"
"California",1919,"High Jump","Boys",NA,1.6764,NA,"5-06.00","High Jump"
"California",1919,"High Jump","Boys",NA,NA,NA,"NM","High Jump"
"California",1919,"Pole Vault","Boys",NA,3.2004,NA,"10-06.00","Pole Vault"
"California",1919,"Pole Vault","Boys",NA,NA,NA,"NM","Pole Vault"
"California",1920,"100m","Boys",NA,10.94,NA,"10.0","100y"
"California",1920,"100m","Boys",NA,11.0494,NA,"10.1","100y"
"California",1920,"100m","Boys",NA,11.1588,NA,"10.2","100y"
"California",1920,"800m","Boys",NA,118.70748,NA,"1:59.4","880y"
"California",1920,"800m","Boys",NA,NA,NA,"NT","880y"
"California",1920,"1600m","Boys",NA,274.69746,NA,"4:36.3","Mile"
"California",1920,"1600m","Boys",NA,NA,NA,"NT","Mile"
"California",1920,"High Jump","Boys",NA,1.8288,NA,"6-00.00","High Jump"
"California",1920,"High Jump","Boys",NA,NA,NA,"NM","High Jump"
"California",1920,"Pole Vault","Boys",NA,3.6068,NA,"11-10.00","Pole Vault"
"California",1920,"Pole Vault","Boys",NA,3.5814,NA,"11-09.00","Pole Vault"
"California",1920,"Pole Vault","Boys",NA,NA,NA,"NM","Pole Vault"
"California",1920,"Pole Vault","Boys",NA,3.429,NA,"11-03.50","Pole Vault"
"California",1921,"100m","Boys",NA,11.1588,NA,"10.2","100y"
"California",1921,"800m","Boys",NA,118.50864,NA,"1:59.2","880y"
"California",1921,"800m","Boys",NA,NA,NA,"NT","880y"
"California",1921,"1600m","Boys",NA,268.83168,NA,"4:30.4","Mile"
"California",1921,"1600m","Boys",NA,NA,NA,"NT","Mile"
"California",1921,"High Jump","Boys",NA,1.8288,NA,"6-00.50","High Jump"
"California",1921,"High Jump","Boys",NA,NA,NA,"NM","High Jump"
"California",1921,"High Jump","Boys",NA,1.7526,NA,"5-09.75","High Jump"
"California",1921,"Pole Vault","Boys",NA,3.6576,NA,"12-00.00","Pole Vault"
"California",1921,"Pole Vault","Boys",NA,NA,NA,"NM","Pole Vault"
"California",1922,"100m","Boys",NA,11.3776,NA,"10.4","100y"
"California",1922,"100m","Boys",NA,11.487,NA,"10.5","100y"
"California",1922,"100m","Boys",NA,11.7058,NA,"10.7","100y"
"California",1922,"800m","Boys",NA,123.87732,NA,"2:04.6","880y"
"California",1922,"800m","Boys",NA,NA,NA,"NT","880y"
"California",1922,"1600m","Boys",NA,278.376,NA,"4:40.0","Mile"
"California",1922,"1600m","Boys",NA,278.47542,NA,"4:40.1","Mile"
