"State","Year","Gender","Event","Mark"
"Florida",1978,"Boys","100m",10.5024
"Florida",1978,"Boys","1600m",253.22274
"Florida",1978,"Boys","800m",112.64286
"Florida",1978,"Boys","High Jump",1.9558
"Florida",1978,"Boys","Pole Vault",3.81
"Florida",1978,"Girls","100m",12.1434
"Florida",1978,"Girls","1600m",289.11336
"Florida",1978,"Girls","800m",133.32222
"Florida",1978,"Girls","High Jump",1.524
"Florida",1979,"Boys","100m",10.6118
"Florida",1979,"Boys","1600m",251.63202
"Florida",1979,"Boys","800m",113.73648
"Florida",1979,"Boys","High Jump",1.9812
"Florida",1979,"Boys","Pole Vault",3.6576
"Florida",1979,"Girls","100m",12.1434
"Florida",1979,"Girls","1600m",296.47044
"Florida",1979,"Girls","800m",133.91874
"Florida",1979,"Girls","High Jump",1.56845
"Florida",1980,"Boys","100m",10.67744
"Florida",1980,"Boys","1600m",247.535916
"Florida",1980,"Boys","800m",112.04634
"Florida",1980,"Boys","High Jump",1.9304
"Florida",1980,"Boys","Pole Vault",4.1148
"Florida",1980,"Girls","100m",12.31844
"Florida",1980,"Girls","1600m",289.66017
"Florida",1980,"Girls","800m",132.616338
"Florida",1980,"Girls","High Jump",1.5748
"Florida",1981,"Boys","100m",10.7212
"Florida",1981,"Boys","1600m",250.93608
"Florida",1981,"Boys","800m",115.02894
"Florida",1981,"Boys","High Jump",1.8796
"Florida",1981,"Boys","Pole Vault",3.81
"Florida",1981,"Girls","100m",11.7058
"Florida",1981,"Girls","1600m",293.09016
"Florida",1981,"Girls","800m",134.11758
"Florida",1981,"Girls","High Jump",1.5748
"Florida",1982,"Boys","100m",10.7212
"Florida",1982,"Boys","1600m",247.85406
"Florida",1982,"Boys","800m",113.73648
"Florida",1982,"Boys","High Jump",1.9304
"Florida",1982,"Boys","Pole Vault",3.8735
"Florida",1982,"Girls","100m",11.9246
"Florida",1982,"Girls","1600m",296.56986
"Florida",1982,"Girls","800m",133.12338
"Florida",1982,"Girls","High Jump",1.55575
"Florida",1983,"Boys","100m",10.5024
"Florida",1983,"Boys","1600m",247.0587
"Florida",1983,"Boys","800m",112.74228
"Florida",1983,"Boys","High Jump",1.9812
"Florida",1983,"Boys","Pole Vault",3.5052
"Florida",1983,"Girls","100m",11.9246
"Florida",1983,"Girls","1600m",295.47624
