"Label (Grouping)","New York!!Count","New York!!Percent"
"SEX AND AGE","",""
"    Total population","20,201,249","100.0%"
"        Under 5 years","1,060,610","5.3%"
"        5 to 9 years","1,128,030","5.6%"
"        10 to 14 years","1,191,583","5.9%"
"        15 to 19 years","1,276,802","6.3%"
"        20 to 24 years","1,391,913","6.9%"
"        25 to 29 years","1,482,376","7.3%"
"        30 to 34 years","1,473,580","7.3%"
"        35 to 39 years","1,339,862","6.6%"
"        40 to 44 years","1,224,791","6.1%"
"        45 to 49 years","1,203,407","6.0%"
"        50 to 54 years","1,316,621","6.5%"
"        55 to 59 years","1,389,805","6.9%"
"        60 to 64 years","1,313,403","6.5%"
"        65 to 69 years","1,089,396","5.4%"
"        70 to 74 years","879,833","4.4%"
"        75 to 79 years","594,264","2.9%"
"        80 to 84 years","403,121","2.0%"
"        85 years and over","441,852","2.2%"
"        Selected Age Categories","",""
"            16 years and over","16,579,853","82.1%"
"            18 years and over","16,088,135","79.6%"
"            21 years and over","15,257,108","75.5%"
"            62 years and over","4,170,158","20.6%"
"            65 years and over","3,408,466","16.9%"
"    Male population","9,770,361","100.0%"
"        Under 5 years","541,415","5.5%"
"        5 to 9 years","576,640","5.9%"
"        10 to 14 years","610,759","6.3%"
"        15 to 19 years","651,067","6.7%"
"        20 to 24 years","697,120","7.1%"
"        25 to 29 years","730,854","7.5%"
"        30 to 34 years","726,697","7.4%"
"        35 to 39 years","657,626","6.7%"
"        40 to 44 years","594,868","6.1%"
"        45 to 49 years","580,744","5.9%"
"        50 to 54 years","632,984","6.5%"
"        55 to 59 years","666,274","6.8%"
"        60 to 64 years","625,023","6.4%"
"        65 to 69 years","509,303","5.2%"
"        70 to 74 years","396,876","4.1%"
"        75 to 79 years","256,499","2.6%"
"        80 to 84 years","163,822","1.7%"
"        85 years and over","151,790","1.6%"
"        Selected Age Categories","",""
"            16 years and over","7,918,043","81.0%"
"            18 years and over","7,666,027","78.5%"
"            21 years and over","7,244,885","74.2%"
"            62 years and over","1,839,302","18.8%"
"            65 years and over","1,478,290","15.1%"
"    Female population","10,430,888","100.0%"
"        Under 5 years","519,195","5.0%"
"        5 to 9 years","551,390","5.3%"
"        10 to 14 years","580,824","5.6%"
"        15 to 19 years","625,735","6.0%"
"        20 to 24 years","694,793","6.7%"
"        25 to 29 years","751,522","7.2%"
"        30 to 34 years","746,883","7.2%"
"        35 to 39 years","682,236","6.5%"
"        40 to 44 years","629,923","6.0%"
"        45 to 49 years","622,663","6.0%"
"        50 to 54 years","683,637","6.6%"
"        55 to 59 years","723,531","6.9%"
"        60 to 64 years","688,380","6.6%"
"        65 to 69 years","580,093","5.6%"
"        70 to 74 years","482,957","4.6%"
"        75 to 79 years","337,765","3.2%"
"        80 to 84 years","239,299","2.3%"
