"Label (Grouping)","Washington!!Count","Washington!!Percent"
"SEX AND AGE","",""
"    Total population","7,705,281","100.0%"
"        Under 5 years","437,231","5.7%"
"        5 to 9 years","473,102","6.1%"
"        10 to 14 years","488,435","6.3%"
"        15 to 19 years","473,975","6.2%"
"        20 to 24 years","493,488","6.4%"
"        25 to 29 years","555,372","7.2%"
"        30 to 34 years","579,658","7.5%"
"        35 to 39 years","561,787","7.3%"
"        40 to 44 years","495,541","6.4%"
"        45 to 49 years","464,016","6.0%"
"        50 to 54 years","464,513","6.0%"
"        55 to 59 years","487,033","6.3%"
"        60 to 64 years","478,702","6.2%"
"        65 to 69 years","425,527","5.5%"
"        70 to 74 years","340,354","4.4%"
"        75 to 79 years","221,303","2.9%"
"        80 to 84 years","134,286","1.7%"
"        85 years and over","130,958","1.7%"
"        Selected Age Categories","",""
"            16 years and over","6,211,795","80.6%"
"            18 years and over","6,024,689","78.2%"
"            21 years and over","5,731,918","74.4%"
"            62 years and over","1,535,693","19.9%"
"            65 years and over","1,252,428","16.3%"
"    Male population","3,843,772","100.0%"
"        Under 5 years","223,365","5.8%"
"        5 to 9 years","242,459","6.3%"
"        10 to 14 years","250,103","6.5%"
"        15 to 19 years","242,737","6.3%"
"        20 to 24 years","257,256","6.7%"
"        25 to 29 years","286,847","7.5%"
"        30 to 34 years","295,624","7.7%"
"        35 to 39 years","285,188","7.4%"
"        40 to 44 years","249,672","6.5%"
"        45 to 49 years","233,057","6.1%"
"        50 to 54 years","231,982","6.0%"
"        55 to 59 years","240,011","6.2%"
"        60 to 64 years","232,091","6.0%"
"        65 to 69 years","202,394","5.3%"
"        70 to 74 years","160,050","4.2%"
"        75 to 79 years","102,395","2.7%"
"        80 to 84 years","59,387","1.5%"
"        85 years and over","49,154","1.3%"
"        Selected Age Categories","",""
"            16 years and over","3,079,172","80.1%"
"            18 years and over","2,983,509","77.6%"
"            21 years and over","2,832,872","73.7%"
"            62 years and over","710,277","18.5%"
"            65 years and over","573,380","14.9%"
"    Female population","3,861,509","100.0%"
"        Under 5 years","213,866","5.5%"
"        5 to 9 years","230,643","6.0%"
"        10 to 14 years","238,332","6.2%"
"        15 to 19 years","231,238","6.0%"
"        20 to 24 years","236,232","6.1%"
"        25 to 29 years","268,525","7.0%"
"        30 to 34 years","284,034","7.4%"
"        35 to 39 years","276,599","7.2%"
"        40 to 44 years","245,869","6.4%"
"        45 to 49 years","230,959","6.0%"
"        50 to 54 years","232,531","6.0%"
"        55 to 59 years","247,022","6.4%"
"        60 to 64 years","246,611","6.4%"
"        65 to 69 years","223,133","5.8%"
"        70 to 74 years","180,304","4.7%"
"        75 to 79 years","118,908","3.1%"
"        80 to 84 years","74,899","1.9%"
"        85 years and over","81,804","2.1%"
"        Selected Age Categories","",""
"            16 years and over","3,132,623","81.1%"
"            18 years and over","3,041,180","78.8%"
"            21 years and over","2,899,046","75.1%"
"            62 years and over","825,416","21.4%"
"            65 years and over","679,048","17.6%"
"MEDIAN AGE BY SEX","",""
"    Both sexes","38.1","(X)"
"    Male","37.1","(X)"
"    Female","39.1","(X)"
"RACE","",""
"    Total population","7,705,281","100.0%"
"        One Race","6,868,622","89.1%"
"            White","5,130,920","66.6%"
"            Black or African American","307,565","4.0%"
"            American Indian and Alaska Native","121,468","1.6%"
"            Asian","730,596","9.5%"
"            Native Hawaiian and Other Pacific Islander","64,933","0.8%"
"            Some Other Race","513,140","6.7%"
"        Two or More Races","836,659","10.9%"
"TOTAL RACES TALLIED [1]","",""
"    Total races tallied","8,616,552","111.8%"
"        White alone or in combination with one or more other races","5,912,348","76.7%"
"        Black or African American alone or in combination with one or more other races","446,240","5.8%"
"        American Indian and Alaska Native alone or in combination with one or more other races","313,633","4.1%"
"        Asian alone or in combination with one or more other races","939,846","12.2%"
"        Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","114,189","1.5%"
"        Some Other Race alone or in combination with one or more other races","890,296","11.6%"
"HISPANIC OR LATINO","",""
"    Total population","7,705,281","100.0%"
"        Hispanic or Latino (of any race)","1,059,213","13.7%"
"        Not Hispanic or Latino","6,646,068","86.3%"
"HISPANIC OR LATINO BY RACE","",""
"    Total population","7,705,281","100.0%"
"        Hispanic or Latino","1,059,213","13.7%"
"            White alone","212,100","2.8%"
"            Black or African American alone","11,395","0.1%"
"            American Indian and Alaska Native alone","30,277","0.4%"
"            Asian alone","7,534","0.1%"
"            Native Hawaiian and Other Pacific Islander alone","2,443","0.0%"
"            Some Other Race alone","469,919","6.1%"
"            Two or More Races","325,545","4.2%"
"        Not Hispanic or Latino","6,646,068","86.3%"
"            White alone","4,918,820","63.8%"
"            Black or African American alone","296,170","3.8%"
"            American Indian and Alaska Native alone","91,191","1.2%"
"            Asian alone","723,062","9.4%"
"            Native Hawaiian and Other Pacific Islander alone","62,490","0.8%"
"            Some Other Race alone","43,221","0.6%"
"            Two or More Races","511,114","6.6%"
"RELATIONSHIP","",""
"    Total population","7,705,281","100.0%"
"        In households","7,545,074","97.9%"
"            Householder","2,974,666","38.6%"
"            Opposite-sex spouse","1,422,103","18.5%"
"            Same-sex spouse","21,653","0.3%"
"            Opposite-sex unmarried partner","225,352","2.9%"
"            Same-sex unmarried partner","13,688","0.2%"
"            Child [2]","2,078,188","27.0%"
"                Under 18 years","1,494,202","19.4%"
"            Grandchild","138,337","1.8%"
"                Under 18 years","106,873","1.4%"
"            Other relatives","330,268","4.3%"
"            Nonrelatives","340,819","4.4%"
"        In group quarters","160,207","2.1%"
"            Institutionalized population:","55,485","0.7%"
"                Male","35,397","0.5%"
"                Female","20,088","0.3%"
"            Noninstitutionalized population:","104,722","1.4%"
"                Male","60,094","0.8%"
"                Female","44,628","0.6%"
"HOUSEHOLDS BY TYPE","",""
"    Total households","2,974,692","100.0%"
"        Married couple household","1,443,783","48.5%"
"            With own children under 18 [3]","562,912","18.9%"
"        Cohabiting couple household","239,047","8.0%"
"            With own children under 18 [3]","68,050","2.3%"
"        Male householder, no spouse or partner present:","564,818","19.0%"
"            Living alone","380,381","12.8%"
"                65 years and over","106,900","3.6%"
"            With own children under 18 [3]","44,457","1.5%"
"        Female householder, no spouse or partner present:","727,044","24.4%"
"            Living alone","418,936","14.1%"
"                65 years and over","199,705","6.7%"
"            With own children under 18 [3]","118,106","4.0%"
"        Households with individuals under 18 years","885,429","29.8%"
"        Households with individuals 65 years and over","883,643","29.7%"
"HOUSING OCCUPANCY","",""
"    Total housing units","3,202,241","100.0%"
"        Occupied housing units","2,974,692","92.9%"
"        Vacant housing units","227,549","7.1%"
"            For rent","61,468","1.9%"
"            Rented, not occupied","7,086","0.2%"
"            For sale only","19,198","0.6%"
"            Sold, not occupied","9,327","0.3%"
"            For seasonal, recreational, or occasional use","83,332","2.6%"
"            All other vacants","47,138","1.5%"
