"df","Gender","State","Count"
"1","Total population","Alabama",338475
"1","Boys","Alabama",170119
"1","Girls","Alabama",168356
"2","Total population","California",2644071
"2","Boys","California",1353246
"2","Girls","California",1290825
"3","Total population","Kentucky",296815
"3","Boys","Kentucky",151497
"3","Girls","Kentucky",145318
"4","Total population","Maryland",400253
"4","Boys","Maryland",203680
"4","Girls","Maryland",196573
"5","Total population","Massachusetts",449631
"5","Boys","Massachusetts",227328
"5","Girls","Massachusetts",222303
"6","Total population","Michigan",667560
"6","Boys","Michigan",340878
"6","Girls","Michigan",326682
"7","Total population","Nebraska",138062
"7","Boys","Nebraska",70765
"7","Girls","Nebraska",67297
"8","Total population","New York",1276802
"8","Boys","New York",651067
"8","Girls","New York",625735
"9","Total population","North Carolina",700316
"9","Boys","North Carolina",357525
"9","Girls","North Carolina",342791
"10","Total population","Ohio",777343
"10","Boys","Ohio",396939
"10","Girls","Ohio",380404
"11","Total population","Oklahoma",275687
"11","Boys","Oklahoma",141041
"11","Girls","Oklahoma",134646
"12","Total population","Oregon",255559
"12","Boys","Oregon",130206
"12","Girls","Oregon",125353
"13","Total population","Rhode Island",77125
"13","Boys","Rhode Island",38755
"13","Girls","Rhode Island",38370
"14","Total population","Tennessee",452245
"14","Boys","Tennessee",230020
"14","Girls","Tennessee",222225
"15","Total population","Washington",473975
"15","Boys","Washington",242737
"15","Girls","Washington",231238
"16","Total population","Wisconsin",386233
"16","Boys","Wisconsin",197252
"16","Girls","Wisconsin",188981
"17","Total population","Wyoming",38415
"17","Boys","Wyoming",19963
"17","Girls","Wyoming",18452
"18","Total population","Florida",1289224
"18","Boys","Florida",654581
"18","Girls","Florida",634643
"19","Total population","Georgia",757468
"19","Boys","Georgia",384636
"19","Girls","Georgia",372832
"20","Total population","Illinois",855690
"20","Boys","Illinois",438919
"20","Girls","Illinois",416771
"21","Total population","Kansas",208798
"21","Boys","Kansas",107335
"21","Girls","Kansas",101463
