"State","Year","Gender","Schools","Participation","Event","Mark","Participation.Thousands","Mark.Standard"
"California",1979,"Boys",866,47306,"100m",10.49146,47.306,1.23116451213419
"California",1979,"Boys",866,47306,"1600m",251.43318,47.306,1.12149393439082
"California",1979,"Boys",866,47306,"800m",109.56084,47.306,1.368771681596
"California",1979,"Boys",866,47306,"High Jump",2.2098,47.306,1.79180364287323
"California",1979,"Boys",866,47306,"Pole Vault",4.7244,47.306,0.912693219419933
"Florida",1979,"Boys",319,10089,"100m",10.6118,10.089,1.06443333203466
"Florida",1979,"Boys",319,10089,"1600m",251.63202,10.089,1.11302360389636
"Florida",1979,"Boys",319,10089,"800m",113.73648,10.089,0.968948407364166
"Florida",1979,"Boys",319,10089,"High Jump",2.1336,10.089,1.38228840501403
"Florida",1979,"Boys",319,10089,"Pole Vault",4.4196,10.089,0.363038742692813
"Georgia",1979,"Boys",360,12000,"100m",10.62274,12,1.04927595202561
"Georgia",1979,"Boys",360,12000,"1600m",256.0065,12,0.926676333018161
"Georgia",1979,"Boys",360,12000,"800m",114.73068,12,0.87375238968992
"Georgia",1979,"Boys",360,12000,"High Jump",2.0828,12,1.10927824644123
"Georgia",1979,"Boys",360,12000,"Pole Vault",3.9624,12,-0.461442972397867
"Illinois",1979,"Boys",625,26875,"100m",10.40394,26.875,1.35242355220657
"Illinois",1979,"Boys",625,26875,"1600m",248.84826,26.875,1.23160823081885
"Illinois",1979,"Boys",625,26875,"800m",112.94112,26.875,1.04510522150356
"Illinois",1979,"Boys",625,26875,"High Jump",2.159,26.875,1.51879348430043
"Illinois",1979,"Boys",625,26875,"Pole Vault",4.65455,26.875,0.786730735169968
"Kansas",1979,"Boys",381,19050,"100m",10.79778,19.05,0.806757871880841
"Kansas",1979,"Boys",381,19050,"1600m",259.2,19.05,0.790637304482307
"Kansas",1979,"Boys",381,19050,"800m",116.3,19.05,0.723487840850103
"Kansas",1979,"Boys",381,19050,"High Jump",2.032,19.05,0.836268087868433
"Kansas",1979,"Boys",381,19050,"Pole Vault",4.1148,19.05,-0.186615734034308
"Maryland",1979,"Boys",130,5905,"100m",10.6118,5.905,1.06443333203466
"Maryland",1979,"Boys",130,5905,"1600m",253.81926,5.905,1.01984996845726
"Maryland",1979,"Boys",130,5905,"800m",112.04634,5.905,1.13078163741038
"Maryland",1979,"Boys",130,5905,"High Jump",2.0574,5.905,0.972773167154831
"Maryland",1979,"Boys",130,5905,"Pole Vault",4.1148,5.905,-0.186615734034308
"Massachusetts",1979,"Boys",240,11236,"100m",11.29008,11.236,0.124675771473673
"Massachusetts",1979,"Boys",240,11236,"1600m",259.008984,11.236,0.798774342551762
"Massachusetts",1979,"Boys",240,11236,"800m",114.104334,11.236,0.933725880824696
"Massachusetts",1979,"Boys",240,11236,"High Jump",2.032,11.236,0.836268087868433
"Massachusetts",1979,"Boys",240,11236,"Pole Vault",3.9624,11.236,-0.461442972397867
"Michigan",1979,"Boys",657,28908,"100m",10.8306,28.908,0.761285731853695
"Michigan",1979,"Boys",657,28908,"1600m",253.22274,28.908,1.04526095994065
"Michigan",1979,"Boys",657,28908,"800m",111.74808,28.908,1.15934044271266
"Michigan",1979,"Boys",657,28908,"High Jump",2.1336,28.908,1.38228840501403
"Michigan",1979,"Boys",657,28908,"Pole Vault",4.4704,28.908,0.454647822147332
"Nebraska",1979,"Boys",359,8452,"100m",11.1588,8.452,0.306564331582252
"Nebraska",1979,"Boys",359,8452,"1600m",260.9775,8.452,0.714918070656571
"Nebraska",1979,"Boys",359,8452,"800m",114.43242,8.452,0.902311194992195
"Nebraska",1979,"Boys",359,8452,"High Jump",2.0066,8.452,0.699763008582034
"Nebraska",1979,"Boys",359,8452,"Pole Vault",4.4196,8.452,0.363038742692813
"New Mexico",1979,"Boys",120,3360,"1600m",260.699124,3.36,0.726776533348822
"New Mexico",1979,"Boys",120,3360,"High Jump",2.032,3.36,0.836268087868433
"New Mexico",1979,"Boys",120,3360,"Pole Vault",4.5212,3.36,0.546256901601853
"New York",1979,"Boys",574,21995,"100m",10.6,21.995,1.08078224283052
"New York",1979,"Boys",574,21995,"1600m",252,21.995,1.09734812504224
"New York",1979,"Boys",574,21995,"800m",111.9,21.995,1.14479389372345
"New York",1979,"Boys",574,21995,"High Jump",2.032,21.995,0.836268087868433
"New York",1979,"Boys",574,21995,"Pole Vault",4.7752,21.995,1.00430229887445
"North Carolina",1979,"Boys",290,10849,"100m",10.91812,10.849,0.64002669178131
"North Carolina",1979,"Boys",290,10849,"1600m",258.39258,10.849,0.825032367084598
"North Carolina",1979,"Boys",290,10849,"800m",114.73068,10.849,0.87375238968992
"North Carolina",1979,"Boys",290,10849,"High Jump",1.9812,10.849,0.563257929295635
"North Carolina",1979,"Boys",290,10849,"Pole Vault",4.2672,10.849,0.0882115043292525
"Oklahoma",1979,"Boys",330,3960,"100m",10.74308,3.96,0.88254477192608
"Oklahoma",1979,"Boys",330,3960,"1600m",251.492832,3.96,1.11895283524249
"Oklahoma",1979,"Boys",330,3960,"800m",115.585692,3.96,0.79188381449007
"Oklahoma",1979,"Boys",330,3960,"High Jump",2.1082,3.96,1.24578332572763
"Oklahoma",1979,"Boys",330,3960,"Pole Vault",4.4196,3.96,0.363038742692813
