"State","Year","Gender","Schools","Participation","Event","Mark","Mark.Note","Students","df","Count","Participation.Thousands"
"California",1978,"Boys",856,52188,"100m",10.7759,NA,NA,2,1353246,52.188
"California",1978,"Boys",856,52188,"100m",10.86342,NA,NA,2,1353246,52.188
"California",1978,"Boys",856,52188,"100m",10.89624,NA,NA,2,1353246,52.188
"California",1978,"Boys",856,52188,"100m",10.95094,NA,NA,2,1353246,52.188
"California",1978,"Boys",856,52188,"100m",10.97282,NA,NA,2,1353246,52.188
"California",1978,"Boys",856,52188,"100m",11.00564,NA,NA,2,1353246,52.188
"California",1978,"Boys",856,52188,"800m",111.15156,NA,NA,2,1353246,52.188
"California",1978,"Boys",856,52188,"800m",111.25098,NA,NA,2,1353246,52.188
"California",1978,"Boys",856,52188,"800m",111.3504,NA,NA,2,1353246,52.188
"California",1978,"Boys",856,52188,"800m",111.8475,NA,NA,2,1353246,52.188
"California",1978,"Boys",856,52188,"800m",111.94692,NA,NA,2,1353246,52.188
"California",1978,"Boys",856,52188,"High Jump",2.1082,NA,NA,2,1353246,52.188
"California",1978,"Boys",856,52188,"High Jump",2.0828,NA,NA,2,1353246,52.188
"California",1978,"Boys",856,52188,"High Jump",2.0574,NA,NA,2,1353246,52.188
"California",1978,"Boys",856,52188,"1600m",247.45638,NA,NA,2,1353246,52.188
"California",1978,"Boys",856,52188,"1600m",247.65522,NA,NA,2,1353246,52.188
"California",1978,"Boys",856,52188,"1600m",248.64942,NA,NA,2,1353246,52.188
"California",1978,"Boys",856,52188,"1600m",256.5036,NA,NA,2,1353246,52.188
"California",1978,"Boys",856,52188,"1600m",257.0007,NA,NA,2,1353246,52.188
"California",1978,"Boys",856,52188,"Pole Vault",5.3086,NA,NA,2,1353246,52.188
"California",1978,"Boys",856,52188,"Pole Vault",4.953,NA,NA,2,1353246,52.188
"California",1978,"Boys",856,52188,"Pole Vault",4.826,NA,NA,2,1353246,52.188
"California",1978,"Boys",856,52188,"Pole Vault",4.7244,NA,NA,2,1353246,52.188
"California",1978,"Boys",856,52188,"Pole Vault",4.6228,NA,NA,2,1353246,52.188
"Florida",1978,"Boys",378,12388,"100m",10.5024,NA,NA,18,654581,12.388
"Florida",1978,"Boys",378,12388,"100m",10.7212,NA,NA,18,654581,12.388
"Florida",1978,"Boys",378,12388,"100m",11.2682,NA,NA,18,654581,12.388
"Florida",1978,"Boys",378,12388,"100m",11.487,NA,NA,18,654581,12.388
"Florida",1978,"Boys",378,12388,"800m",112.64286,NA,NA,18,654581,12.388
"Florida",1978,"Boys",378,12388,"800m",114.13416,NA,NA,18,654581,12.388
"Florida",1978,"Boys",378,12388,"800m",116.52024,NA,NA,18,654581,12.388
"Florida",1978,"Boys",378,12388,"800m",119.20458,NA,NA,18,654581,12.388
"Florida",1978,"Boys",378,12388,"1600m",254.71404,NA,NA,18,654581,12.388
"Florida",1978,"Boys",378,12388,"1600m",253.71984,NA,NA,18,654581,12.388
"Florida",1978,"Boys",378,12388,"1600m",253.22274,NA,NA,18,654581,12.388
"Florida",1978,"Boys",378,12388,"1600m",263.463,NA,NA,18,654581,12.388
"Florida",1978,"Boys",378,12388,"High Jump",2.1082,NA,NA,18,654581,12.388
"Florida",1978,"Boys",378,12388,"High Jump",2.032,NA,NA,18,654581,12.388
"Florida",1978,"Boys",378,12388,"High Jump",1.9558,NA,NA,18,654581,12.388
"Florida",1978,"Boys",378,12388,"High Jump",2.0066,NA,NA,18,654581,12.388
"Florida",1978,"Boys",378,12388,"Pole Vault",4.4196,NA,NA,18,654581,12.388
"Florida",1978,"Boys",378,12388,"Pole Vault",4.1148,NA,NA,18,654581,12.388
"Florida",1978,"Boys",378,12388,"Pole Vault",3.81,NA,NA,18,654581,12.388
"Florida",1978,"Boys",378,12388,"Pole Vault",4.191,NA,NA,18,654581,12.388
"Georgia",1978,"Boys",354,11500,"100m",10.96188,NA,NA,19,384636,11.5
"Georgia",1978,"Boys",354,11500,"100m",11.06034,NA,NA,19,384636,11.5
"Georgia",1978,"Boys",354,11500,"100m",10.67744,NA,NA,19,384636,11.5
"Georgia",1978,"Boys",354,11500,"100m",11.1041,NA,NA,19,384636,11.5
"Georgia",1978,"Boys",354,11500,"800m",118.3098,NA,NA,19,384636,11.5
"Georgia",1978,"Boys",354,11500,"800m",114.63126,NA,NA,19,384636,11.5
"Georgia",1978,"Boys",354,11500,"800m",111.8475,NA,NA,19,384636,11.5
"Georgia",1978,"Boys",354,11500,"800m",115.42662,NA,NA,19,384636,11.5
"Georgia",1978,"Boys",354,11500,"High Jump",1.9812,NA,NA,19,384636,11.5
"Georgia",1978,"Boys",354,11500,"High Jump",2.032,NA,NA,19,384636,11.5
"Georgia",1978,"Boys",354,11500,"High Jump",1.9812,NA,NA,19,384636,11.5
"Georgia",1978,"Boys",354,11500,"High Jump",1.9304,NA,NA,19,384636,11.5
"Georgia",1978,"Boys",354,11500,"1600m",265.25256,NA,NA,19,384636,11.5
"Georgia",1978,"Boys",354,11500,"1600m",263.16474,NA,NA,19,384636,11.5
"Georgia",1978,"Boys",354,11500,"1600m",256.10592,NA,NA,19,384636,11.5
"Georgia",1978,"Boys",354,11500,"1600m",264.85488,NA,NA,19,384636,11.5
"Georgia",1978,"Boys",354,11500,"Pole Vault",4.191,NA,NA,19,384636,11.5
"Georgia",1978,"Boys",354,11500,"Pole Vault",3.81,NA,NA,19,384636,11.5
"Georgia",1978,"Boys",354,11500,"Pole Vault",4.1148,NA,NA,19,384636,11.5
"Georgia",1978,"Boys",354,11500,"Pole Vault",3.81,NA,NA,19,384636,11.5
"Illinois",1978,"Boys",691,29640,"100m",10.7759,NA,NA,20,438919,29.64
"Illinois",1978,"Boys",691,29640,"100m",10.65556,NA,NA,20,438919,29.64
"Illinois",1978,"Boys",691,29640,"800m",113.53764,NA,NA,20,438919,29.64
"Illinois",1978,"Boys",691,29640,"800m",109.66026,NA,NA,20,438919,29.64
"Illinois",1978,"Boys",691,29640,"1600m",262.36938,NA,NA,20,438919,29.64
"Illinois",1978,"Boys",691,29640,"1600m",247.95348,NA,NA,20,438919,29.64
"Illinois",1978,"Boys",691,29640,"High Jump",NA,NA,NA,20,438919,29.64
"Illinois",1978,"Boys",691,29640,"High Jump",2.1844,NA,NA,20,438919,29.64
"Illinois",1978,"Boys",691,29640,"Pole Vault",4.2672,NA,NA,20,438919,29.64
"Illinois",1978,"Boys",691,29640,"Pole Vault",4.4958,NA,NA,20,438919,29.64
"Kansas",1978,"Boys",381,19050,"1600m",263.76126,NA,NA,21,107335,19.05
"Kansas",1978,"Boys",381,19050,"100m",10.94,NA,NA,21,107335,19.05
"Kansas",1978,"Boys",381,19050,"800m",120.09936,NA,NA,21,107335,19.05
"Kansas",1978,"Boys",381,19050,"Pole Vault",4.1148,NA,NA,21,107335,19.05
"Kansas",1978,"Boys",381,19050,"High Jump",1.9304,NA,NA,21,107335,19.05
"Kansas",1978,"Boys",381,19050,"1600m",259.78446,NA,NA,21,107335,19.05
"Kansas",1978,"Boys",381,19050,"100m",10.7212,NA,NA,21,107335,19.05
"Kansas",1978,"Boys",381,19050,"800m",114.333,NA,NA,21,107335,19.05
"Kansas",1978,"Boys",381,19050,"Pole Vault",4.0386,NA,NA,21,107335,19.05
"Kansas",1978,"Boys",381,19050,"High Jump",2.032,NA,NA,21,107335,19.05
"Kansas",1978,"Boys",381,19050,"1600m",265.9485,NA,NA,21,107335,19.05
"Kansas",1978,"Boys",381,19050,"800m",120.7953,NA,NA,21,107335,19.05
"Kansas",1978,"Boys",381,19050,"High Jump",1.9812,NA,NA,21,107335,19.05
"Kansas",1978,"Boys",381,19050,"Pole Vault",3.81,NA,NA,21,107335,19.05
"Maryland",1978,"Boys",130,5855,"100m",10.7212,NA,NA,4,203680,5.855
"Maryland",1978,"Boys",130,5855,"100m",10.94,NA,NA,4,203680,5.855
"Maryland",1978,"Boys",130,5855,"100m",10.94,NA,NA,4,203680,5.855
"Maryland",1978,"Boys",130,5855,"100m",11.2682,NA,NA,4,203680,5.855
"Maryland",1978,"Boys",130,5855,"800m",113.8359,NA,NA,4,203680,5.855
