"State","Year","Event","Schools.Boys","Schools.Girls","Schools.NA","Participation.Boys","Participation.Girls","Participation.NA","Mark.Boys","Mark.Girls","Mark.NA","Participation.Pct.Diff","Mark.Pct.Diff","Participation.Boys.Thousands","Participation.Girls.Thousands","Boys.to.girls.ratio"
"California",1979,"100m",866,804,NA,47306,21055,NA,10.49146,11.8152,NA,55.4919037754196,-11.8685630210888,47.306,21.055,2.24678223699834
"California",1979,"1600m",866,804,NA,47306,21055,NA,251.43318,289.391736,NA,55.4919037754196,-14.0372807823817,47.306,21.055,2.24678223699834
"California",1979,"800m",866,804,NA,47306,21055,NA,109.56084,129.54426,NA,55.4919037754196,-16.7151767151767,47.306,21.055,2.24678223699834
"California",1979,"High Jump",866,804,NA,47306,21055,NA,2.2098,1.7526,NA,55.4919037754196,23.0769230769231,47.306,21.055,2.24678223699834
"California",1979,"Pole Vault",866,NA,NA,47306,NA,NA,4.7244,NA,NA,NA,NA,47.306,NA,NA
"Florida",1979,"100m",319,295,NA,10089,6017,NA,10.6118,12.1434,NA,40.360788978095,-13.4615384615385,10.089,6.017,1.67674921057005
"Florida",1979,"1600m",319,295,NA,10089,6017,NA,251.63202,296.47044,NA,40.360788978095,-16.3613277707237,10.089,6.017,1.67674921057005
"Florida",1979,"800m",319,295,NA,10089,6017,NA,113.73648,133.91874,NA,40.360788978095,-16.298675230831,10.089,6.017,1.67674921057005
"Florida",1979,"High Jump",319,295,NA,10089,6017,NA,2.1336,1.6891,NA,40.360788978095,23.2558139534884,10.089,6.017,1.67674921057005
"Florida",1979,"Pole Vault",319,NA,NA,10089,NA,NA,4.4196,NA,NA,NA,NA,10.089,NA,NA
"Georgia",1979,"100m",360,325,NA,12000,9500,NA,10.62274,11.8152,NA,20.8333333333333,-10.6289614822038,12,9.5,1.26315789473684
"Georgia",1979,"1600m",360,325,NA,12000,9500,NA,256.0065,309.79272,NA,20.8333333333333,-19.0124758390441,12,9.5,1.26315789473684
"Georgia",1979,"800m",360,325,NA,12000,9500,NA,114.73068,136.90134,NA,20.8333333333333,-17.6214934808376,12,9.5,1.26315789473684
"Georgia",1979,"High Jump",360,325,NA,12000,9500,NA,2.0828,1.6764,NA,20.8333333333333,21.6216216216216,12,9.5,1.26315789473684
"Georgia",1979,"Pole Vault",360,NA,NA,12000,NA,NA,3.9624,NA,NA,NA,NA,12,NA,NA
"Illinois",1979,"100m",625,653,NA,26875,21549,NA,10.40394,11.9246,NA,19.8176744186046,-13.6207741303283,26.875,21.549,1.24715764072579
"Illinois",1979,"1600m",625,653,NA,26875,21549,NA,248.84826,298.55826,NA,19.8176744186046,-18.1620050853614,26.875,21.549,1.24715764072579
"Illinois",1979,"800m",625,653,NA,26875,21549,NA,112.94112,132.42744,NA,19.8176744186046,-15.8833063209076,26.875,21.549,1.24715764072579
"Illinois",1979,"High Jump",625,653,NA,26875,21549,NA,2.159,1.7272,NA,19.8176744186046,22.2222222222222,26.875,21.549,1.24715764072579
"Illinois",1979,"Pole Vault",625,NA,NA,26875,NA,NA,4.65455,NA,NA,NA,NA,26.875,NA,NA
"Kansas",1979,"100m",381,380,NA,19050,19000,NA,10.79778,11.18,NA,0.26246719160105,-3.47824029542565,19.05,19,1.00263157894737
"Kansas",1979,"1600m",381,380,NA,19050,19000,NA,259.2,305.7,NA,0.26246719160105,-16.4630908125332,19.05,19,1.00263157894737
"Kansas",1979,"800m",381,380,NA,19050,19000,NA,116.3,141.7,NA,0.26246719160105,-19.6899224806201,19.05,19,1.00263157894737
"Kansas",1979,"High Jump",381,380,NA,19050,19000,NA,2.032,1.651,NA,0.26246719160105,20.6896551724138,19.05,19,1.00263157894737
"Kansas",1979,"Pole Vault",381,NA,NA,19050,NA,NA,4.1148,NA,NA,NA,NA,19.05,NA,NA
"Maryland",1979,"100m",130,119,NA,5905,3767,NA,10.6118,11.8152,NA,36.2066045723963,-10.7317073170732,5.905,3.767,1.56756039288559
"Maryland",1979,"1600m",130,119,NA,5905,3767,NA,253.81926,305,NA,36.2066045723963,-18.3174574190589,5.905,3.767,1.56756039288559
"Maryland",1979,"800m",130,119,NA,5905,3767,NA,112.04634,135.41004,NA,36.2066045723963,-18.8830855765368,5.905,3.767,1.56756039288559
"Maryland",1979,"High Jump",130,119,NA,5905,3767,NA,2.0574,1.6764,NA,36.2066045723963,20.4081632653061,5.905,3.767,1.56756039288559
"Maryland",1979,"Pole Vault",130,NA,NA,5905,NA,NA,4.1148,NA,NA,NA,NA,5.905,NA,NA
