"State","Prop.F","Prop.M"
"Alabama",0.487154839003978,0.512845160996022
"Alaska",0.482758377542338,0.517241622457662
"Arizona",0.486734112726223,0.513265887273777
"Arkansas",0.48780690258688,0.51219309741312
"California",0.486227780899231,0.513772219100769
"Colorado",0.486813926572129,0.513186073427871
"Connecticut",0.485049349518592,0.514950650481408
"Delaware",0.487815697951761,0.512184302048239
"District Of Columbia",0.496067265645105,0.503932734354895
"Florida",0.486324899124273,0.513675100875727
"Georgia",0.488202837149844,0.511797162850156
"Hawaii",0.478807198596772,0.521192801403228
"Idaho",0.485267393246899,0.514732606753101
"Illinois",0.486127072152409,0.513872927847591
"Indiana",0.486933612101521,0.513066387898479
"Iowa",0.484497093655207,0.515502906344793
"Kansas",0.485814395631639,0.514185604368361
"Kentucky",0.484695623556892,0.515304376443108
"Louisiana",0.488434727959715,0.511565272040285
"Maine",0.483878050273023,0.516121949726977
"Maryland",0.487264015633789,0.512735984366211
"Massachusetts",0.486453827481089,0.513546172518911
"Michigan",0.485133447689629,0.514866552310371
"Minnesota",0.48509321462282,0.51490678537718
"Mississippi",0.488986842955475,0.511013157044525
"Missouri",0.484514384150922,0.515485615849078
"Montana",0.484262292549764,0.515737707450236
"Nebraska",0.483066777804334,0.516933222195666
"Nevada",0.484821949303131,0.515178050696869
"New Hampshire",0.4825081621337,0.5174918378663
"New Jersey",0.485044919670588,0.514955080329412
"New Mexico",0.487698775489398,0.512301224510602
"New York",0.48613457969728,0.51386542030272
"North Carolina",0.48688250595518,0.51311749404482
"North Dakota",0.483512007308668,0.516487992691332
"Ohio",0.486618078225922,0.513381921774078
"Oklahoma",0.486351167879128,0.513648832120872
"Oregon",0.484187008314051,0.515812991685949
"Pennsylvania",0.485604936804077,0.514395063195923
"Rhode Island",0.482596193967507,0.517403806032493
"South Carolina",0.486855601452484,0.513144398547516
"South Dakota",0.483760968090367,0.516239031909633
"Tennessee",0.486110579567703,0.513889420432297
"Texas",0.48679862651425,0.51320137348575
"Utah",0.484992890327063,0.515007109672937
"Vermont",0.481104776711015,0.518895223288985
"Virginia",0.485089238344055,0.514910761655945
"Washington",0.484219432167117,0.515780567832883
"West Virginia",0.483219117487572,0.516780882512428
"Wisconsin",0.484709499913562,0.515290500086438
"Wyoming",0.48351117970174,0.51648882029826
