"Year","State","Students"
1987,"Alabama",214753
1987,"Alaska",29942
1987,"Arizona",162728
1987,"Arkansas",129609
1987,"California",1305518
1987,"Colorado",169142
1987,"Connecticut",147001
1987,"Delaware",29603
1987,"District Of Columbia",22013
1987,"Florida",486382
1987,"Georgia",311044
1987,"Hawaii",46293
1987,"Idaho",58129
1987,"Illinois",538177
1987,"Indiana",298595
1987,"Iowa",148292
1987,"Kansas",121667
1987,"Kentucky",191841
1987,"Louisiana",209494
1987,"Maine",67171
1987,"Maryland",212593
1987,"Massachusetts",274500
1987,"Michigan",489669
1987,"Minnesota",232004
1987,"Mississippi",137143
1987,"Missouri",247557
1987,"Montana",45114
1987,"Nebraska",81857
1987,"Nevada",49043
1987,"New Hampshire",53335
1987,"New Jersey",346996
1987,"New Mexico",77728
1987,"New York",820087
1987,"North Carolina",336797
1987,"North Dakota",34773
1987,"Ohio",585398
1987,"Oklahoma",173343
1987,"Oregon",139682
1987,"Pennsylvania",546825
1987,"Rhode Island",42188
1987,"South Carolina",183878
1987,"South Dakota",35746
1987,"Tennessee",241028
1987,"Texas",892061
1987,"Utah",104817
1987,"Vermont",26353
1987,"Virginia",301774
1987,"Washington",240095
1987,"West Virginia",102933
1987,"Wisconsin",254117
1987,"Wyoming",28597
1988,"Alabama",208230
1988,"Alaska",28984
1988,"Arizona",159487
1988,"Arkansas",128671
1988,"California",1289806
1988,"Colorado",165144
1988,"Connecticut",139194
1988,"Delaware",28945
1988,"District Of Columbia",21512
1988,"Florida",492965
1988,"Georgia",308684
1988,"Hawaii",45342
1988,"Idaho",58305
1988,"Illinois",523012
1988,"Indiana",297146
1988,"Iowa",142464
1988,"Kansas",119827
1988,"Kentucky",189623
1988,"Louisiana",206240
1988,"Maine",65406
1988,"Maryland",203933
1988,"Massachusetts",260278
1988,"Michigan",475238
1988,"Minnesota",224928
1988,"Mississippi",135716
1988,"Missouri",243148
1988,"Montana",43594
1988,"Nebraska",79934
1988,"Nevada",49244
1988,"New Hampshire",51507
1988,"New Jersey",328165
1988,"New Mexico",77231
1988,"New York",785246
1988,"North Carolina",332381
1988,"North Dakota",34625
1988,"Ohio",573453
1988,"Oklahoma",171005
1988,"Oregon",136932
1988,"Pennsylvania",529564
1988,"Rhode Island",40574
1988,"South Carolina",183336
1988,"South Dakota",35066
1988,"Tennessee",241351
1988,"Texas",885931
1988,"Utah",106669
1988,"Vermont",25606
1988,"Virginia",294126
1988,"Washington",234819
1988,"West Virginia",101890
1988,"Wisconsin",247202
1988,"Wyoming",27969
1989,"Alabama",203101
1989,"Alaska",27963
1989,"Arizona",156900
1989,"Arkansas",125998
1989,"California",1267035
