State,Year,Gender,Schools,Participation
Alabama,1978,Boys,315,3000
Alaska,1978,Boys,36,800
Arizona,1978,Boys,136,5966
Arkansas,1978,Boys,280,13000
California,1978,Boys,856,52188
Caimo,1978,Boys,NA,NA
Alberta_,1978,Boys,170,2100
British Columbia,1978,Boys,NA,NA
Manitoba,1978,Boys,141,3168
New Brunswick,1978,Boys,NA,NA
Nova Scotia,1978,Boys,NA,NA
Ontario,1978,Boys,NA,22221
Prince Edward,1978,Boys,43,345
Saskatchewan,1978,Boys,NA,NA
Colorado,1978,Boys,237,12000
Connecticut,1978,Boys,154,6589
Delaware,1978,Boys,57,2343
Dist. Of Col.,1978,Boys,46,1200
Florida,1978,Boys,378,12388
Georgia,1978,Boys,354,11500
Hawaii,1978,Boys,52,2140
Idaho,1978,Boys,120,4186
Illinois,1978,Boys,691,29640
Indiana,1978,Boys,462,16638
Iowa,1978,Boys,493,24650
Kansas,1978,Boys,381,19050
Kentucky,1978,Boys,212,4878
Louisiana,1978,Boys,335,4030
Maine,1978,Boys,90,1890
Maryland,1978,Boys,130,5855
Massachusetts,1978,Boys,NA,12221
Michigan,1978,Boys,676,29744
Minnesota,1978,Boys,458,16465
Mississippi,1978,Boys,234,4680
Missouri,1978,Boys,560,24341
Montana,1978,Boys,182,7500
Nebraska,1978,Boys,367,7937
Nevada,1978,Boys,53,2100
New Hampshire,1978,Boys,45,2000
"New Jersey
",1978,Boys,363,21780
New Mexico,1978,Boys,120,3720
New York,1978,Boys,637,19888
North Carolina,1978,Boys,305,10704
North Dakota,1978,Boys,222,5545
Ohio,1978,Boys,1449,58665
Oklahoma,1978,Boys,328,7216
Oregon,1978,Boys,230,11500
Pennsylvania,1978,Boys,733,21990
Rhode Island,1978,Boys,40,1374
South Carolina,1978,Boys,220,8500
South Dakota,1978,Boys,207,5600
Tennessee,1978,Boys,366,12003
Texas,1978,Boys,1103,92103
Utah,1978,Boys,89,2724
Vermont,1978,Boys,NA,902
Virginia,1978,Boys,277,9925
Washington,1978,Boys,303,10416
West Virginia,1978,Boys,219,8675
Wisconsin,1978,Boys,449,23411
Wyoming,1978,Boys,72,1400
Philippines,1978,Boys,3,100
Alabama,1978,Girls,200,1500
Alaska,1978,Girls,34,600
Arizona,1978,Girls,128,3667
Arkansas,1978,Girls,225,3500
California,1978,Girls,597,13798
Colorado,1978,Girls,232,8500
Connecticut,1978,Girls,113,4992
Delaware,1978,Girls,42,1326
District Of Columbia,1978,Girls,46,1150
Florida,1978,Girls,352,7980
Georgia,1978,Girls,300,9000
Hawaii,1978,Girls,52,1440
Idaho,1978,Girls,120,3553
Illinois,1978,Girls,660,21800
Indiana,1978,Girls,452,13555
Kansas,1978,Girls,380,19000
Kentucky,1978,Girls,197,4531
Louisiana,1978,Girls,145,1460
Maine,1978,Girls,88,1496
Maryland,1978,Girls,120,3750
Massachusetts,1978,Girls,NA,8900
Michigan,1978,Girls,603,25373
Minnesota,1978,Girls,467,15533
Mississippi,1978,Girls,226,339
Missouri,1978,Girls,510,16027
Montana,1978,Girls,182,7500
Nebraska,1978,Girls,365,5774
Nevada,1978,Girls,51,1300
New Hampshire,1978,Girls,40,1200
New Jersey,1978,Girls,233,11650
New Mexico,1978,Girls,119,3650
New York,1978,Girls,421,12672
North Carolina,1978,Girls,196,4881
North Dakota,1978,Girls,234,5210
Ohio,1978,Girls,1316,39515
Oklahoma,1978,Girls,313,5634
Oregon,1978,Girls,230,5750
Pennsylvania,1978,Girls,572,17160
Rhode Island,1978,Girls,23,908
South Carolina,1978,Girls,150,3500
South Dakota,1978,Girls,207,5600
Tennessee,1978,Girls,334,10214
Texas,1978,Girls,1019,69960
Utah,1978,Girls,89,1786
Vermont,1978,Girls,NA,833
Virginia,1978,Girls,257,7793
Washington,1978,Girls,306,7847
W. Virginia,1978,Girls,NA,NA
Wisconsin,1978,Girls,430,20266
Wyoming,1978,Girls,71,1200
Philippines,1978,Girls,3,60
Pi.rniao.oaasas,1979,Boys,NA,NA
Alabama,1979,Boys,315,3000
Alaska,1979,Boys,46,900
Arizona,1979,Boys,141,5114
Arkansas,1979,Boys,302,453
California,1979,Boys,866,47306
Colorado,1979,Boys,246,9840
Connecticut,1979,Boys,154,6589
Delaware,1979,Boys,31,1288
District Of Columbia,1979,Boys,15,450
Florida,1979,Boys,319,10089
Georgia,1979,Boys,360,12000
Hawaii,1979,Boys,49,1964
Idaho,1979,Boys,123,3808
Illinois,1979,Boys,625,26875
Indiana,1979,Boys,383,13955
Iowa,1979,Boys,488,24400
Kansas,1979,Boys,381,19050
Kentucky,1979,Boys,215,4953
Louisiana,1979,Boys,351,7723
Maine,1979,Boys,108,2268
Maryland,1979,Boys,130,5905
Massachusetts,1979,Boys,240,11236
