"Label (Grouping)","Michigan!!Count","Michigan!!Percent"
"SEX AND AGE","",""
"    Total population","10,077,331","100.0%"
"        Under 5 years","548,875","5.4%"
"        5 to 9 years","594,605","5.9%"
"        10 to 14 years","628,558","6.2%"
"        15 to 19 years","667,560","6.6%"
"        20 to 24 years","674,096","6.7%"
"        25 to 29 years","660,555","6.6%"
"        30 to 34 years","644,106","6.4%"
"        35 to 39 years","606,794","6.0%"
"        40 to 44 years","576,964","5.7%"
"        45 to 49 years","602,111","6.0%"
"        50 to 54 years","648,296","6.4%"
"        55 to 59 years","710,992","7.1%"
"        60 to 64 years","708,039","7.0%"
"        65 to 69 years","604,404","6.0%"
"        70 to 74 years","472,177","4.7%"
"        75 to 79 years","318,535","3.2%"
"        80 to 84 years","203,147","2.0%"
"        85 years and over","207,517","2.1%"
"        Selected Age Categories","",""
"            16 years and over","8,176,907","81.1%"
"            18 years and over","7,914,602","78.5%"
"            21 years and over","7,491,105","74.3%"
"            62 years and over","2,225,158","22.1%"
"            65 years and over","1,805,780","17.9%"
"    Male population","4,970,856","100.0%"
"        Under 5 years","279,785","5.6%"
"        5 to 9 years","304,505","6.1%"
"        10 to 14 years","321,864","6.5%"
"        15 to 19 years","340,878","6.9%"
"        20 to 24 years","343,465","6.9%"
"        25 to 29 years","336,360","6.8%"
"        30 to 34 years","324,709","6.5%"
"        35 to 39 years","304,173","6.1%"
"        40 to 44 years","286,991","5.8%"
"        45 to 49 years","298,815","6.0%"
"        50 to 54 years","321,576","6.5%"
"        55 to 59 years","349,508","7.0%"
"        60 to 64 years","343,920","6.9%"
"        65 to 69 years","288,857","5.8%"
"        70 to 74 years","221,040","4.4%"
"        75 to 79 years","143,912","2.9%"
"        80 to 84 years","86,353","1.7%"
"        85 years and over","74,145","1.5%"
"        Selected Age Categories","",""
"            16 years and over","3,998,431","80.4%"
"            18 years and over","3,864,050","77.7%"
"            21 years and over","3,650,021","73.4%"
"            62 years and over","1,017,483","20.5%"
"            65 years and over","814,307","16.4%"
"    Female population","5,106,475","100.0%"
"        Under 5 years","269,090","5.3%"
"        5 to 9 years","290,100","5.7%"
"        10 to 14 years","306,694","6.0%"
"        15 to 19 years","326,682","6.4%"
"        20 to 24 years","330,631","6.5%"
"        25 to 29 years","324,195","6.3%"
"        30 to 34 years","319,397","6.3%"
"        35 to 39 years","302,621","5.9%"
"        40 to 44 years","289,973","5.7%"
"        45 to 49 years","303,296","5.9%"
"        50 to 54 years","326,720","6.4%"
"        55 to 59 years","361,484","7.1%"
"        60 to 64 years","364,119","7.1%"
"        65 to 69 years","315,547","6.2%"
"        70 to 74 years","251,137","4.9%"
"        75 to 79 years","174,623","3.4%"
"        80 to 84 years","116,794","2.3%"
"        85 years and over","133,372","2.6%"
"        Selected Age Categories","",""
"            16 years and over","4,178,476","81.8%"
"            18 years and over","4,050,552","79.3%"
"            21 years and over","3,841,084","75.2%"
"            62 years and over","1,207,675","23.6%"
"            65 years and over","991,473","19.4%"
"MEDIAN AGE BY SEX","",""
"    Both sexes","40.1","(X)"
"    Male","38.8","(X)"
"    Female","41.4","(X)"
"RACE","",""
"    Total population","10,077,331","100.0%"
"        One Race","9,442,016","93.7%"
"            White","7,444,974","73.9%"
"            Black or African American","1,376,579","13.7%"
"            American Indian and Alaska Native","61,261","0.6%"
"            Asian","334,300","3.3%"
"            Native Hawaiian and Other Pacific Islander","3,051","0.0%"
"            Some Other Race","221,851","2.2%"
"        Two or More Races","635,315","6.3%"
"TOTAL RACES TALLIED [1]","",""
"    Total races tallied","10,751,606","106.7%"
"        White alone or in combination with one or more other races","8,044,575","79.8%"
"        Black or African American alone or in combination with one or more other races","1,544,122","15.3%"
"        American Indian and Alaska Native alone or in combination with one or more other races","246,458","2.4%"
"        Asian alone or in combination with one or more other races","411,928","4.1%"
"        Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","11,255","0.1%"
"        Some Other Race alone or in combination with one or more other races","493,268","4.9%"
"HISPANIC OR LATINO","",""
"    Total population","10,077,331","100.0%"
"        Hispanic or Latino (of any race)","564,422","5.6%"
"        Not Hispanic or Latino","9,512,909","94.4%"
"HISPANIC OR LATINO BY RACE","",""
"    Total population","10,077,331","100.0%"
"        Hispanic or Latino","564,422","5.6%"
"            White alone","149,323","1.5%"
"            Black or African American alone","18,121","0.2%"
"            American Indian and Alaska Native alone","13,855","0.1%"
"            Asian alone","2,012","0.0%"
"            Native Hawaiian and Other Pacific Islander alone","448","0.0%"
"            Some Other Race alone","184,668","1.8%"
"            Two or More Races","195,995","1.9%"
"        Not Hispanic or Latino","9,512,909","94.4%"
"            White alone","7,295,651","72.4%"
"            Black or African American alone","1,358,458","13.5%"
"            American Indian and Alaska Native alone","47,406","0.5%"
"            Asian alone","332,288","3.3%"
"            Native Hawaiian and Other Pacific Islander alone","2,603","0.0%"
"            Some Other Race alone","37,183","0.4%"
"            Two or More Races","439,320","4.4%"
"RELATIONSHIP","",""
"    Total population","10,077,331","100.0%"
"        In households","9,855,615","97.8%"
"            Householder","4,041,690","40.1%"
"            Opposite-sex spouse","1,818,117","18.0%"
"            Same-sex spouse","13,857","0.1%"
