"Label (Grouping)","Oregon!!Count","Oregon!!Percent"
"SEX AND AGE","",""
"    Total population","4,237,256","100.0%"
"        Under 5 years","215,252","5.1%"
"        5 to 9 years","242,852","5.7%"
"        10 to 14 years","257,649","6.1%"
"        15 to 19 years","255,559","6.0%"
"        20 to 24 years","265,951","6.3%"
"        25 to 29 years","285,772","6.7%"
"        30 to 34 years","300,930","7.1%"
"        35 to 39 years","298,242","7.0%"
"        40 to 44 years","274,508","6.5%"
"        45 to 49 years","257,473","6.1%"
"        50 to 54 years","250,762","5.9%"
"        55 to 59 years","263,348","6.2%"
"        60 to 64 years","273,850","6.5%"
"        65 to 69 years","265,336","6.3%"
"        70 to 74 years","218,220","5.2%"
"        75 to 79 years","142,476","3.4%"
"        80 to 84 years","85,775","2.0%"
"        85 years and over","83,301","2.0%"
"        Selected Age Categories","",""
"            16 years and over","3,471,281","81.9%"
"            18 years and over","3,370,652","79.5%"
"            21 years and over","3,209,911","75.8%"
"            62 years and over","959,677","22.6%"
"            65 years and over","795,108","18.8%"
"    Male population","2,097,500","100.0%"
"        Under 5 years","110,045","5.2%"
"        5 to 9 years","124,550","5.9%"
"        10 to 14 years","132,413","6.3%"
"        15 to 19 years","130,206","6.2%"
"        20 to 24 years","134,514","6.4%"
"        25 to 29 years","144,647","6.9%"
"        30 to 34 years","152,415","7.3%"
"        35 to 39 years","150,297","7.2%"
"        40 to 44 years","138,078","6.6%"
"        45 to 49 years","130,163","6.2%"
"        50 to 54 years","125,380","6.0%"
"        55 to 59 years","128,629","6.1%"
"        60 to 64 years","130,576","6.2%"
"        65 to 69 years","125,748","6.0%"
"        70 to 74 years","103,357","4.9%"
"        75 to 79 years","66,161","3.2%"
"        80 to 84 years","38,678","1.8%"
"        85 years and over","31,643","1.5%"
"        Selected Age Categories","",""
"            16 years and over","1,704,581","81.3%"
"            18 years and over","1,652,902","78.8%"
"            21 years and over","1,572,197","75.0%"
"            62 years and over","443,885","21.2%"
"            65 years and over","365,587","17.4%"
"    Female population","2,139,756","100.0%"
"        Under 5 years","105,207","4.9%"
"        5 to 9 years","118,302","5.5%"
"        10 to 14 years","125,236","5.9%"
"        15 to 19 years","125,353","5.9%"
"        20 to 24 years","131,437","6.1%"
"        25 to 29 years","141,125","6.6%"
"        30 to 34 years","148,515","6.9%"
"        35 to 39 years","147,945","6.9%"
"        40 to 44 years","136,430","6.4%"
"        45 to 49 years","127,310","5.9%"
