"Label (Grouping)","Wisconsin!!Count","Wisconsin!!Percent"
"SEX AND AGE","",""
"    Total population","5,893,718","100.0%"
"        Under 5 years","322,285","5.5%"
"        5 to 9 years","352,714","6.0%"
"        10 to 14 years","380,649","6.5%"
"        15 to 19 years","386,233","6.6%"
"        20 to 24 years","379,451","6.4%"
"        25 to 29 years","364,175","6.2%"
"        30 to 34 years","376,948","6.4%"
"        35 to 39 years","376,978","6.4%"
"        40 to 44 years","347,361","5.9%"
"        45 to 49 years","338,173","5.7%"
"        50 to 54 years","370,848","6.3%"
"        55 to 59 years","424,014","7.2%"
"        60 to 64 years","413,872","7.0%"
"        65 to 69 years","354,789","6.0%"
"        70 to 74 years","273,536","4.6%"
"        75 to 79 years","182,885","3.1%"
"        80 to 84 years","121,994","2.1%"
"        85 years and over","126,813","2.2%"
"        Selected Age Categories","",""
"            16 years and over","4,762,695","80.8%"
"            18 years and over","4,612,300","78.3%"
"            21 years and over","4,369,004","74.1%"
"            62 years and over","1,302,403","22.1%"
"            65 years and over","1,060,017","18.0%"
"    Male population","2,931,605","100.0%"
"        Under 5 years","164,681","5.6%"
"        5 to 9 years","180,527","6.2%"
"        10 to 14 years","195,209","6.7%"
"        15 to 19 years","197,252","6.7%"
"        20 to 24 years","192,733","6.6%"
"        25 to 29 years","186,015","6.3%"
"        30 to 34 years","190,954","6.5%"
"        35 to 39 years","190,419","6.5%"
"        40 to 44 years","175,729","6.0%"
"        45 to 49 years","170,489","5.8%"
"        50 to 54 years","185,776","6.3%"
"        55 to 59 years","209,830","7.2%"
"        60 to 64 years","204,491","7.0%"
"        65 to 69 years","173,884","5.9%"
"        70 to 74 years","131,347","4.5%"
"        75 to 79 years","83,936","2.9%"
"        80 to 84 years","52,955","1.8%"
"        85 years and over","45,378","1.5%"
"        Selected Age Categories","",""
"            16 years and over","2,352,452","80.2%"
"            18 years and over","2,275,140","77.6%"
"            21 years and over","2,152,308","73.4%"
"            62 years and over","607,092","20.7%"
"            65 years and over","487,500","16.6%"
"    Female population","2,962,113","100.0%"
"        Under 5 years","157,604","5.3%"
"        5 to 9 years","172,187","5.8%"
"        10 to 14 years","185,440","6.3%"
"        15 to 19 years","188,981","6.4%"
"        20 to 24 years","186,718","6.3%"
"        25 to 29 years","178,160","6.0%"
"        30 to 34 years","185,994","6.3%"
"        35 to 39 years","186,559","6.3%"
"        40 to 44 years","171,632","5.8%"
"        45 to 49 years","167,684","5.7%"
"        50 to 54 years","185,072","6.2%"
"        55 to 59 years","214,184","7.2%"
"        60 to 64 years","209,381","7.1%"
"        65 to 69 years","180,905","6.1%"
"        70 to 74 years","142,189","4.8%"
"        75 to 79 years","98,949","3.3%"
"        80 to 84 years","69,039","2.3%"
"        85 years and over","81,435","2.7%"
"        Selected Age Categories","",""
"            16 years and over","2,410,243","81.4%"
"            18 years and over","2,337,160","78.9%"
"            21 years and over","2,216,696","74.8%"
"            62 years and over","695,311","23.5%"
"            65 years and over","572,517","19.3%"
"MEDIAN AGE BY SEX","",""
"    Both sexes","40.1","(X)"
"    Male","39.2","(X)"
"    Female","41.0","(X)"
"RACE","",""
"    Total population","5,893,718","100.0%"
"        One Race","5,534,184","93.9%"
"            White","4,737,545","80.4%"
"            Black or African American","376,256","6.4%"
"            American Indian and Alaska Native","60,428","1.0%"
"            Asian","175,702","3.0%"
"            Native Hawaiian and Other Pacific Islander","2,199","0.0%"
"            Some Other Race","182,054","3.1%"
"        Two or More Races","359,534","6.1%"
"TOTAL RACES TALLIED [1]","",""
"    Total races tallied","6,273,537","106.4%"
"        White alone or in combination with one or more other races","5,080,160","86.2%"
"        Black or African American alone or in combination with one or more other races","452,743","7.7%"
"        American Indian and Alaska Native alone or in combination with one or more other races","144,572","2.5%"
"        Asian alone or in combination with one or more other races","216,345","3.7%"
"        Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","7,470","0.1%"
"        Some Other Race alone or in combination with one or more other races","372,247","6.3%"
"HISPANIC OR LATINO","",""
"    Total population","5,893,718","100.0%"
"        Hispanic or Latino (of any race)","447,290","7.6%"
"        Not Hispanic or Latino","5,446,428","92.4%"
"HISPANIC OR LATINO BY RACE","",""
"    Total population","5,893,718","100.0%"
"        Hispanic or Latino","447,290","7.6%"
"            White alone","103,527","1.8%"
"            Black or African American alone","9,748","0.2%"
"            American Indian and Alaska Native alone","12,044","0.2%"
"            Asian alone","1,435","0.0%"
"            Native Hawaiian and Other Pacific Islander alone","307","0.0%"
"            Some Other Race alone","164,441","2.8%"
"            Two or More Races","155,788","2.6%"
"        Not Hispanic or Latino","5,446,428","92.4%"
"            White alone","4,634,018","78.6%"
"            Black or African American alone","366,508","6.2%"
"            American Indian and Alaska Native alone","48,384","0.8%"
"            Asian alone","174,267","3.0%"
"            Native Hawaiian and Other Pacific Islander alone","1,892","0.0%"
"            Some Other Race alone","17,613","0.3%"
"            Two or More Races","203,746","3.5%"
"RELATIONSHIP","",""
"    Total population","5,893,718","100.0%"
"        In households","5,742,419","97.4%"
"            Householder","2,428,383","41.2%"
"            Opposite-sex spouse","1,129,341","19.2%"
"            Same-sex spouse","8,311","0.1%"
"            Opposite-sex unmarried partner","185,411","3.1%"
"            Same-sex unmarried partner","7,800","0.1%"
"            Child [2]","1,593,165","27.0%"
"                Under 18 years","1,172,834","19.9%"
"            Grandchild","80,633","1.4%"
"                Under 18 years","62,249","1.1%"
"            Other relatives","142,964","2.4%"
"            Nonrelatives","166,411","2.8%"
"        In group quarters","151,299","2.6%"
"            Institutionalized population:","65,540","1.1%"
"                Male","42,543","0.7%"
"                Female","22,997","0.4%"
"            Noninstitutionalized population:","85,759","1.5%"
"                Male","39,663","0.7%"
"                Female","46,096","0.8%"
"HOUSEHOLDS BY TYPE","",""
"    Total households","2,428,361","100.0%"
"        Married couple household","1,137,669","46.8%"
"            With own children under 18 [3]","400,562","16.5%"
"        Cohabiting couple household","193,194","8.0%"
"            With own children under 18 [3]","59,344","2.4%"
"        Male householder, no spouse or partner present:","479,813","19.8%"
"            Living alone","351,152","14.5%"
"                65 years and over","102,069","4.2%"
"            With own children under 18 [3]","38,326","1.6%"
"        Female householder, no spouse or partner present:","617,685","25.4%"
"            Living alone","383,608","15.8%"
"                65 years and over","192,221","7.9%"
"            With own children under 18 [3]","107,842","4.4%"
"        Households with individuals under 18 years","660,113","27.2%"
"        Households with individuals 65 years and over","743,092","30.6%"
"HOUSING OCCUPANCY","",""
"    Total housing units","2,727,726","100.0%"
"        Occupied housing units","2,428,361","89.0%"
"        Vacant housing units","299,365","11.0%"
"            For rent","49,278","1.8%"
"            Rented, not occupied","6,878","0.3%"
"            For sale only","17,153","0.6%"
"            Sold, not occupied","7,611","0.3%"
"            For seasonal, recreational, or occasional use","172,141","6.3%"
"            All other vacants","46,304","1.7%"
"VACANCY RATES","",""
"    Homeowner vacancy rate (percent) [4]","1.0","(X)"
"    Rental vacancy rate (percent) [5]","5.6","(X)"
"HOUSING TENURE","",""
"    Occupied housing units","2,428,361","100.0%"
"        Owner-occupied housing units","1,610,565","66.3%"
"        Renter-occupied housing units","817,796","33.7%"
