ELSI Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is a State based table with the following filters applied: State(s) (All Years): All 50 + DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Name,Male Students [State] 2018-19,Male Students [State] 2017-18,Male Students [State] 2016-17,Male Students [State] 2015-16,Male Students [State] 2014-15,Male Students [State] 2013-14,Male Students [State] 2012-13,Male Students [State] 2011-12,Male Students [State] 2010-11,Male Students [State] 2009-10,Female Students [State] 2018-19,Female Students [State] 2017-18,Female Students [State] 2016-17,Female Students [State] 2015-16,Female Students [State] 2014-15,Female Students [State] 2013-14,Female Students [State] 2012-13,Female Students [State] 2011-12,Female Students [State] 2010-11,Female Students [State] 2009-10,Gender Unknown Students [Public School] 2006-07,Gender Unknown Students [Public School] 2005-06,Gender Unknown Students [Public School] 2004-05,Gender Unknown Students [Public School] 2003-04,Gender Unknown Students [Public School] 2002-03,Gender Unknown Students [Public School] 2001-02,Gender Unknown Students [Public School] 2000-01,Gender Unknown Students [Public School] 1999-00,Gender Unknown Students [Public School] 1998-99,Kindergarten Students [State] 2018-19,Kindergarten Students [State] 2017-18,Kindergarten Students [State] 2016-17,Kindergarten Students [State] 2015-16,Kindergarten Students [State] 2014-15,Kindergarten Students [State] 2013-14,Kindergarten Students [State] 2012-13,Kindergarten Students [State] 2011-12,Kindergarten Students [State] 2010-11,Kindergarten Students [State] 2009-10,Kindergarten Students [State] 2008-09,Kindergarten Students [State] 2007-08,Kindergarten Students [State] 2006-07,Kindergarten Students [State] 2005-06,Kindergarten Students [State] 2004-05,Kindergarten Students [State] 2003-04,Kindergarten Students [State] 2002-03,Kindergarten Students [State] 2001-02,Kindergarten Students [State] 2000-01,Kindergarten Students [State] 1999-00,Kindergarten Students [State] 1998-99,Kindergarten Students [State] 1997-98,Kindergarten Students [State] 1996-97,Kindergarten Students [State] 1995-96,Kindergarten Students [State] 1994-95,Kindergarten Students [State] 1993-94,Kindergarten Students [State] 1992-93,Kindergarten Students [State] 1991-92,Kindergarten Students [State] 1990-91,Kindergarten Students [State] 1989-90,Kindergarten Students [State] 1988-89,Kindergarten Students [State] 1987-88,Kindergarten Students [State] 1986-87,Total Enrollment (Exclude AE) for SY 2014-15 onward [State] 2018-19,Total Enrollment (Exclude AE) for SY 2014-15 onward [State] 2017-18,Total Enrollment (Exclude AE) for SY 2014-15 onward [State] 2016-17,Total Enrollment (Exclude AE) for SY 2014-15 onward [State] 2015-16,Total Enrollment (Exclude AE) for SY 2014-15 onward [State] 2014-15,Total Enrollments for any year before SY 2014-15 [State] 2013-14,Total Enrollments for any year before SY 2014-15 [State] 2012-13,Total Enrollments for any year before SY 2014-15 [State] 2011-12,Total Enrollments for any year before SY 2014-15 [State] 2010-11,Total Enrollments for any year before SY 2014-15 [State] 2009-10,Total Enrollments for any year before SY 2014-15 [State] 2008-09,Total Enrollments for any year before SY 2014-15 [State] 2007-08,Total Enrollments for any year before SY 2014-15 [State] 2006-07,Total Enrollments for any year before SY 2014-15 [State] 2005-06,Total Enrollments for any year before SY 2014-15 [State] 2004-05,Total Enrollments for any year before SY 2014-15 [State] 2003-04,Total Enrollments for any year before SY 2014-15 [State] 2002-03,Total Enrollments for any year before SY 2014-15 [State] 2001-02,Total Enrollments for any year before SY 2014-15 [State] 2000-01,Total Enrollments for any year before SY 2014-15 [State] 1999-00,Total Enrollments for any year before SY 2014-15 [State] 1998-99,Total Enrollments for any year before SY 2014-15 [State] 1997-98,Total Enrollments for any year before SY 2014-15 [State] 1996-97,Total Enrollments for any year before SY 2014-15 [State] 1995-96,Total Enrollments for any year before SY 2014-15 [State] 1994-95,Total Enrollments for any year before SY 2014-15 [State] 1993-94,Total Enrollments for any year before SY 2014-15 [State] 1992-93,Total Enrollments for any year before SY 2014-15 [State] 1991-92,Total Enrollments for any year before SY 2014-15 [State] 1990-91,Total Enrollments for any year before SY 2014-15 [State] 1989-90,Total Enrollments for any year before SY 2014-15 [State] 1988-89,Total Enrollments for any year before SY 2014-15 [State] 1987-88,Total Enrollments for any year before SY 2014-15 [State] 1986-87,Total Enrollment (Include AE) for SY 2014-15 onward [State] 2018-19,Total Enrollment (Include AE) for SY 2014-15 onward [State] 2017-18,Total Enrollment (Include AE) for SY 2014-15 onward [State] 2016-17,Total Enrollment (Include AE) for SY 2014-15 onward [State] 2015-16,Total Enrollment (Include AE) for SY 2014-15 onward [State] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2016-17,Total Students All Grades (Excludes AE) [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2013-14,Total Students All Grades (Excludes AE) [Public School] 2012-13,Total Students All Grades (Excludes AE) [Public School] 2011-12,Total Students All Grades (Excludes AE) [Public School] 2010-11,Total Students All Grades (Excludes AE) [Public School] 2009-10,Total Students All Grades (Excludes AE) [Public School] 2008-09,Total Students All Grades (Excludes AE) [Public School] 2007-08,Total Students All Grades (Excludes AE) [Public School] 2006-07,Total Students All Grades (Excludes AE) [Public School] 2005-06,Total Students All Grades (Excludes AE) [Public School] 2004-05,Total Students All Grades (Excludes AE) [Public School] 2003-04,Total Students All Grades (Excludes AE) [Public School] 2002-03,Total Students All Grades (Excludes AE) [Public School] 2001-02,Total Students All Grades (Excludes AE) [Public School] 2000-01,Total Students All Grades (Excludes AE) [Public School] 1999-00,Total Students All Grades (Excludes AE) [Public School] 1998-99,Total Students All Grades (Excludes AE) [Public School] 1997-98,Total Students All Grades (Excludes AE) [Public School] 1996-97,Total Students All Grades (Excludes AE) [Public School] 1995-96,Total Students All Grades (Excludes AE) [Public School] 1994-95,Total Students All Grades (Excludes AE) [Public School] 1993-94,Total Students All Grades (Excludes AE) [Public School] 1992-93,Total Students All Grades (Excludes AE) [Public School] 1991-92,Total Students All Grades (Excludes AE) [Public School] 1990-91,Total Students All Grades (Excludes AE) [Public School] 1989-90,Total Students All Grades (Excludes AE) [Public School] 1988-89,Total Students All Grades (Excludes AE) [Public School] 1987-88,Total Students All Grades (Excludes AE) [Public School] 1986-87,Total Students All Grades (Excludes AE) [District] 2018-19,Total Students All Grades (Excludes AE) [District] 2017-18,Total Students All Grades (Excludes AE) [District] 2016-17,Total Students All Grades (Excludes AE) [District] 2015-16,Total Students All Grades (Excludes AE) [District] 2014-15,Total Students All Grades (Excludes AE) [District] 2013-14,Total Students All Grades (Excludes AE) [District] 2012-13,Total Students All Grades (Excludes AE) [District] 2011-12,Total Students All Grades (Excludes AE) [District] 2010-11,Total Students All Grades (Excludes AE) [District] 2009-10,Total Students All Grades (Excludes AE) [District] 2008-09,Total Students All Grades (Excludes AE) [District] 2007-08,Total Students All Grades (Excludes AE) [District] 2006-07,Total Students All Grades (Excludes AE) [District] 2005-06,Total Students All Grades (Excludes AE) [District] 2004-05,Total Students All Grades (Excludes AE) [District] 2003-04,Total Students All Grades (Excludes AE) [District] 2002-03,Total Students All Grades (Excludes AE) [District] 2001-02,Total Students All Grades (Excludes AE) [District] 2000-01,Total Students All Grades (Excludes AE) [District] 1999-00,Total Students All Grades (Excludes AE) [District] 1998-99,Total Students All Grades (Excludes AE) [District] 1997-98,Total Students All Grades (Excludes AE) [District] 1996-97,Total Students All Grades (Excludes AE) [District] 1995-96,Total Students All Grades (Excludes AE) [District] 1994-95,Total Students All Grades (Excludes AE) [District] 1993-94,Total Students All Grades (Excludes AE) [District] 1992-93,Total Students All Grades (Excludes AE) [District] 1991-92,Total Students All Grades (Excludes AE) [District] 1990-91,Total Students All Grades (Excludes AE) [District] 1989-90,Total Students All Grades (Excludes AE) [District] 1988-89,Total Students All Grades (Excludes AE) [District] 1987-88
ALABAMA,379760,381016,382292,381160,381483,382226,381716,381964,387549,382516,359956,361428,362638,362629,362681,363978,362921,362657,368003,363257,0,0,0,0,0,0,0,0,0,54681,54985,55474,55613,57939,59757,59428,57602,57665,57019,56205,55972,58209,58692,56964,56541,55499,54148,55112,56120,58055,58326,60949,59739,57723,56598,55460,54125,54067,55478,54265,54454,53672,739716,742444,744930,743789,744164,746204,744637,744621,755552,748889,745668,742919,743632,741761,730140,731220,739366,737190,739992,740732,747980,749207,747932,746149,736531,734288,731634,722004,721806,723743,724751,729234,733735,739716,742444,744930,743789,744164,739304,742444,744813,742926,744164,742993,744548,731725,732895,748836,742997,743778,743469,741547,730140,730875,726545,726205,728978,729988,735701,738596,737649,735715,727159,726999,726416,724162,723736,723726,728492,728017,728190,739716,742444,744930,743789,‡,746204,744548,744621,738322,748889,745668,744516,743632,743626,730140,731251,729067,726991,729156,730184,737639,739321,737386,736825,727989,730509,728014,726150,725541,728252,730048,728234
ALASKA,67626,68763,68823,68623,67972,67743,67897,67798,68169,67979,63337,64109,63914,63854,63204,63201,63592,63369,63935,63682,0,0,0,6,3,0,10,0,0,9976,10196,10274,10409,10559,10632,10569,10453,10120,9804,9744,9625,9795,9934,9870,9475,10069,10095,9677,9583,9838,10249,10451,10567,10309,10329,10152,10405,10107,9652,8637,9759,10334,130963,132872,132737,132477,131176,130944,131489,131167,132104,131661,130662,131029,132608,133288,132970,133933,134364,134358,133356,134391,135373,132123,129919,127618,127057,125948,122487,118680,113903,109280,106481,106869,107848,130963,132872,132737,132477,131176,130963,132872,132737,132477,131176,130944,131467,131166,132104,131661,130662,131029,132608,133292,132976,133933,134364,134367,133356,134391,135321,132122,129919,127006,126581,125364,122182,116707,113903,109342,99976,107085,103352,130963,132872,132737,132477,131176,130944,131489,131167,132104,131661,130662,131029,132608,133288,132937,133933,134364,134358,133356,134391,135374,132123,129919,127185,126348,125948,122487,118680,112190,108810,104153,106043
ARIZONA,584228,569303,576046,568918,570995,566281,559275,555179,551429,555226,556973,541548,547091,540122,540700,536164,530109,525140,520322,522605,0,0,0,0,0,0,0,0,846406,79967,79520,79760,79396,83241,86258,86265,84433,82860,84191,87229,86742,85388,83529,80614,76365,71357,72119,68347,67051,65312,63857,64613,61420,59545,57656,53497,54410,53839,49164,48132,49182,43759,1141511,1110851,1123137,1109040,1111695,1102445,1089384,1080319,1071751,1077831,1087817,1087447,1068249,1094454,1043298,1012068,937755,922180,877696,852612,848262,814113,799250,743566,737424,709453,673477,656980,639853,607615,574890,572421,534538,1141511,1110851,1123137,1109040,1111695,1136269,1106694,1120182,1104811,1109737,1097422,1087733,1078249,1069645,1078887,1085822,1087263,1065082,1094454,1043298,1012068,929111,922180,877696,851294,848262,815294,796213,723598,722409,710742,684993,655316,633093,615887,607565,587466,574334,1141106,1110851,1123028,1107161,1111695,1102380,1089373,1080306,1071743,1077831,1087631,1087447,1065082,1094454,1043298,1012068,962252,922180,877696,852612,849683,814339,798069,747791,735752,710748,678772,656286,634201,617753,609562,585756
ARKANSAS,253924,254603,252967,252083,251472,250721,248827,247122,246682,245808,241367,241482,240480,240049,239445,239258,237330,235992,235432,234751,0,0,0,0,0,0,0,0,0,36508,36942,36917,37509,38503,39900,40463,37305,37701,38115,37997,38192,38058,38070,36967,36391,35283,34981,33941,34218,34120,35761,36442,36731,35620,34337,33511,33799,34052,33543,34023,33695,34070,495291,496085,493447,492132,490917,489979,486157,483114,482114,480559,478965,479016,476409,474206,463115,454523,450985,449805,449959,451034,452256,456497,457349,453257,447565,444271,441490,438518,436286,434960,436387,437036,437438,495291,496085,493449,492132,490917,491804,496085,493447,492132,490917,489724,486157,483114,482114,480559,478965,479016,476132,474206,463121,454523,450985,449805,449959,450985,452267,461847,460957,455897,444915,442017,442021,438772,436286,434789,433524,437036,434488,495291,496085,493447,492132,490917,489979,486157,483114,482114,480559,478965,479016,476409,474206,463115,454523,450985,449805,449959,451034,452267,459008,459787,455547,448109,447719,442169,438772,436209,436023,441907,437155
CALIFORNIA,3178223,3195972,3201123,3199590,†,3204342,3198080,3192024,3193286,3180866,3008055,3024441,3027112,3027147,†,3032330,3027011,3022180,3023888,3010789,0,0,0,0,0,0,0,985,0,525758,531725,535379,530531,511985,506831,489274,488070,468036,471058,461063,454743,454605,458440,455155,456941,456940,457165,459771,459771,459262,463684,469965,472334,448237,444104,431763,428392,423740,410631,403237,392112,380608,6272734,6304266,6309138,6226737,6312161,6312623,6299451,6287834,6289578,6263438,6322528,6343471,6406750,6437202,6441557,6413867,6353667,6247726,6140814,6038590,5926037,5803887,5686198,5536406,5407475,5327231,5254844,5107145,4950474,4771978,4618120,4488398,4377989,6272734,6304266,6309138,6226737,6312161,6171666,6206088,6212726,6208843,6222731,6223972,6213182,6202862,6207959,6166649,6240184,6070428,6274813,6312103,6322586,6298928,6244403,6147375,6050895,5952598,5845160,5728378,5614060,5468287,5342071,5268501,5196904,5108228,4950474,4772976,4834263,4489128,4622264,6180188,6219652,6227167,6226543,6235520,6236018,6224066,6214203,6216977,6190372,6252031,6275445,6287004,6312103,6322189,6298928,6244403,6147375,6050895,5952598,5844111,5728378,5614060,5468287,5342071,5268501,5195777,5108228,4949910,4771978,4833981,4488398
COLORADO,468331,467890,465023,461640,456212,449636,442696,437833,432270,426619,443205,442390,439996,437472,432794,427363,420865,416432,411046,405749,0,0,0,0,0,0,0,0,699135,63409,63574,64011,64631,66068,67225,66951,66361,65182,64190,63985,61576,60922,59398,56968,55913,53872,53079,51039,50378,50859,51408,50707,50316,48673,47598,47588,47875,46337,45412,46599,47065,45843,911536,910280,905019,899112,889006,876999,863561,854265,843316,832368,818443,801867,794026,779826,765976,757693,751862,742145,724508,708109,699135,687167,673438,656279,640521,625062,612635,593030,574213,562755,560081,560236,558415,911536,910280,905019,899112,889006,911341,910097,904839,899018,888939,876147,863121,853669,842864,831906,817605,801867,793269,779826,765976,756912,751056,741683,724351,708109,699135,687167,673438,656098,640503,625062,612635,593030,574213,562603,560081,559367,558080,911536,910280,905019,899112,‡,876795,‡,854265,843316,832368,818443,801867,793569,779826,765976,756912,751862,742145,724508,708109,699135,687167,673438,656279,640521,625062,612635,593030,574213,562755,560081,560236
CONNECTICUT,270944,273358,275460,277129,279385,281353,283925,285611,288798,290669,255690,257930,259658,260804,263293,264847,267029,268826,271748,273299,0,0,0,0,0,0,0,0,0,35819,36225,36621,36641,37654,38274,39410,38840,39670,39866,40684,39889,40834,41206,41886,42310,41224,41906,41570,42193,42500,42382,43213,44148,43511,42338,41319,40822,40594,39264,38689,38426,37432,526634,531288,535118,537933,542678,546200,550954,554437,560546,563968,567198,570626,575100,575059,577390,577203,570023,570228,562179,553993,544698,535164,527129,517935,506824,496298,488476,481050,469123,461560,460637,465465,468847,526634,531288,535118,537933,542678,514698,519710,530601,537833,542614,546078,550643,553925,559912,563801,561766,568405,574516,575058,577389,574012,570009,570228,562248,554002,544698,535162,525632,507202,506809,496164,488436,481049,469058,461540,458531,461868,465200,526583,531280,535099,537933,542559,546175,550954,554437,559964,563982,567198,570626,574909,575058,577390,577203,572823,570228,562179,554266,544698,535164,525632,517935,506824,496303,488476,481049,469013,461560,461519,465279
DELAWARE,70864,69826,69873,69178,68715,67290,65843,65872,66612,65027,67541,66467,66391,65669,65327,64397,63183,63074,62791,61774,0,0,0,0,0,0,0,0,0,9820,9943,9894,10040,10205,10488,10128,10116,9810,9537,9458,8817,8604,8511,8279,7904,7761,7615,7691,7779,8025,8039,8002,7775,7523,8153,8025,8137,7980,7814,7876,7772,7696,138405,136293,136264,134847,134042,131687,129026,128946,129403,126801,125430,122574,122254,120937,119091,117668,116342,115560,114676,112836,113262,111960,110549,108461,106813,105547,104321,102196,99658,97808,96678,95659,94410,138405,136293,136264,134847,134042,138405,136046,136264,134308,133835,131539,128878,128946,128935,124809,123968,122574,122254,120937,119091,117668,116342,115494,114676,112836,113311,111960,110549,108461,106813,105547,104321,102196,99658,97608,96865,95659,96665,138405,136293,136264,134847,134042,131687,128627,128946,129403,126801,125430,122574,122254,120937,119107,117777,116342,115563,114771,113996,113735,112389,111027,108933,107228,105867,104687,102511,99672,97698,85786,100002
DISTRICT OF COLUMBIA,45051,44356,43453,42655,40815,39155,38132,36988,35506,34389,43442,42959,42397,41369,40143,38998,38008,36923,35778,35017,0,0,0,12958,0,0,0,0,71889,7491,7465,7574,7319,7273,7174,6980,6358,5939,5190,5122,5306,5323,5545,5387,5659,5475,5203,5357,6617,6446,6982,7469,7736,7628,6986,6667,6578,6417,6339,6292,6579,6546,88493,87315,85850,79848,76468,78153,76140,73911,71284,69433,68681,78422,72850,76876,76714,78057,76166,68449,68925,77194,71889,77111,78648,79802,80450,80678,80937,80618,80694,81301,84792,86435,85612,93741,92266,90781,84024,80958,87686,86360,84970,82618,80958,78153,75819,73844,71263,69219,68681,78108,72743,76876,76714,78057,76166,75392,68925,77194,71889,77111,78553,79802,80450,80678,80937,80618,80694,81301,84717,86296,85612,88493,87315,85850,83439,80958,78153,76140,73840,71277,69433,68681,78422,72750,76876,76714,78057,76166,75392,‡,77194,71889,77111,78648,79802,80450,80678,80937,80618,80694,81301,84792,86435
FLORIDA,1462219,1453742,1446259,1434018,1416165,1397547,1383095,1371153,1359024,1309388,1384225,1378682,1370532,1358216,1340779,1323197,1309067,1297003,1284323,1235527,0,0,0,0,0,0,0,0,0,200907,200185,201060,199514,204552,209318,210489,203302,197097,196057,193428,197467,202063,203325,197163,191986,183270,177225,175812,174953,174470,174874,176512,176767,172135,167140,161701,161688,163209,158907,153773,145384,134732,2846444,2832424,2816791,2792234,2756944,2720744,2692162,2668156,2643347,2634522,2631020,2666811,2671513,2675024,2639336,2587628,2539929,2500478,2434821,2381396,2337633,2294077,2242212,2176222,2111188,2040763,1981407,1932131,1861592,1789925,1720930,1664774,1607320,2846444,2832424,2816791,2792234,2756944,2846429,2833093,2816813,2791368,2756944,2720739,2692162,2668113,2642758,2634522,2631020,2666811,2671513,2675024,2639336,2587554,2532566,2500478,2434787,2381480,2337461,2294001,2244996,2175308,2167828,2037684,1977858,1929310,1856987,1769901,1718310,1663697,1607033,2846444,2833094,2816791,2792234,2756944,2720744,2692162,2668156,2643347,2634522,2631020,2666811,2671513,2675024,2654987,2600203,2541478,2504916,2436159,2381594,2337757,2295671,2245231,2179138,2108968,2040763,1981407,1931951,1862185,1772349,1720927,1664774
